pointer,MG888045.1,NC_026470.1
49,0.0,34.0
50,0.0,35.0
51,0.0,35.0
52,0.0,35.0
53,0.0,34.0
54,0.0,34.0
55,0.0,34.0
56,0.0,33.0
57,0.0,33.0
58,0.0,34.0
59,0.0,33.0
60,0.0,34.0
61,0.0,35.0
62,0.0,35.0
63,0.0,35.0
64,0.0,35.0
65,0.0,35.0
66,0.0,35.0
67,0.0,36.0
68,0.0,35.0
69,0.0,35.0
70,0.0,35.0
71,0.0,34.0
72,0.0,35.0
73,0.0,36.0
74,0.0,36.0
75,0.0,37.0
76,0.0,36.0
77,0.0,36.0
78,0.0,36.0
79,0.0,36.0
80,0.0,36.0
81,0.0,36.0
82,0.0,36.0
83,1.1235955056179776,36.0
84,2.247191011235955,37.0
85,2.247191011235955,36.0
86,2.247191011235955,37.0
87,3.3707865168539324,38.0
88,4.49438202247191,38.0
89,4.49438202247191,37.0
90,4.49438202247191,37.0
91,4.49438202247191,37.0
92,4.49438202247191,36.0
93,4.49438202247191,36.0
94,4.49438202247191,35.0
95,4.49438202247191,35.0
96,4.49438202247191,34.0
97,4.49438202247191,34.0
98,4.49438202247191,35.0
99,4.49438202247191,35.0
100,4.49438202247191,34.0
101,4.49438202247191,33.0
102,4.49438202247191,32.0
103,4.49438202247191,33.0
104,4.49438202247191,32.0
105,4.444444444444445,33.0
106,4.395604395604396,33.0
107,4.3478260869565215,34.0
108,4.301075268817205,34.0
109,4.25531914893617,34.0
110,4.2105263157894735,35.0
111,4.166666666666666,36.0
112,4.123711340206185,37.0
113,4.081632653061225,37.0
114,4.040404040404041,37.0
115,4.040404040404041,37.0
116,4.040404040404041,37.0
117,4.040404040404041,37.0
118,4.040404040404041,38.0
119,4.040404040404041,39.0
120,4.040404040404041,40.0
121,4.040404040404041,39.0
122,4.040404040404041,40.0
123,4.040404040404041,40.0
124,4.081632653061225,39.0
125,4.123711340206185,38.0
126,4.166666666666666,38.0
127,4.2105263157894735,38.0
128,4.25531914893617,38.0
129,4.301075268817205,38.0
130,4.3478260869565215,38.0
131,5.434782608695652,38.0
132,5.434782608695652,37.0
133,6.521739130434782,38.0
134,7.608695652173914,39.0
135,7.608695652173914,39.0
136,7.6923076923076925,39.0
137,7.777777777777778,38.0
138,8.88888888888889,39.0
139,8.88888888888889,38.0
140,8.88888888888889,37.0
141,10.0,36.0
142,10.0,36.0
143,10.0,36.0
144,10.0,35.0
145,10.0,35.0
146,11.11111111111111,36.0
147,12.222222222222221,37.0
148,12.222222222222221,36.0
149,13.333333333333334,37.0
150,14.444444444444443,36.0
151,14.444444444444443,35.0
152,14.444444444444443,34.0
153,14.444444444444443,34.0
154,14.444444444444443,34.0
155,14.606741573033707,34.0
156,14.772727272727273,34.0
157,14.942528735632186,33.0
158,15.11627906976744,32.0
159,15.294117647058824,32.0
160,15.476190476190476,31.0
161,15.66265060240964,30.0
162,15.853658536585366,30.0
163,15.853658536585366,30.0
164,15.853658536585366,30.0
165,15.853658536585366,31.0
166,15.853658536585366,32.0
167,15.853658536585366,32.0
168,15.853658536585366,33.0
169,16.049382716049383,33.0
170,16.25,33.0
171,16.25,34.0
172,16.25,33.0
173,16.25,33.0
174,16.25,33.0
175,16.25,33.0
176,16.25,33.0
177,16.25,33.0
178,16.25,33.0
179,16.25,32.0
180,16.25,33.0
181,16.25,33.0
182,16.25,33.0
183,15.0,33.0
184,13.750000000000002,33.0
185,13.750000000000002,34.0
186,13.750000000000002,33.0
187,12.5,32.0
188,11.25,31.0
189,11.25,32.0
190,11.25,32.0
191,11.25,32.0
192,11.25,32.0
193,11.25,32.0
194,11.25,32.0
195,11.25,32.0
196,11.25,32.0
197,11.25,32.0
198,11.25,31.0
199,11.25,31.0
