pointer,OQ818341,KX644943
629,92,95
630,93,95
631,94,95
632,95,95
633,96,95
634,96,95
635,97,96
636,97,97
637,97,97
638,97,97
639,97,97
640,97,97
641,97,97
642,97,97
643,97,97
644,97,97
645,97,97
646,97,97
647,97,97
648,97,97
649,97,97
650,96,96
651,95,95
652,95,95
653,95,95
654,95,95
655,95,95
656,95,95
657,95,95
658,95,95
659,96,96
660,96,96
661,96,96
662,96,96
663,97,97
664,97,97
665,97,97
666,97,97
667,97,97
668,97,97
669,97,97
670,98,98
671,98,98
672,98,98
673,98,98
674,98,98
675,98,98
676,98,98
677,98,98
678,98,98
679,98,98
680,98,98
681,98,98
682,98,98
683,98,98
684,98,98
685,98,98
686,98,98
687,98,98
688,98,98
689,98,98
690,98,98
691,98,98
692,98,98
693,98,98
694,98,98
695,98,98
696,98,98
697,98,98
698,98,98
699,98,98
700,98,98
701,98,98
702,98,98
703,98,98
704,98,98
705,98,98
706,98,98
707,98,98
708,98,98
709,98,98
710,98,98
711,98,98
712,98,98
713,98,98
714,98,98
715,98,98
716,98,98
717,98,98
718,98,98
719,98,98
720,98,98
721,98,98
722,98,98
723,98,98
724,98,98
725,98,98
726,98,98
727,98,98
728,98,98
729,98,98
730,98,98
731,98,98
732,98,98
733,98,98
734,98,98
735,97,97
736,97,97
737,97,97
738,97,97
739,97,97
740,97,97
741,97,97
742,97,97
743,97,97
744,97,97
745,97,97
746,97,97
747,97,97
748,97,97
749,97,97
750,98,98
751,99,99
752,99,99
753,99,99
754,99,99
755,99,99
756,99,99
757,99,99
758,99,99
759,99,99
760,99,99
761,99,99
762,99,99
763,99,99
764,99,99
765,99,99
766,99,99
767,99,99
768,99,99
769,99,99
770,99,99
771,99,99
772,99,99
773,99,99
774,99,99
775,99,99
776,99,99
777,99,99
778,99,99
779,99,99
780,99,99
781,99,99
782,99,99
783,99,99
784,99,99
785,99,99
786,99,99
787,99,99
788,99,99
789,99,99
790,99,99
791,99,99
792,99,99
793,99,99
794,99,99
795,99,99
796,99,99
797,99,99
798,99,99
799,99,99
800,99,99
801,99,99
802,99,99
803,99,99
804,99,99
805,99,99
806,99,99
807,99,99
808,99,99
809,99,99
810,99,99
811,99,99
812,99,99
813,99,99
814,99,99
815,98,98
816,98,98
817,98,98
818,97,97
819,97,97
820,97,97
821,96,96
822,96,96
823,95,95
824,95,95
825,95,95
826,95,95
827,95,95
828,95,95
829,95,95
830,95,95
831,95,95
832,95,95
833,95,95
834,95,95
835,96,96
836,95,95
837,95,95
838,95,95
839,94,95
840,94,95
841,93,94
842,92,93
843,92,93
844,91,92
845,91,92
846,90,91
847,89,90
848,89,90
849,88,89
850,87,89
851,87,89
852,87,89
853,86,88
854,86,88
855,86,88
856,86,88
857,86,88
858,86,88
859,86,88
860,86,88
