pointer,OQ818321,OQ818329,OQ818343,NC_033820.1
298,82,84,99,99
299,82,83,99,99
300,82,83,99,99
301,82,83,99,99
302,82,84,99,99
303,83,85,99,99
304,83,84,99,99
305,83,84,99,99
306,83,84,99,99
307,82,84,99,99
308,82,84,99,99
309,82,84,99,99
310,82,85,99,99
311,82,84,99,99
312,82,85,99,99
313,82,85,99,99
314,82,85,99,99
315,82,85,99,99
316,82,85,99,99
317,82,85,99,99
318,82,85,99,99
319,82,85,99,99
320,82,85,99,99
321,81,84,99,99
322,80,83,99,99
323,80,83,99,99
324,79,83,99,99
325,79,82,99,99
326,79,82,99,99
327,79,82,99,99
328,78,81,99,99
329,78,81,99,99
330,79,81,99,99
331,79,80,99,99
332,79,80,99,99
333,79,80,99,99
334,79,79,99,99
335,79,79,99,99
336,79,79,99,99
337,78,78,99,99
338,77,78,99,99
339,76,77,99,99
340,77,77,99,99
341,76,76,99,99
342,76,76,99,99
343,76,76,99,99
344,76,76,99,99
345,77,77,99,99
346,77,78,99,99
347,77,78,99,99
348,77,78,99,99
349,76,77,99,99
350,76,77,99,99
351,77,78,99,99
352,77,78,99,99
353,77,78,99,99
354,77,78,99,99
355,77,78,99,99
356,77,79,99,99
357,77,79,99,99
358,77,79,99,99
359,77,79,99,99
360,77,79,99,99
361,77,79,99,99
362,78,80,99,99
363,78,80,99,99
364,78,79,99,99
365,78,79,99,99
366,78,79,99,99
367,79,79,99,99
368,79,79,99,99
369,79,79,99,99
370,79,80,99,99
371,80,80,99,99
372,80,80,99,99
373,80,80,99,99
374,79,80,99,99
375,78,80,99,99
376,78,80,99,99
377,77,80,99,99
378,77,80,99,99
379,76,80,99,99
380,76,80,99,99
381,76,80,99,99
382,77,80,99,99
383,78,81,99,99
384,78,81,99,99
385,78,80,100,100
386,78,79,100,99
387,78,79,100,99
388,77,79,100,99
389,77,78,100,99
390,78,79,100,99
391,78,78,99,99
392,77,77,99,99
393,77,76,99,99
394,78,77,99,99
395,78,76,99,99
396,79,77,99,99
397,79,78,99,98
398,79,77,99,98
399,79,77,99,98
400,78,76,99,98
401,77,75,99,98
402,77,74,99,98
403,77,74,99,98
404,77,75,99,98
405,77,75,99,97
406,76,75,99,97
407,77,75,99,97
408,76,75,99,97
409,76,75,99,97
410,75,75,99,97
411,75,76,99,97
412,75,76,99,97
413,75,76,99,97
414,75,75,99,97
415,74,75,99,97
416,73,74,99,97
417,73,74,99,97
418,73,74,99,97
419,73,74,99,97
420,73,74,99,97
421,74,75,99,97
422,75,76,99,97
423,75,76,99,97
424,76,76,99,97
425,76,77,99,97
426,76,77,99,97
427,76,76,99,97
428,76,77,99,97
429,76,77,99,97
430,76,76,99,97
431,76,77,99,97
432,76,76,99,97
433,76,76,99,97
434,76,77,99,97
435,76,77,99,97
436,76,76,99,97
437,77,76,99,97
438,78,75,99,97
439,79,76,99,97
440,79,76,99,97
441,79,77,99,97
442,79,77,99,97
443,79,77,99,97
444,79,77,99,97
445,79,77,99,97
446,79,77,99,97
447,79,77,99,97
448,79,77,99,97
449,79,78,99,97
450,78,78,99,97
451,78,78,99,97
452,78,77,99,97
453,78,76,99,97
454,78,76,99,97
455,78,76,99,97
456,77,75,99,97
457,77,75,99,97
458,77,75,99,97
459,76,74,99,97
460,76,74,99,97
461,76,74,99,97
462,76,74,99,97
463,75,73,99,97
464,74,73,99,97
465,74,73,99,97
466,74,73,99,97
467,74,73,99,97
468,74,73,99,97
469,74,72,99,97
470,74,72,99,97
471,73,71,99,97
472,73,71,99,97
473,74,72,99,97
474,75,72,99,97
475,75,71,99,97
476,75,71,99,97
477,76,71,99,97
478,76,71,99,97
479,77,71,99,97
480,77,71,99,97
481,77,71,99,97
482,77,71,99,97
483,77,71,99,97
