pointer,OQ818340,OQ818345,OQ818347,OQ818348,KX759618.1,KX759619.1,KX759621.1,KX759622.1,KX759623.1,KX759624.1,NC_033776.1
2612,86,29,69,61,36,47,36,36,49,0,36
2613,86,29,70,61,36,47,36,36,50,0,36
2614,87,28,70,62,35,48,35,36,50,0,36
2615,87,27,70,63,35,49,35,36,51,0,36
2616,87,27,70,62,35,49,35,36,51,0,36
2617,86,26,70,61,35,49,35,36,51,0,36
2618,85,25,69,60,34,49,34,35,51,0,35
2619,84,25,68,59,33,48,33,34,50,0,34
2620,84,24,69,58,33,47,33,34,49,0,34
2621,84,23,69,57,32,46,32,33,48,0,33
2622,84,23,68,57,31,45,31,32,47,0,32
2623,85,23,69,56,32,45,32,33,48,0,33
2624,85,23,69,55,32,45,32,33,48,0,33
2625,84,23,68,54,31,44,31,32,47,0,32
2626,84,24,68,54,32,45,32,33,48,0,33
2627,84,25,69,55,33,45,33,34,48,0,34
2628,83,26,70,55,33,45,33,35,48,0,35
2629,82,25,70,55,34,46,34,36,49,0,36
2630,82,24,69,55,34,45,34,36,48,0,36
2631,81,24,69,54,34,44,34,36,47,0,36
2632,81,25,70,53,35,45,35,37,48,0,37
2633,81,26,70,52,35,45,35,37,48,0,37
2634,80,25,70,51,34,44,34,36,47,0,36
2635,81,25,70,51,34,45,34,35,47,0,35
2636,81,24,69,51,34,46,34,35,48,0,35
2637,80,23,68,51,34,46,34,35,48,0,35
2638,81,23,68,51,35,47,35,36,48,0,36
2639,81,23,67,51,35,47,35,36,48,0,36
2640,80.80808081,22.22222222,66.66666667,50,35.35353535,47.47474747,35.35353535,36.36363636,48.48484848,0,36.36363636
2641,80.6122449,22.44897959,66.32653061,50,35.71428571,47.95918367,35.71428571,36.73469388,48.97959184,0,36.73469388
2642,81.44329897,22.68041237,67.01030928,50,36.08247423,48.45360825,36.08247423,37.11340206,49.48453608,0,37.11340206
2643,80.41237113,22.68041237,65.97938144,49,36.08247423,48.45360825,36.08247423,37.11340206,49.48453608,0,37.11340206
2644,81.44329897,22.68041237,65.97938144,49,37.11340206,49.48453608,37.11340206,38.1443299,50.51546392,0,38.1443299
2645,81.44329897,21.64948454,65.97938144,48,37.11340206,50.51546392,37.11340206,38.1443299,51.54639175,0,38.1443299
2646,81.44329897,21.64948454,64.94845361,48,36.08247423,50.51546392,36.08247423,37.11340206,51.54639175,0,37.11340206
2647,81.44329897,20.6185567,63.91752577,48,36.08247423,50.51546392,36.08247423,37.11340206,51.54639175,0,37.11340206
2648,81.44329897,20.6185567,63.91752577,47,36.08247423,50.51546392,36.08247423,37.11340206,51.54639175,0,37.11340206
2649,80.41237113,19.58762887,63.91752577,47,36.08247423,49.48453608,36.08247423,37.11340206,50.51546392,0,37.11340206
2650,80.41237113,19.58762887,64.94845361,46,36.08247423,49.48453608,36.08247423,37.11340206,50.51546392,0,37.11340206
2651,80.41237113,20.6185567,64.94845361,46,37.11340206,50.51546392,37.11340206,38.1443299,51.54639175,0,38.1443299
2652,80.41237113,20.6185567,63.91752577,45,36.08247423,49.48453608,36.08247423,37.11340206,50.51546392,0,37.11340206
2653,80.41237113,21.64948454,63.91752577,45,36.08247423,49.48453608,36.08247423,37.11340206,50.51546392,0,37.11340206
2654,80.41237113,22.68041237,63.91752577,45,37.11340206,49.48453608,37.11340206,38.1443299,50.51546392,0,38.1443299
2655,80.41237113,22.68041237,63.91752577,45,37.11340206,49.48453608,37.11340206,38.1443299,50.51546392,0,38.1443299
2656,80.41237113,22.68041237,63.91752577,45,37.11340206,49.48453608,37.11340206,38.1443299,50.51546392,0,38.1443299
2657,80.41237113,21.64948454,63.91752577,45,36.08247423,48.45360825,36.08247423,37.11340206,49.48453608,0,37.11340206
2658,79.3814433,21.64948454,63.91752577,45,35.05154639,47.42268041,35.05154639,36.08247423,48.45360825,0,36.08247423
2659,79.3814433,21.64948454,64.94845361,45,36.08247423,48.45360825,36.08247423,37.11340206,49.48453608,0,37.11340206
2660,79.3814433,21.64948454,64.94845361,46,37.11340206,49.48453608,37.11340206,38.1443299,50.51546392,0,38.1443299
2661,78.35051546,20.6185567,63.91752577,46,36.08247423,48.45360825,36.08247423,37.11340206,49.48453608,0,37.11340206
2662,78.35051546,20.6185567,64.94845361,45,36.08247423,48.45360825,36.08247423,37.11340206,49.48453608,0,37.11340206
2663,78.35051546,21.64948454,65.97938144,46,36.08247423,48.45360825,36.08247423,37.11340206,49.48453608,0,37.11340206
2664,78.35051546,21.64948454,67.01030928,46,37.11340206,49.48453608,37.11340206,38.1443299,49.48453608,0,38.1443299
2665,78.35051546,21.64948454,65.97938144,46,37.11340206,49.48453608,37.11340206,38.1443299,49.48453608,0,38.1443299
2666,79.3814433,22.68041237,65.97938144,47,37.11340206,48.45360825,37.11340206,38.1443299,48.45360825,0,38.1443299
2667,79.3814433,22.68041237,65.97938144,46,37.11340206,48.45360825,37.11340206,38.1443299,48.45360825,0,38.1443299
2668,79.3814433,22.68041237,65.97938144,46,37.11340206,48.45360825,37.11340206,38.1443299,48.45360825,0,38.1443299
2669,79.3814433,22.68041237,65.97938144,46,37.11340206,48.45360825,37.11340206,38.1443299,48.45360825,0,38.1443299
2670,78.35051546,22.68041237,64.94845361,45,37.11340206,48.45360825,37.11340206,38.1443299,48.45360825,0,38.1443299
2671,78.35051546,22.68041237,63.91752577,45,37.11340206,48.45360825,37.11340206,38.1443299,48.45360825,0,38.1443299
2672,78.35051546,22.68041237,63.91752577,45,37.11340206,48.45360825,37.11340206,38.1443299,47.42268041,0,38.1443299
2673,77.31958763,22.68041237,62.88659794,46,37.11340206,47.42268041,37.11340206,38.1443299,46.39175258,0,38.1443299
2674,78.35051546,22.68041237,61.8556701,46,37.11340206,47.42268041,37.11340206,37.11340206,46.39175258,0,37.11340206
2675,78.35051546,22.68041237,61.8556701,46,36.08247423,46.39175258,36.08247423,36.08247423,45.36082474,0,36.08247423
2676,77.31958763,22.68041237,60.82474227,45,35.05154639,45.36082474,35.05154639,35.05154639,44.32989691,0,35.05154639
2677,77.31958763,22.68041237,60.82474227,45,35.05154639,45.36082474,35.05154639,35.05154639,44.32989691,0,35.05154639
2678,77.31958763,22.68041237,60.82474227,45,34.02061856,44.32989691,34.02061856,34.02061856,43.29896907,0,34.02061856
2679,77.31958763,22.68041237,59.79381443,45,32.98969072,43.29896907,32.98969072,32.98969072,42.26804124,0,32.98969072
2680,77.31958763,22.68041237,58.7628866,45,34.02061856,44.32989691,34.02061856,34.02061856,43.29896907,0,34.02061856
2681,77.31958763,22.68041237,58.7628866,45,34.02061856,44.32989691,34.02061856,34.02061856,43.29896907,0,34.02061856
2682,77.31958763,22.68041237,58.7628866,44,34.02061856,44.32989691,34.02061856,35.05154639,43.29896907,0,35.05154639
2683,77.31958763,22.68041237,58.7628866,43,34.02061856,45.36082474,34.02061856,35.05154639,44.32989691,0,35.05154639
2684,77.31958763,21.64948454,58.7628866,44,32.98969072,44.32989691,32.98969072,35.05154639,43.29896907,0,35.05154639
2685,77.31958763,20.6185567,59.79381443,45,32.98969072,44.32989691,32.98969072,35.05154639,43.29896907,0,35.05154639
2686,77.31958763,20.6185567,60.82474227,46,32.98969072,44.32989691,32.98969072,35.05154639,43.29896907,0,35.05154639
2687,77.31958763,20.6185567,60.82474227,46,32.98969072,44.32989691,32.98969072,35.05154639,43.29896907,0,35.05154639
2688,76.28865979,19.58762887,60.82474227,46,31.95876289,44.32989691,31.95876289,34.02061856,42.26804124,0,34.02061856
2689,76.28865979,19.58762887,59.79381443,45,31.95876289,45.36082474,31.95876289,34.02061856,43.29896907,0,34.02061856
2690,75.25773196,18.55670103,58.7628866,45,30.92783505,44.32989691,30.92783505,32.98969072,42.26804124,0,32.98969072
2691,75.25773196,17.5257732,58.7628866,44,29.89690722,43.29896907,29.89690722,32.98969072,42.26804124,0,32.98969072
2692,74.22680412,17.5257732,58.7628866,44,30.92783505,43.29896907,30.92783505,32.98969072,42.26804124,0,32.98969072
2693,74.22680412,17.5257732,58.7628866,44,30.92783505,44.32989691,30.92783505,34.02061856,43.29896907,0,34.02061856
2694,74.22680412,16.49484536,57.73195876,43,30.92783505,44.32989691,30.92783505,35.05154639,44.32989691,0,35.05154639
2695,74.22680412,16.49484536,57.73195876,43,30.92783505,44.32989691,30.92783505,34.02061856,43.29896907,0,34.02061856
2696,74.22680412,16.49484536,57.73195876,43,31.95876289,43.29896907,31.95876289,34.02061856,42.26804124,0,34.02061856
2697,73.19587629,16.49484536,56.70103093,43,31.95876289,43.29896907,31.95876289,34.02061856,42.26804124,0,34.02061856
2698,73.19587629,16.49484536,55.67010309,42,31.95876289,44.32989691,31.95876289,34.02061856,42.26804124,0,34.02061856
2699,73.19587629,16.49484536,56.70103093,42,31.95876289,43.29896907,31.95876289,34.02061856,41.2371134,0,34.02061856
2700,73.19587629,16.49484536,57.73195876,42,30.92783505,42.26804124,30.92783505,32.98969072,40.20618557,0,32.98969072
2701,73.19587629,16.49484536,58.7628866,43,29.89690722,42.26804124,29.89690722,32.98969072,40.20618557,0,32.98969072
2702,73.19587629,16.49484536,58.7628866,42,29.89690722,41.2371134,29.89690722,32.98969072,39.17525773,0,32.98969072
2703,72.16494845,16.49484536,58.7628866,41,29.89690722,40.20618557,29.89690722,32.98969072,38.1443299,0,32.98969072
2704,72.16494845,16.49484536,58.7628866,41,30.92783505,40.20618557,30.92783505,34.02061856,38.1443299,0,34.02061856
2705,72.16494845,16.49484536,58.7628866,41,31.95876289,40.20618557,31.95876289,35.05154639,38.1443299,0,35.05154639
2706,72.16494845,16.49484536,58.7628866,41,32.98969072,40.20618557,32.98969072,35.05154639,38.1443299,0,35.05154639
2707,72.16494845,16.49484536,59.79381443,42,32.98969072,40.20618557,32.98969072,35.05154639,38.1443299,0,35.05154639
2708,72.16494845,16.49484536,60.82474227,42,32.98969072,40.20618557,32.98969072,35.05154639,38.1443299,0,35.05154639
2709,72.16494845,16.49484536,60.82474227,42,31.95876289,39.17525773,31.95876289,34.02061856,37.11340206,0,34.02061856
2710,72.16494845,16.49484536,60.82474227,42,31.95876289,39.17525773,31.95876289,34.02061856,37.11340206,0,34.02061856
2711,72.16494845,16.49484536,60.82474227,41,31.95876289,39.17525773,31.95876289,34.02061856,37.11340206,0,34.02061856
2712,71.13402062,16.49484536,60.82474227,40,30.92783505,38.1443299,30.92783505,34.02061856,36.08247423,0,34.02061856
2713,71.13402062,16.49484536,60.82474227,39,31.95876289,39.17525773,31.95876289,35.05154639,36.08247423,0,35.05154639
2714,71.13402062,16.49484536,60.82474227,38,32.98969072,39.17525773,32.98969072,36.08247423,36.08247423,0,36.08247423
2715,70.10309278,16.49484536,59.79381443,37,32.98969072,38.1443299,32.98969072,36.08247423,35.05154639,0,36.08247423
2716,69.07216495,16.49484536,58.7628866,37,32.98969072,38.1443299,32.98969072,36.08247423,35.05154639,0,36.08247423
2717,70.10309278,16.49484536,59.79381443,37,32.98969072,38.1443299,32.98969072,36.08247423,35.05154639,0,36.08247423
2718,70.10309278,16.49484536,59.79381443,37,32.98969072,38.1443299,32.98969072,36.08247423,35.05154639,0,36.08247423
2719,71.13402062,16.49484536,59.79381443,38,32.98969072,38.1443299,32.98969072,36.08247423,35.05154639,0,36.08247423
