pointer,MG888045.1,NC_026470.1
49,6.382978723404255,23.0
50,6.382978723404255,23.0
51,6.382978723404255,24.0
52,7.446808510638298,25.0
53,7.446808510638298,25.0
54,7.446808510638298,25.0
55,7.446808510638298,25.0
56,7.446808510638298,25.0
57,7.446808510638298,25.0
58,6.382978723404255,24.0
59,6.382978723404255,24.0
60,6.382978723404255,24.0
61,6.382978723404255,24.0
62,6.382978723404255,24.0
63,6.382978723404255,23.0
64,5.319148936170213,22.0
65,5.319148936170213,22.0
66,5.319148936170213,22.0
67,5.319148936170213,22.0
68,5.319148936170213,23.0
69,5.319148936170213,23.0
70,5.319148936170213,23.0
71,5.319148936170213,24.0
72,5.319148936170213,24.0
73,5.376344086021505,24.0
74,5.376344086021505,24.0
75,5.376344086021505,25.0
76,4.301075268817205,24.0
77,4.301075268817205,24.0
78,4.301075268817205,24.0
79,4.301075268817205,24.0
80,4.301075268817205,23.0
81,4.301075268817205,23.0
82,4.301075268817205,23.0
83,4.301075268817205,23.0
84,4.301075268817205,23.0
85,4.301075268817205,22.0
86,4.301075268817205,22.0
87,4.301075268817205,22.0
88,4.301075268817205,22.0
89,4.301075268817205,22.0
90,4.301075268817205,22.0
91,4.301075268817205,21.0
92,4.301075268817205,21.0
93,4.301075268817205,22.0
94,4.301075268817205,23.0
95,4.301075268817205,23.0
96,4.301075268817205,23.0
97,4.301075268817205,24.0
98,4.301075268817205,23.0
99,4.301075268817205,23.0
100,4.301075268817205,23.0
101,4.301075268817205,23.0
102,4.301075268817205,23.0
103,4.301075268817205,24.0
104,4.301075268817205,25.0
105,4.301075268817205,26.0
106,4.301075268817205,26.0
107,4.301075268817205,25.0
108,4.301075268817205,25.0
109,4.301075268817205,24.0
110,4.25531914893617,25.0
111,4.2105263157894735,25.0
112,4.25531914893617,25.0
113,3.1914893617021276,25.0
114,4.25531914893617,26.0
115,3.1914893617021276,25.0
116,3.1914893617021276,25.0
117,3.1578947368421053,25.0
118,3.125,25.0
119,3.125,25.0
120,3.125,25.0
121,3.125,25.0
122,3.125,25.0
123,3.125,24.0
124,4.166666666666666,25.0
125,4.166666666666666,25.0
126,4.166666666666666,25.0
127,5.208333333333334,26.0
128,5.208333333333334,27.0
129,5.208333333333334,27.0
130,4.166666666666666,26.0
131,4.123711340206185,26.0
132,4.081632653061225,27.0
133,4.081632653061225,26.0
134,4.081632653061225,26.0
135,4.081632653061225,26.0
136,4.081632653061225,26.0
137,4.081632653061225,26.0
138,4.081632653061225,26.0
139,4.081632653061225,26.0
140,4.081632653061225,26.0
141,4.081632653061225,27.0
142,4.081632653061225,26.0
143,4.123711340206185,25.0
144,4.166666666666666,24.0
145,4.2105263157894735,23.0
146,4.25531914893617,23.0
147,4.301075268817205,23.0
148,4.3478260869565215,23.0
149,4.395604395604396,22.0
150,4.444444444444445,21.0
151,4.49438202247191,20.0
152,3.4090909090909087,19.0
153,3.4090909090909087,19.0
154,3.4090909090909087,19.0
155,3.4090909090909087,19.0
156,3.4090909090909087,20.0
157,3.4090909090909087,20.0
158,3.4090909090909087,20.0
159,3.4090909090909087,20.0
160,3.4090909090909087,20.0
161,3.4090909090909087,20.0
162,3.4090909090909087,20.0
163,3.4090909090909087,20.0
164,3.4090909090909087,20.0
165,3.4090909090909087,20.0
166,3.4090909090909087,20.0
167,3.4090909090909087,20.0
168,3.4090909090909087,20.0
169,3.4090909090909087,20.0
170,3.4090909090909087,20.0
171,3.4090909090909087,19.0
172,3.4090909090909087,20.0
173,3.3707865168539324,20.0
174,3.3707865168539324,20.0
175,3.3707865168539324,19.0
176,3.3707865168539324,19.0
177,3.3707865168539324,20.0
178,3.3707865168539324,20.0
179,3.3707865168539324,20.0
180,3.3707865168539324,20.0
181,3.4090909090909087,20.0
182,3.4482758620689653,20.0
183,3.488372093023256,20.0
184,3.5294117647058822,20.0
185,3.571428571428571,20.0
186,3.614457831325301,20.0
187,3.614457831325301,20.0
188,3.614457831325301,20.0
189,3.614457831325301,21.0
190,3.614457831325301,22.0
191,3.614457831325301,23.0
192,3.614457831325301,24.0
193,3.614457831325301,24.0
194,3.614457831325301,23.0
195,3.614457831325301,23.0
196,3.614457831325301,22.0
197,3.614457831325301,22.0
198,3.614457831325301,22.0
199,3.614457831325301,22.0
200,3.614457831325301,21.0
201,3.614457831325301,21.0
202,3.614457831325301,21.0
203,3.614457831325301,20.0
204,3.614457831325301,19.0
205,3.614457831325301,18.0
