pointer,JX885611.1,OP287812.1
243,99,99
244,99,99
245,99,99
246,99,99
247,99,100
248,99,100
249,99,100
250,98,100
251,98,100
252,98,100
253,98,100
254,98,100
255,98,100
256,98,100
257,98,100
258,98,100
259,98,100
260,98,100
261,98,100
262,98,100
263,98,100
264,98,100
265,98,100
266,98,100
267,98,100
268,98,100
269,98,100
270,98,100
271,98,100
272,98,100
273,98,100
274,98,100
275,98,100
276,98,100
277,98,100
278,98,100
279,98,100
280,98,100
281,98,100
282,98,100
283,98,100
284,98,100
285,98,100
286,98,100
287,98,100
288,98,100
289,98,100
290,98,100
291,98,100
292,98,100
293,98,100
294,98,100
295,98,100
296,98,100
297,98,100
298,98,100
299,98,100
300,98,100
301,98,100
302,98,100
303,98,100
304,98,100
305,98,100
306,98,100
307,98,100
308,98,100
309,98,100
310,98,100
311,98,100
312,98,100
313,98,100
314,98,100
315,98,100
316,98,100
317,98,100
318,98,100
319,98,100
320,98,100
321,98,100
322,98,100
323,98,100
324,98,100
325,98,100
326,98,100
327,98,100
328,98,100
329,98,100
330,98,100
331,99,100
332,99,100
333,99,100
334,99,100
335,99,100
336,99,100
337,99,100
338,99,100
339,99,100
340,99,100
341,99,100
342,99,100
343,99,100
344,99,100
345,99,100
346,99,100
347,99,100
348,99,100
349,99,100
350,100,100
351,100,100
352,100,100
353,100,100
354,100,100
355,100,100
356,100,100
357,100,100
358,100,100
359,100,100
360,100,100
361,100,100
362,100,100
363,100,100
364,100,100
365,100,100
366,100,100
367,100,100
368,100,100
369,100,100
370,100,100
371,100,100
372,100,100
373,100,100
374,100,100
375,100,100
376,100,100
377,100,100
378,100,100
379,100,100
380,100,100
381,100,100
382,100,100
383,100,100
384,100,100
385,100,100
386,100,100
387,100,100
388,100,100
389,100,100
390,100,100
391,100,100
392,100,100
393,100,100
394,100,100
395,100,100
396,100,100
397,100,100
398,100,100
399,100,100
400,100,100
401,100,100
402,100,100
403,100,100
404,100,100
405,100,100
406,100,100
407,100,100
408,100,100
409,100,100
410,100,100
411,100,100
412,100,100
413,100,100
414,100,100
415,100,100
416,100,100
417,100,100
418,100,100
419,100,100
420,100,100
421,100,100
422,100,100
423,100,100
424,100,100
425,100,100
426,100,100
427,100,100
428,100,100
429,100,100
430,100,100
431,100,100
432,100,100
433,100,100
434,100,100
435,100,100
436,100,100
437,100,100
438,100,100
439,100,100
440,100,100
441,100,100
442,100,100
443,100,100
444,100,100
445,100,100
446,100,100
447,100,100
448,100,100
449,100,100
450,100,100
451,100,100
452,100,100
453,100,100
454,100,100
455,100,100
456,100,100
457,100,100
458,100,100
459,100,100
460,100,100
461,100,100
462,100,100
463,100,100
464,100,100
465,100,100
466,100,100
467,100,100
468,100,100
469,100,100
470,100,100
471,100,100
472,100,100
473,100,100
474,100,100
475,100,100
476,100,100
477,100,100
478,100,100
479,100,100
480,100,100
481,100,100
482,100,100
483,100,100
484,100,100
485,100,100
486,100,100
487,100,100
488,100,100
489,100,100
490,100,100
491,100,100
492,100,100
493,100,100
494,100,100
495,100,100
496,100,100
497,100,100
498,100,100
499,100,100
500,99,100
501,99,100
502,99,100
503,99,100
504,99,100
505,99,100
506,99,100
507,99,100
508,99,100
509,99,100
510,99,100
511,99,100
512,99,100
513,99,100
514,99,100
515,99,100
516,98,100
517,97,100
