pointer,KT452712.1,KT452713.1,KT452729.1,KT452731.1,KT452732.1,KT452743.1,KT452744.1,NC_028366.1,NC_038313.1,NC_038316.1
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,37.89473684210527
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,38.94736842105263
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,38.94736842105263
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,38.94736842105263
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,38.94736842105263
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,38.94736842105263
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,38.94736842105263
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,38.94736842105263
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,38.94736842105263
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,38.94736842105263
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.94736842105263
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.94736842105263
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.94736842105263
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,38.94736842105263
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,38.94736842105263
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,37.89473684210527
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,36.84210526315789
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,35.78947368421053
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.84210526315789
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,36.84210526315789
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,36.84210526315789
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,36.84210526315789
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,36.84210526315789
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.5
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.11340206185567
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,36.734693877551024
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,36.36363636363637
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,36.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,36.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.35353535353536,36.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.69387755102041,35.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.02061855670103,34.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,33.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.68421052631579,32.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.04255319148936,31.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.40860215053764,31.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.78260869565217,30.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.065934065934066,28.999999999999996
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,28.999999999999996
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786516853933,28.999999999999996
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786516853933,28.999999999999996
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.831460674157306,30.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.831460674157306,30.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.95505617977528,31.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.831460674157306,31.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.831460674157306,31.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.831460674157306,30.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786516853933,30.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786516853933,30.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786516853933,28.999999999999996
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786516853933,28.999999999999996
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786516853933,28.999999999999996
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786516853933,28.000000000000004
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786516853933,28.000000000000004
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786516853933,28.000000000000004
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786516853933,28.000000000000004
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70786516853933,28.000000000000004
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.831460674157306,28.999999999999996
