Pointer,NC_028981 - PP766455,NC_028981 - NC_028366,PP766455 - NC_028366
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,7,15,69
120,7,20,73
140,1,26,72
160,0,10,90
180,1,13,86
200,1,3,96
220,0,0,100
240,0,0,100
260,0,0,100
280,0,0,100
300,0,0,100
320,0,0,100
340,0,0,100
360,0,0,100
380,0,0,100
400,0,0,100
420,0,0,100
440,0,0,100
460,0,0,100
480,0,0,100
500,0,0,100
520,0,0,100
540,0,0,100
560,0,0,100
580,0,0,100
600,0,0,100
620,0,0,100
640,0,0,100
660,0,0,100
680,0,0,100
700,0,0,100
720,0,0,100
740,0,0,100
760,1,3,96
780,2,6,92
800,6,47,45
820,8,36,55
840,15,42,42
860,21,27,50
880,11,37,49
900,5,26,60
920,1,19,76
940,1,5,93
960,2,11,87
980,1,11,84
1000,0,1,93
1020,1,28,66
1040,1,20,73
1060,0,30,68
1080,0,26,70
1100,0,17,81
1120,0,27,68
1140,4,44,41
1160,3,15,76
1180,0,16,77
1200,1,36,58
1220,5,22,67
1240,3,38,58
1260,0,55,35
1280,3,56,32
1300,7,59,23
1320,11,44,38
1340,5,62,24
1360,9,53,31
1380,2,37,51
1400,1,10,83
1420,2,1,95
1440,9,0,90
1460,7,1,86
1480,4,0,92
1500,6,0,91
1520,6,2,91
1540,5,0,92
1560,32,2,58
1580,11,2,83
1600,13,7,66
1620,25,22,39
1640,1,9,88
1660,4,6,86
1680,3,0,96
1700,4,0,95
1720,1,0,97
1740,0,0,100
1760,0,0,100
1780,0,2,98
1800,1,0,98
1820,0,0,100
1840,1,0,98
1860,0,1,99
1880,6,3,88
1900,9,7,75
1920,18,16,58
1940,45,18,31
1960,29,30,37
1980,45,8,36
2000,22,12,58
2020,47,4,42
2040,41,23,31
2060,49,23,19
2080,46,23,17
2100,33,21,36
2120,52,15,27
2140,53,11,30
2160,65,4,27
2180,39,10,43
2200,22,3,70
2220,12,8,72
2240,16,0,77
2260,1,0,97
2280,0,1,98
2300,0,0,99
2320,0,0,100
2340,0,0,100
2360,0,0,100
2380,0,0,100
2400,0,0,99
2420,0,3,96
2440,0,1,99
2460,0,2,96
2480,0,1,97
2500,0,0,100
2520,0,0,100
2540,0,0,100
2560,1,1,98
2580,6,0,93
2600,3,0,97
2620,2,0,96
2640,12,3,79
2660,5,2,91
2680,4,3,89
2700,3,3,91
2720,2,4,91
2740,0,0,99
2760,0,0,99
2780,0,0,100
2800,0,0,100
2820,0,1,99
2840,0,0,100
2860,0,1,99
2880,0,0,99
2900,0,1,99
2920,1,1,98
2940,0,2,98
2960,0,6,93
2980,0,13,85
3000,0,7,89
3020,0,27,68
3040,0,9,89
3060,1,0,99
3080,0,2,95
3100,0,2,97
3120,1,5,93
3140,2,23,70
3160,10,15,72
3180,9,14,70
3200,7,9,81
3220,8,3,85
3240,3,1,96
3260,4,9,87
3280,14,18,67
3300,17,10,71
3320,13,8,79
3340,7,8,85
3360,1,3,96
3380,1,3,96
3400,12,4,80
3420,3,0,97
3440,0,3,97
3460,1,4,94
3480,2,0,98
3500,0,0,100
3520,0,0,100
3540,0,0,100
3560,0,0,100
3580,0,0,100
3600,0,0,100
3620,0,0,100
3640,0,0,100
3660,0,0,100
3680,0,0,100
3700,0,0,100
3720,0,0,100
3740,0,0,100
3760,0,0,100
3780,0,0,100
3800,0,0,100
3820,0,0,100
3840,1,0,99
3860,1,0,99
3880,0,0,99
3900,1,0,99
3920,3,0,95
3940,16,0,78
3960,11,0,87
3980,14,0,81
4000,21,0,74
4020,13,0,82
4040,8,0,88
4060,8,0,90
4080,10,0,83
4100,19,2,73
4120,16,1,79
4140,4,1,92
4160,1,1,97
4180,13,5,75
4200,9,4,84
4220,13,2,83
4240,2,4,90
4260,13,11,73
4280,19,19,57
4300,31,3,59
4320,28,3,58
4340,21,2,71
4360,18,3,76
4380,12,8,74
4400,12,6,76
4420,8,13,75
4440,1,2,96
4460,1,3,95
4480,0,1,98
4500,1,0,98
4520,0,6,92
4540,2,5,89
4560,9,7,82
4580,16,2,77
4600,19,8,73
4620,19,13,58
4640,23,7,64
4660,39,13,36
4680,33,28,30
4700,33,33,22
4720,13,30,52
4740,4,42,47
4760,0,32,60
4780,2,30,61
4800,0,14,80
4820,1,8,88
4840,0,7,90
4860,0,3,96
4880,0,7,89
4900,0,11,85
4920,0,4,96
4940,1,3,96
4960,4,0,94
4980,1,0,98
5000,1,0,99
5020,0,2,96
5040,0,4,94
5060,0,5,89
5080,1,2,93
5100,0,0,99
5120,0,2,98
5140,0,0,100
5160,0,1,97
5180,0,7,90
5200,1,2,95
5220,1,0,99
5240,0,3,95
5260,8,4,85
5280,1,0,99
5300,1,0,99
5320,5,0,93
5340,2,1,96
5360,4,2,89
5380,0,3,93
5400,2,4,93
5420,0,0,99
5440,0,1,99
5460,1,0,99
5480,2,1,97
5500,6,10,84
5520,10,13,76
5540,12,5,82
5560,4,5,91
5580,9,8,83
5600,7,9,83
5620,18,38,44
5640,17,35,44
5660,25,22,48
5680,16,25,48
5700,17,6,67
5720,19,8,61
5740,21,9,61
5760,11,13,72
5780,7,11,76
5800,18,12,64
5820,4,21,67
5840,0,11,85
5860,1,3,94
5880,0,0,100
5900,0,5,93
5920,0,3,97
5940,0,6,90
5960,2,5,91
5980,1,3,95
6000,1,0,99
6020,8,0,92
6040,2,2,93
6060,15,10,68
6080,29,6,57
6100,26,2,62
6120,55,7,28
6140,35,5,46
6160,20,3,71
6180,16,9,67
6200,6,6,76
6220,2,5,89
6240,2,0,96
6260,0,0,99
6280,0,16,79
6300,4,15,77
6320,0,14,81
6340,0,5,95
6360,0,7,92
6380,0,12,88
6400,0,3,97
6420,0,8,90
6440,0,9,88
6460,0,1,98
6480,0,0,100
6500,0,0,100
6520,0,0,100
6540,0,0,100
6560,0,1,98
6580,0,0,100
6600,1,1,98
6620,3,2,93
6640,2,0,97
6660,7,0,88
6680,6,0,94
6700,4,5,90
6720,1,7,90
6740,8,3,87
6760,1,1,96
6780,1,0,98
6800,3,0,95
