Pointer,NC_034206.1 - NC_038317,NC_034206.1 - OQ818317,NC_038317 - OQ818317
20,16,2,82
40,23,5,72
60,27,15,58
80,66,1,33
100,51,6,43
120,17,5,78
140,16,1,82
160,24,1,74
180,53,6,40
200,74,11,15
220,74,19,7
240,47,47,3
260,58,36,3
280,35,59,6
300,41,50,9
320,42,57,1
340,22,75,3
360,24,76,0
380,23,76,1
400,16,82,2
420,18,65,16
440,24,33,42
460,13,43,43
480,14,48,38
500,16,42,40
520,13,43,44
540,15,45,40
560,6,63,31
580,9,57,33
600,16,50,34
620,20,39,40
640,16,38,46
660,39,34,25
680,25,38,37
700,50,33,17
720,38,39,21
740,32,51,16
760,32,46,21
780,51,18,29
800,35,4,61
820,39,18,43
840,47,4,48
860,14,9,77
880,30,4,66
900,19,14,66
920,12,18,70
940,24,3,73
960,17,1,82
980,13,12,75
1000,4,43,53
1020,3,74,23
1040,1,92,7
1060,0,80,20
1080,2,78,20
1100,4,49,46
1120,2,61,37
1140,2,62,35
1160,2,82,15
1180,4,74,22
1200,6,76,13
1220,17,57,23
1240,38,50,8
1260,54,44,0
1280,29,71,0
1300,7,92,0
1320,11,89,0
1340,14,86,0
1360,34,66,0
1380,36,62,1
1400,28,59,12
1420,22,65,12
1440,9,81,10
1460,1,59,39
1480,3,89,7
1500,2,66,31
1520,3,68,28
1540,0,28,65
1560,0,57,38
1580,0,62,33
1600,1,77,18
1620,3,68,27
1640,2,34,62
1660,12,27,60
1680,16,15,64
1700,31,22,46
1720,15,11,72
1740,27,19,51
1760,20,49,26
1780,27,20,44
1800,17,21,56
1820,3,39,49
1840,7,58,32
1860,10,37,47
1880,17,32,46
1900,11,22,63
1920,15,16,65
1940,16,21,52
1960,47,6,45
1980,73,6,15
2000,82,6,6
2020,88,1,7
2040,82,1,16
2060,80,5,11
2080,64,1,30
2100,82,3,11
2120,88,3,4
2140,69,26,3
2160,28,43,19
2180,34,43,18
2200,29,49,13
2220,37,49,5
2240,32,60,5
2260,15,76,7
2280,12,82,4
2300,9,75,14
2320,20,70,7
2340,43,46,10
2360,88,10,2
2380,64,34,1
2400,48,51,1
2420,26,63,10
2440,59,33,7
2460,65,28,6
2480,41,49,4
2500,24,64,9
2520,12,74,9
2540,15,47,31
2560,3,73,18
2580,1,46,50
2600,0,48,46
2620,9,27,58
2640,5,44,42
2660,9,33,53
2680,29,22,42
2700,42,17,33
2720,53,6,33
2740,61,11,24
2760,69,1,25
2780,65,9,24
2800,60,13,22
2820,43,33,17
2840,53,36,7
2860,40,39,18
2880,43,37,17
2900,54,38,5
2920,45,54,1
2940,38,61,1
2960,40,52,7
2980,76,23,1
3000,47,39,13
3020,61,30,9
3040,67,23,10
3060,64,29,7
3080,89,10,0
3100,80,14,6
3120,62,5,33
3140,56,12,31
3160,67,20,7
3180,52,11,6
3200,55,6,3
3220,22,54,21
3240,20,77,3
3260,24,75,1
3280,1,94,5
3300,1,95,4
3320,0,98,2
3340,2,96,2
3360,2,98,0
3380,0,96,4
3400,0,96,4
3420,34,61,5
3440,10,51,37
3460,24,67,9
3480,26,34,40
3500,29,34,37
3520,16,29,54
3540,10,38,51
3560,26,33,41
3580,18,41,39
3600,26,18,55
3620,16,16,59
3640,60,7,24
3660,24,1,71
3680,11,5,80
3700,10,2,82
3720,16,10,67
3740,5,5,85
3760,3,1,93
3780,5,2,90
3800,5,0,95
3820,2,2,96
3840,1,3,96
3860,3,6,91
3880,0,1,99
3900,2,1,97
3920,1,1,98
3940,6,1,93
3960,26,0,74
3980,29,1,70
4000,26,0,74
4020,52,19,29
4040,27,50,23
4060,10,38,52
4080,20,55,25
4100,27,46,27
4120,21,67,12
4140,9,66,25
4160,3,85,8
4180,2,72,22
4200,1,80,16
4220,0,31,62
4240,2,17,76
4260,1,3,96
4280,0,1,98
4300,0,0,100
4320,0,2,97
4340,0,0,100
4360,0,0,100
4380,0,0,100
4400,0,0,100
4420,0,0,100
4440,0,0,100
4460,0,0,100
4480,0,0,100
4500,0,5,94
4520,1,6,93
4540,2,14,81
4560,17,5,78
4580,1,2,97
4600,4,10,86
4620,1,7,92
4640,10,29,60
4660,17,33,50
4680,43,20,36
4700,5,6,89
4720,1,0,99
4740,1,0,99
4760,0,0,100
4780,0,0,99
4800,0,0,100
4820,0,0,100
4840,0,0,100
4860,0,0,100
4880,0,0,100
4900,0,0,100
4920,0,3,97
4940,0,0,100
4960,0,3,94
4980,5,3,89
5000,5,3,91
5020,0,0,99
5040,28,1,71
5060,63,1,32
5080,79,2,18
5100,91,0,9
5120,94,4,2
5140,96,3,1
5160,95,2,3
5180,90,9,1
5200,86,11,2
5220,84,14,2
5240,68,31,1
5260,49,47,4
5280,40,49,9
5300,5,94,1
5320,43,44,12
5340,37,60,3
5360,32,54,13
5380,39,50,11
5400,30,64,6
5420,48,46,6
5440,39,44,15
5460,54,20,26
