Pointer,PP711921 - OQ818320,PP711921 - PP711911,OQ818320 - PP711911
20,82,0,13
40,81,0,15
60,91,1,8
80,88,3,8
100,89,1,9
120,85,4,10
140,65,0,33
160,79,0,21
180,90,0,10
200,89,0,11
220,94,2,3
240,86,1,12
260,74,0,24
280,67,1,31
300,68,0,30
320,71,0,23
340,95,0,3
360,97,0,2
380,98,0,2
400,97,0,2
420,92,0,3
440,97,1,0
460,93,5,0
480,100,0,0
500,100,0,0
520,100,0,0
540,100,0,0
560,100,0,0
580,100,0,0
600,100,0,0
620,100,0,0
640,100,0,0
660,100,0,0
680,100,0,0
700,100,0,0
720,100,0,0
740,100,0,0
760,100,0,0
780,100,0,0
800,100,0,0
820,100,0,0
840,100,0,0
860,100,0,0
880,100,0,0
900,100,0,0
920,99,0,1
940,100,0,0
960,92,0,7
980,88,0,9
1000,75,0,18
1020,40,8,45
1040,40,17,32
1060,30,41,19
1080,24,62,10
1100,25,65,5
1120,13,73,6
1140,13,74,7
1160,13,80,5
1180,24,60,11
1200,61,27,3
1220,86,7,4
1240,75,14,5
1260,63,25,7
1280,69,22,4
1300,64,28,4
1320,56,35,4
1340,77,21,1
1360,68,9,19
1380,51,34,6
1400,49,39,3
1420,32,52,10
1440,57,35,1
1460,75,19,2
1480,86,3,8
1500,81,11,5
1520,86,7,2
1540,89,1,8
1560,96,2,1
1580,95,2,2
1600,92,3,3
1620,85,3,8
1640,79,11,3
1660,61,36,1
1680,33,58,1
1700,56,39,3
1720,45,48,2
1740,23,66,6
1760,12,81,2
1780,41,53,0
1800,41,50,4
1820,55,38,0
1840,39,44,8
1860,54,27,13
1880,48,30,18
1900,40,52,8
1920,66,24,9
1940,57,37,6
1960,41,54,5
1980,29,35,36
2000,43,38,18
2020,26,65,9
2040,34,65,0
2060,15,83,2
2080,56,40,3
2100,42,42,10
2120,17,70,9
2140,16,59,18
2160,8,71,16
2180,13,77,5
2200,5,73,14
2220,5,79,10
2240,7,45,44
2260,2,58,32
2280,7,59,25
2300,15,59,21
2320,17,50,26
2340,14,42,39
2360,30,39,21
2380,8,15,73
2400,3,8,88
2420,0,0,99
2440,0,0,99
2460,0,0,99
2480,1,5,91
2500,1,1,97
2520,4,7,83
2540,5,9,83
2560,1,21,71
2580,3,34,56
2600,16,50,26
2620,39,49,6
2640,60,25,8
2660,58,28,8
2680,6,26,63
2700,16,32,47
2720,28,10,60
2740,54,2,44
2760,69,0,31
2780,77,0,23
2800,89,0,11
2820,90,2,8
2840,75,19,6
2860,79,17,4
2880,98,2,0
2900,97,3,0
2920,100,0,0
2940,97,1,1
2960,92,6,0
2980,94,4,0
3000,93,5,0
3020,97,2,1
3040,99,0,1
3060,93,0,6
3080,96,0,1
3100,92,0,6
3120,75,1,17
3140,64,2,31
3160,67,0,28
3180,83,0,14
3200,97,0,1
3220,100,0,0
3240,100,0,0
3260,100,0,0
3280,100,0,0
3300,100,0,0
3320,100,0,0
3340,100,0,0
3360,100,0,0
3380,100,0,0
3400,100,0,0
3420,100,0,0
3440,100,0,0
3460,100,0,0
3480,100,0,0
3500,100,0,0
3520,100,0,0
3540,100,0,0
3560,100,0,0
3580,100,0,0
3600,100,0,0
3620,82,4,14
3640,89,8,3
3660,97,0,3
3680,99,0,1
3700,99,0,1
3720,100,0,0
3740,96,2,2
3760,100,0,0
3780,100,0,0
3800,100,0,0
3820,100,0,0
3840,100,0,0
3860,100,0,0
3880,100,0,0
3900,100,0,0
3920,100,0,0
3940,100,0,0
3960,100,0,0
3980,100,0,0
4000,100,0,0
4020,100,0,0
4040,100,0,0
4060,100,0,0
4080,100,0,0
4100,100,0,0
4120,100,0,0
4140,99,1,0
4160,99,0,1
4180,100,0,0
4200,99,1,0
4220,98,2,0
4240,98,1,1
4260,100,0,0
4280,100,0,0
4300,100,0,0
4320,100,0,0
4340,100,0,0
4360,100,0,0
4380,100,0,0
4400,100,0,0
4420,100,0,0
4440,100,0,0
4460,100,0,0
4480,100,0,0
4500,100,0,0
4520,99,1,0
4540,90,8,0
4560,87,9,1
4580,97,3,0
4600,100,0,0
4620,99,1,0
4640,92,7,0
4660,100,0,0
4680,98,0,1
4700,97,2,0
4720,92,1,3
4740,99,0,1
4760,97,0,2
4780,97,2,0
4800,99,0,0
4820,90,1,5
4840,98,0,1
4860,99,0,1
4880,99,0,0
4900,96,1,1
4920,100,0,0
4940,95,2,0
4960,98,0,2
4980,96,3,0
5000,97,0,2
5020,100,0,0
5040,99,0,0
5060,99,0,1
5080,100,0,0
5100,100,0,0
5120,100,0,0
5140,100,0,0
5160,100,0,0
5180,100,0,0
5200,99,1,0
5220,95,2,2
5240,90,1,4
5260,94,3,1
5280,65,7,22
5300,70,3,21
5320,74,0,20
5340,95,0,4
5360,83,0,17
5380,83,0,17
5400,97,0,3
5420,100,0,0
5440,98,0,2
5460,96,0,4
5480,100,0,0
5500,99,0,1
5520,100,0,0
5540,100,0,0
5560,100,0,0
5580,100,0,0
5600,100,0,0
5620,99,1,0
5640,100,0,0
5660,95,0,5
5680,92,0,8
5700,78,2,20
5720,68,0,32
5740,72,9,18
5760,82,13,5
5780,65,8,26
5800,77,1,22
5820,83,0,17
5840,94,0,4
5860,100,0,0
5880,100,0,0
5900,100,0,0
5920,100,0,0
5940,100,0,0
5960,99,0,1
5980,99,0,0
6000,100,0,0
6020,100,0,0
6040,97,0,1
6060,83,4,8
6080,53,16,21
6100,65,10,15
6120,71,4,21
6140,85,7,1
6160,81,8,5
6180,84,14,0
6200,36,59,1
6220,32,63,2
6240,54,37,3
6260,79,7,7
6280,85,5,7
6300,78,5,11
6320,83,2,13
6340,77,1,15
6360,99,0,1
6380,99,0,1
6400,97,0,3
6420,92,1,4
6440,84,3,11
6460,88,4,3
6480,76,8,10
6500,54,21,15
6520,60,26,10
6540,26,67,4
6560,5,86,6
6580,7,88,3
6600,24,65,1
6620,51,48,0
6640,41,54,0
6660,50,44,0
6680,44,51,1
6700,29,68,1
6720,45,43,3
6740,66,15,13
6760,74,10,12
6780,62,9,25
6800,30,43,22
6820,25,18,48
6840,14,30,49
6860,18,12,62
6880,59,19,15
6900,79,3,13
6920,72,8,15
6940,75,13,6
6960,56,27,14
6980,71,20,4
7000,50,26,14
7020,55,14,29
7040,62,13,23
7060,66,11,13
7080,33,13,47
7100,57,16,23
7120,48,30,20
7140,48,22,27
7160,66,8,23
7180,73,5,19
7200,86,1,12
7220,83,10,5
7240,77,10,11
7260,41,6,48
7280,35,13,49
7300,32,0,30
7320,4,0,76
7340,16,0,70
7360,24,0,72
7380,3,1,96
7400,5,1,92
7420,6,2,89
