Pointer,PP711911 - NC_033820,PP711911 - PP711921,NC_033820 - PP711921
20,42,29,17
40,0,0,50
60,4,89,4
80,7,64,29
100,13,60,26
120,10,53,36
140,18,33,48
160,13,17,69
180,6,18,76
200,1,6,92
220,1,6,93
240,9,8,83
260,16,1,83
280,25,1,73
300,21,0,78
320,25,0,71
340,2,0,97
360,2,0,97
380,2,0,98
400,2,0,97
420,0,0,99
440,0,0,100
460,0,0,100
480,0,0,100
500,0,0,100
520,0,0,100
540,0,0,100
560,0,0,100
580,0,0,100
600,0,0,100
620,0,0,100
640,0,0,100
660,0,0,100
680,0,0,100
700,0,0,100
720,0,0,100
740,0,0,100
760,0,0,100
780,0,0,100
800,0,0,100
820,0,0,100
840,0,0,100
860,0,0,100
880,0,0,100
900,0,0,100
920,1,0,99
940,8,0,92
960,20,0,80
980,13,0,81
1000,42,5,49
1020,71,15,9
1040,50,11,32
1060,49,40,5
1080,30,54,5
1100,29,61,2
1120,17,75,4
1140,16,62,16
1160,4,53,38
1180,6,30,56
1200,14,9,74
1220,3,3,93
1240,11,14,73
1260,8,20,67
1280,10,13,71
1300,7,4,85
1320,4,10,84
1340,7,11,75
1360,52,7,36
1380,32,36,21
1400,22,27,42
1420,28,33,32
1440,18,15,57
1460,37,3,51
1480,30,0,67
1500,27,3,61
1520,30,4,58
1540,30,1,64
1560,6,1,91
1580,17,0,76
1600,9,1,85
1620,9,8,81
1640,11,9,73
1660,0,35,58
1680,2,59,31
1700,2,38,52
1720,4,45,43
1740,0,44,51
1760,1,58,39
1780,0,43,57
1800,0,49,46
1820,0,31,63
1840,0,29,64
1860,4,16,77
1880,14,17,68
1900,14,33,53
1920,14,20,66
1940,20,36,44
1960,12,39,49
1980,48,42,10
2000,42,22,36
2020,16,45,39
2040,11,53,35
2060,8,51,41
2080,4,22,74
2100,7,29,53
2120,25,50,21
2140,26,37,29
2160,28,50,12
2180,23,42,28
2200,37,50,5
2220,42,36,16
2240,47,31,9
2260,42,46,7
2280,23,46,21
2300,24,45,23
2320,32,47,12
2340,25,51,12
2360,29,42,16
2380,69,24,2
2400,83,15,0
2420,99,0,0
2440,96,3,0
2460,97,3,0
2480,96,3,1
2500,100,0,0
2520,78,3,13
2540,75,5,16
2560,85,10,4
2580,49,27,19
2600,22,31,43
2620,7,40,49
2640,9,20,68
2660,13,20,61
2680,60,20,12
2700,72,16,9
2720,70,8,19
2740,67,7,26
2760,56,1,42
2780,53,2,44
2800,27,2,71
2820,31,10,55
2840,28,19,51
2860,6,22,72
2880,0,9,90
2900,0,7,93
2920,0,1,99
2940,0,3,96
2960,0,12,88
2980,0,7,92
3000,0,7,91
3020,1,0,99
3040,0,0,99
3060,1,0,99
3080,2,0,95
3100,8,0,91
3120,20,2,76
3140,49,3,40
3160,74,0,26
3180,44,0,55
3200,8,1,87
3220,2,0,97
3240,0,0,100
3260,0,0,100
3280,0,0,100
3300,0,0,100
3320,0,0,100
3340,0,0,100
3360,0,0,100
3380,0,0,100
3400,0,0,100
3420,0,0,100
3440,0,0,100
3460,0,0,100
3480,0,0,100
3500,0,0,100
3520,0,0,100
3540,0,0,100
3560,0,0,100
3580,0,1,99
3600,0,0,100
3620,1,0,99
3640,1,0,99
3660,0,0,100
3680,0,0,100
3700,0,0,100
3720,0,0,100
3740,0,0,100
3760,0,0,100
3780,0,0,100
3800,0,0,100
3820,0,0,100
3840,0,0,100
3860,0,0,100
3880,0,0,100
3900,0,0,100
3920,0,0,100
3940,0,0,100
3960,0,0,100
3980,0,0,100
4000,0,0,100
4020,0,0,100
4040,0,0,100
4060,0,0,100
4080,0,0,100
4100,0,0,100
4120,0,1,99
4140,0,2,98
4160,0,1,99
4180,0,2,98
4200,0,4,96
4220,0,1,99
4240,0,3,97
4260,0,0,100
4280,0,0,100
4300,0,0,100
4320,0,0,100
4340,0,0,100
4360,0,0,100
4380,0,0,100
4400,0,0,100
4420,0,0,100
4440,0,0,100
4460,0,0,100
4480,0,0,100
4500,0,1,97
4520,0,1,99
4540,0,7,89
4560,0,12,86
4580,0,2,98
4600,0,0,100
4620,0,0,98
4640,0,11,86
4660,0,1,99
4680,0,2,98
4700,1,4,94
4720,1,1,96
4740,1,2,95
4760,0,1,98
4780,2,2,95
4800,0,2,95
4820,11,4,83
4840,5,0,93
4860,2,3,91
4880,3,0,96
4900,1,5,94
4920,1,1,98
4940,1,0,99
4960,1,0,99
4980,0,5,91
5000,0,1,99
5020,0,0,99
5040,0,0,100
5060,0,0,100
5080,0,0,100
5100,0,0,100
5120,0,0,100
5140,0,0,100
5160,0,0,99
5180,0,0,100
5200,0,1,98
5220,4,1,92
5240,5,0,93
5260,3,2,95
5280,20,5,68
5300,31,0,63
5320,8,0,88
5340,13,0,87
5360,33,1,66
5380,5,0,95
5400,1,1,98
5420,2,0,98
5440,2,1,97
5460,0,0,100
5480,0,0,100
5500,1,0,99
5520,1,0,99
5540,2,0,98
5560,1,0,99
5580,1,0,99
5600,2,0,98
5620,1,1,96
5640,0,1,99
5660,4,0,96
5680,9,1,90
5700,57,3,40
5720,35,6,59
5740,48,5,46
5760,32,9,59
5780,60,2,38
5800,31,4,65
5820,64,0,35
5840,44,0,55
5860,12,0,85
5880,2,0,98
5900,0,0,100
