Position in alignment,OQ709197 - OP963622,OQ709197 - PV788824,OP963622 - PV788824
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,0,0,0
220,0,0,0
240,0,0,0
260,0,0,0
280,0,0,0
300,0,0,0
320,0,43,5
340,0,71,1
360,0,63,3
380,1,90,0
400,0,83,1
420,1,88,0
440,2,84,0
460,0,82,0
480,0,82,0
500,1,68,0
520,0,91,0
540,1,74,0
560,0,94,0
580,3,96,1
600,5,91,0
620,4,94,2
640,10,85,4
660,24,73,1
680,42,49,2
700,40,54,3
720,32,46,17
740,41,26,21
760,38,29,23
780,19,24,48
800,2,39,53
820,2,37,58
840,0,32,65
860,0,34,62
880,1,35,54
900,3,20,75
920,6,37,53
940,14,50,31
960,18,34,40
980,30,30,34
1000,17,44,31
1020,6,79,10
1040,2,79,12
1060,1,89,7
1080,3,87,5
1100,0,99,1
1120,0,95,5
1140,0,98,1
1160,0,100,0
1180,0,100,0
1200,0,100,0
1220,1,96,3
1240,1,99,0
1260,0,100,0
1280,0,100,0
1300,0,100,0
1320,0,100,0
1340,0,99,1
1360,0,96,2
1380,1,95,4
1400,0,99,0
1420,0,100,0
1440,1,96,2
1460,3,91,3
1480,27,70,0
1500,14,68,13
1520,6,84,7
1540,13,74,4
1560,1,84,13
1580,21,65,4
1600,10,78,9
1620,1,88,8
1640,2,85,13
1660,1,84,14
1680,0,95,5
1700,0,85,12
1720,1,72,26
1740,5,57,33
1760,18,66,13
1780,8,55,31
1800,4,30,61
1820,14,16,58
1840,21,20,52
1860,59,18,18
1880,48,5,42
1900,54,24,7
1920,36,54,7
1940,24,72,3
1960,13,80,1
1980,45,45,3
2000,58,36,1
2020,39,47,7
2040,19,74,3
2060,13,74,7
2080,5,85,10
2100,7,87,6
2120,22,63,15
2140,19,69,12
2160,22,66,11
2180,4,92,4
2200,0,100,0
2220,3,94,3
2240,32,63,4
2260,28,60,12
2280,26,65,8
2300,19,68,4
2320,12,87,0
2340,11,84,0
2360,7,92,0
2380,49,48,0
2400,51,42,3
2420,36,57,0
2440,3,96,1
2460,4,96,0
2480,9,91,0
2500,24,75,1
2520,28,71,1
2540,14,82,3
2560,14,86,0
2580,11,89,0
2600,20,77,3
2620,48,37,13
2640,37,37,18
2660,56,16,20
2680,15,35,42
2700,29,34,28
2720,12,62,23
2740,6,62,25
2760,5,35,56
2780,8,53,36
2800,12,65,17
2820,4,90,2
2840,7,87,4
2860,7,88,3
2880,4,95,1
2900,13,74,6
2920,13,57,22
2940,65,25,4
2960,81,12,2
2980,73,20,4
3000,91,5,1
3020,85,13,2
3040,96,3,1
3060,100,0,0
3080,98,0,2
3100,99,0,1
3120,97,1,2
3140,89,3,8
3160,81,10,9
3180,72,18,8
3200,66,21,11
3220,55,21,16
3240,15,77,3
3260,23,71,1
3280,16,76,1
3300,6,92,0
3320,17,79,0
3340,21,77,0
3360,27,67,0
3380,46,52,0
3400,9,86,0
3420,34,64,0
3440,28,67,0
3460,1,99,0
3480,5,88,1
3500,17,70,5
3520,21,68,6
3540,9,88,3
3560,5,86,8
3580,2,85,10
3600,7,31,57
3620,8,42,37
3640,4,51,38
3660,3,69,23
3680,0,87,10
3700,9,63,20
3720,18,38,29
3740,33,15,42
3760,43,32,22
3780,50,26,17
3800,74,21,4
3820,20,64,6
3840,59,18,15
3860,54,7,33
3880,66,9,19
3900,36,45,12
3920,20,56,18
3940,7,68,19
3960,21,55,19
3980,10,69,16
4000,5,74,13
4020,34,43,14
4040,12,79,2
4060,8,83,5
4080,5,58,28
4100,15,47,32
4120,14,36,44
4140,8,56,26
4160,12,68,14
4180,33,62,3
4200,56,34,4
4220,41,45,7
4240,62,15,17
4260,91,7,0
4280,97,3,0
4300,96,3,0
4320,99,1,0
4340,99,1,0
4360,100,0,0
4380,99,1,0
4400,73,19,3
4420,95,2,3
4440,89,7,1
4460,88,5,2
4480,84,8,5
4500,76,16,4
4520,53,37,6
4540,16,36,38
4560,41,14,39
4580,30,2,62
4600,51,13,27
4620,19,38,35
4640,20,62,12
4660,11,74,14
4680,1,92,4
4700,0,86,10
4720,0,99,1
4740,1,99,0
4760,0,99,0
4780,0,100,0
4800,0,100,0
4820,0,98,1
4840,0,100,0
4860,0,95,3
4880,14,56,23
4900,14,74,10
4920,26,50,14
4940,16,37,40
4960,23,56,12
4980,33,46,9
5000,82,14,1
5020,91,8,0
5040,83,15,1
5060,90,9,0
5080,84,14,0
5100,95,3,0
5120,99,0,1
5140,98,1,0
5160,91,9,0
5180,90,6,1
5200,84,12,1
5220,70,27,0
5240,87,10,0
5260,90,8,0
5280,88,8,0
5300,76,20,1
5320,78,17,0
5340,95,4,1
5360,97,2,0
5380,92,7,1
5400,91,9,0
5420,76,18,6
5440,83,16,1
5460,69,31,0
5480,72,22,6
5500,87,5,8
5520,56,17,27
5540,56,25,19
5560,63,21,15
5580,14,79,7
5600,2,89,9
5620,31,62,6
5640,15,73,9
5660,8,84,3
5680,8,90,0
5700,0,100,0
5720,0,100,0
5740,0,100,0
5760,0,98,1
5780,2,93,2
5800,2,96,2
5820,2,96,0
5840,4,73,19
5860,2,32,60
5880,0,12,88
5900,1,2,96
5920,1,2,97
5940,0,0,100
5960,0,1,98
5980,1,5,93
6000,0,5,91
6020,1,10,88
6040,0,31,66
6060,1,78,19
6080,2,80,9
6100,3,89,3
6120,5,86,4
6140,12,73,9
6160,1,94,2
6180,6,91,1
6200,6,87,4
6220,12,86,0
6240,24,68,1
6260,17,69,12
6280,11,74,12
6300,4,75,17
6320,11,70,17
6340,10,87,3
6360,34,60,5
6380,60,37,3
6400,75,23,2
6420,32,68,0
6440,14,82,3
6460,16,83,1
6480,37,62,1
6500,31,68,1
6520,43,57,0
6540,56,25,17
6560,55,21,24
6580,31,23,46
6600,51,13,36
6620,57,0,38
6640,62,0,31
6660,52,0,43
6680,58,0,36
6700,46,0,50
6720,34,0,48
6740,36,0,43
6760,12,0,84
6780,1,3,96
6800,0,0,100
