Pointer,PP711930 - OQ818328,PP711930 - PP711912,OQ818328 - PP711912
20,0,0,0
40,0,0,0
60,0,0,0
80,56,0,0
100,84,6,10
120,84,16,0
140,55,9,36
160,29,16,53
180,41,19,40
200,39,36,25
220,8,89,3
240,6,92,2
260,2,96,1
280,0,100,0
300,0,100,0
320,0,100,0
340,0,100,0
360,0,100,0
380,0,100,0
400,0,100,0
420,0,100,0
440,0,100,0
460,0,100,0
480,0,100,0
500,0,100,0
520,10,77,9
540,8,79,10
560,12,73,12
580,11,61,22
600,13,69,18
620,34,34,29
640,56,13,31
660,58,3,38
680,46,3,49
700,41,8,51
720,21,16,61
740,17,30,52
760,46,17,34
780,32,61,6
800,11,83,1
820,21,67,4
840,6,78,11
860,14,81,2
880,11,81,3
900,8,89,1
920,1,97,1
940,2,97,1
960,0,97,2
980,1,98,1
1000,0,88,12
1020,0,90,8
1040,0,89,8
1060,2,61,32
1080,1,39,53
1100,2,14,78
1120,8,22,62
1140,20,5,66
1160,18,7,71
1180,9,3,84
1200,11,1,82
1220,22,0,72
1240,11,3,82
1260,30,8,57
1280,7,46,38
1300,12,70,13
1320,8,78,11
1340,16,61,10
1360,15,74,4
1380,5,93,0
1400,13,87,0
1420,7,82,6
1440,10,84,5
1460,26,64,2
1480,47,34,11
1500,26,35,28
1520,9,25,54
1540,1,18,74
1560,3,19,76
1580,13,2,83
1600,8,2,89
1620,7,11,81
1640,5,27,68
1660,0,29,69
1680,7,39,54
1700,15,34,51
1720,26,41,32
1740,29,49,21
1760,12,79,7
1780,8,91,1
1800,7,87,4
1820,13,83,1
1840,19,75,1
1860,9,75,5
1880,6,90,1
1900,7,89,2
1920,1,98,1
1940,6,92,0
1960,26,57,2
1980,10,85,0
2000,10,83,1
2020,5,90,2
2040,10,82,1
2060,1,99,0
2080,4,93,0
2100,2,96,0
2120,27,66,0
2140,17,73,6
2160,4,88,4
2180,1,93,6
2200,9,83,6
2220,4,94,1
2240,4,85,9
2260,15,43,31
2280,7,29,54
2300,2,59,34
2320,2,70,23
2340,10,67,20
2360,73,8,17
2380,80,12,4
2400,75,11,8
2420,73,14,5
2440,61,26,5
2460,18,77,1
2480,13,79,4
2500,27,67,0
2520,33,51,10
2540,24,65,4
2560,4,92,3
2580,9,85,0
2600,3,95,0
2620,6,91,1
2640,4,90,4
2660,4,93,1
2680,13,85,0
2700,14,83,0
2720,26,71,0
2740,18,80,0
2760,17,80,0
2780,5,92,2
2800,18,72,3
2820,13,67,12
2840,16,72,4
2860,21,41,27
2880,10,71,9
2900,6,76,11
2920,1,90,7
2940,3,88,7
2960,3,81,13
2980,1,93,4
3000,12,81,3
3020,12,82,0
3040,13,83,1
3060,1,94,2
3080,9,68,15
3100,24,68,4
3120,3,94,1
3140,4,89,2
3160,14,82,0
3180,4,85,8
3200,0,98,2
3220,0,98,1
3240,0,100,0
3260,0,96,3
3280,0,100,0
3300,0,100,0
3320,1,91,8
3340,0,80,15
3360,0,82,15
3380,0,89,9
3400,1,91,7
3420,0,75,24
3440,1,73,21
3460,4,74,16
3480,0,33,57
3500,0,47,47
3520,0,79,15
3540,0,97,2
3560,0,96,2
3580,0,85,12
3600,0,69,26
3620,0,83,17
3640,2,81,17
3660,2,79,19
3680,4,89,7
3700,2,85,13
3720,12,76,12
3740,27,54,19
3760,33,64,3
3780,21,72,7
3800,44,46,10
3820,49,42,9
3840,17,79,1
3860,14,84,0
3880,20,70,7
3900,10,76,12
3920,3,89,5
3940,1,88,5
3960,4,68,22
3980,6,76,13
4000,0,84,13
4020,0,100,0
4040,0,95,3
4060,0,94,4
4080,0,99,1
4100,1,99,0
4120,0,96,4
4140,0,95,4
4160,0,99,1
4180,0,100,0
4200,0,100,0
4220,0,96,3
4240,0,99,1
4260,0,100,0
4280,0,100,0
4300,0,100,0
4320,0,99,0
4340,2,96,2
4360,2,83,12
4380,15,56,20
4400,16,50,28
4420,14,10,69
4440,41,12,40
4460,15,55,20
4480,22,70,6
4500,6,71,19
4520,6,86,4
4540,3,91,3
4560,4,94,2
4580,2,97,1
4600,0,100,0
4620,0,100,0
4640,0,100,0
4660,0,100,0
4680,2,97,0
4700,10,89,0
4720,27,66,0
4740,38,53,0
4760,36,58,1
4780,40,53,0
4800,67,25,2
4820,48,34,7
4840,47,16,26
4860,10,56,25
4880,3,63,21
4900,1,72,20
4920,0,77,21
4940,0,83,12
4960,1,82,12
4980,1,89,5
5000,1,99,0
5020,3,97,0
5040,5,93,0
5060,21,66,6
5080,32,61,1
5100,41,47,1
5120,69,29,0
5140,54,36,6
5160,36,37,18
5180,46,16,31
5200,53,14,27
5220,23,34,37
5240,27,50,14
5260,27,69,1
5280,27,47,22
5300,7,60,22
5320,3,69,26
5340,7,75,12
5360,14,54,27
5380,1,86,10
5400,4,69,21
5420,1,64,27
5440,0,34,60
5460,0,34,63
5480,1,49,44
5500,0,24,75
5520,3,3,92
5540,9,47,35
5560,17,65,15
5580,43,31,18
5600,30,40,22
5620,48,33,11
5640,54,34,6
5660,50,20,25
5680,36,26,31
5700,42,31,16
5720,39,19,34
5740,35,8,47
5760,12,3,80
5780,14,1,78
5800,9,0,84
5820,10,0,86
5840,3,10,80
5860,20,59,11
5880,3,94,0
5900,0,100,0
5920,1,99,0
5940,0,100,0
5960,0,99,1
5980,0,98,1
6000,1,97,0
6020,0,97,3
6040,0,99,1
6060,6,80,10
6080,5,69,16
6100,19,59,13
6120,24,59,10
6140,40,33,22
6160,32,52,7
6180,14,82,3
6200,3,90,3
6220,6,86,3
6240,3,88,7
6260,1,96,2
6280,0,98,1
6300,0,95,2
6320,0,93,6
6340,1,88,5
6360,2,56,34
6380,10,30,52
6400,31,16,47
6420,23,22,46
6440,15,22,54
6460,11,11,74
6480,15,8,75
6500,16,16,55
6520,8,71,17
6540,6,81,7
6560,17,72,3
6580,11,87,2
6600,20,69,5
6620,20,69,8
6640,23,72,1
6660,21,78,0
6680,22,72,0
6700,30,66,0
6720,69,27,0
6740,68,27,0
6760,39,56,0
6780,28,68,0
6800,4,95,0
