Pointer,ON872527 - OQ709197,ON872527 - PP766459,OQ709197 - PP766459
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,0,0,0
220,0,0,0
240,0,0,0
260,0,0,0
280,0,0,0
300,0,0,0
320,0,0,0
340,0,3,0
360,1,35,0
380,1,50,0
400,1,38,1
420,3,88,1
440,3,79,4
460,1,90,5
480,4,87,1
500,1,94,1
520,0,99,0
540,2,97,0
560,0,93,0
580,0,91,0
600,0,97,0
620,2,94,0
640,1,96,0
660,1,95,2
680,0,90,4
700,0,87,7
720,3,65,17
740,6,56,30
760,1,57,28
780,1,50,33
800,2,41,33
820,3,34,40
840,1,18,77
860,2,32,62
880,0,50,45
900,2,65,30
920,6,72,19
940,1,80,17
960,23,62,10
980,5,91,3
1000,9,86,5
1020,0,98,2
1040,0,99,0
1060,3,93,1
1080,0,85,0
1100,0,81,0
1120,0,86,3
1140,1,93,4
1160,0,87,1
1180,0,80,20
1200,0,75,20
1220,2,81,16
1240,19,65,12
1260,9,65,25
1280,20,12,57
1300,9,7,77
1320,13,27,48
1340,16,7,66
1360,11,1,80
1380,9,2,88
1400,5,1,94
1420,2,2,94
1440,0,0,99
1460,0,3,97
1480,2,11,87
1500,0,2,95
1520,3,0,97
1540,1,9,87
1560,5,8,80
1580,6,14,76
1600,10,38,51
1620,13,45,40
1640,7,22,68
1660,27,14,58
1680,28,5,60
1700,42,40,16
1720,17,76,7
1740,8,83,9
1760,18,70,11
1780,48,42,9
1800,32,64,3
1820,42,55,0
1840,47,49,1
1860,20,74,1
1880,21,76,0
1900,25,69,1
1920,32,64,0
1940,57,39,1
1960,49,44,3
1980,19,69,6
2000,44,46,7
2020,57,32,2
2040,5,91,1
2060,18,78,1
2080,4,95,1
2100,6,92,0
2120,12,83,5
2140,2,95,3
2160,8,90,2
2180,12,79,7
2200,4,85,4
2220,2,77,0
2240,11,55,13
2260,18,59,12
2280,12,61,11
2300,7,53,11
2320,3,66,3
2340,0,60,1
2360,0,72,0
2380,0,76,0
2400,0,73,0
2420,1,88,2
2440,0,85,2
2460,0,60,12
2480,0,55,23
2500,1,79,17
2520,5,46,43
2540,10,43,47
2560,5,77,17
2580,3,50,40
2600,11,59,29
2620,21,74,5
2640,12,77,11
2660,14,66,19
2680,73,20,7
2700,33,60,7
2720,48,33,17
2740,30,45,20
2760,32,14,47
2780,67,9,18
2800,54,7,31
2820,24,10,65
2840,47,15,33
2860,43,25,23
2880,7,53,32
2900,3,12,78
2920,2,40,53
2940,0,11,88
2960,0,29,67
2980,0,25,71
3000,0,34,64
3020,0,31,62
3040,0,31,63
3060,0,21,77
3080,0,14,85
3100,3,35,55
3120,10,51,31
3140,5,70,20
3160,40,33,20
3180,61,24,10
3200,47,47,0
3220,41,49,3
3240,47,43,0
3260,55,40,1
3280,48,45,1
3300,20,70,1
3320,16,73,11
3340,49,40,10
3360,62,26,12
3380,46,38,16
3400,35,31,33
3420,26,50,18
3440,4,39,42
3460,7,61,16
3480,6,54,36
3500,3,44,51
3520,17,45,36
3540,5,69,26
3560,1,96,3
3580,3,63,29
3600,3,62,30
3620,13,43,38
3640,18,21,53
3660,18,29,44
3680,20,38,35
3700,37,5,50
3720,15,23,59
3740,12,4,81
3760,16,0,80
3780,26,13,54
3800,11,56,33
3820,8,71,20
3840,16,75,7
3860,35,47,16
3880,18,23,59
3900,2,66,28
3920,0,80,14
3940,2,89,6
3960,24,65,7
3980,10,63,26
4000,10,28,59
4020,6,24,65
4040,0,5,94
4060,1,7,91
4080,2,21,69
4100,17,14,64
4120,7,2,87
4140,3,0,96
4160,0,6,93
4180,2,4,92
4200,0,1,97
4220,8,0,91
4240,17,0,78
4260,71,0,24
4280,48,0,45
4300,7,20,71
4320,10,43,46
4340,18,58,22
4360,24,18,56
4380,9,21,69
4400,11,23,66
4420,1,45,53
4440,3,78,19
4460,0,39,54
4480,0,51,44
4500,6,18,73
4520,32,3,58
4540,26,7,57
4560,19,26,50
4580,26,31,34
4600,49,31,14
4620,80,8,9
4640,66,3,24
4660,74,15,9
4680,53,1,40
4700,56,0,40
4720,48,3,44
4740,34,8,50
4760,50,11,34
4780,38,13,43
4800,39,7,49
4820,25,32,39
4840,68,8,14
4860,59,15,16
4880,60,33,0
4900,14,80,2
4920,32,62,1
4940,77,14,2
4960,67,29,0
4980,44,49,2
5000,30,62,2
5020,24,67,0
5040,28,66,5
5060,10,72,12
5080,2,72,18
5100,5,62,22
5120,0,81,17
5140,1,77,22
5160,0,54,42
5180,0,43,51
5200,0,45,48
5220,3,43,51
5240,1,75,20
5260,8,45,43
5280,29,29,32
5300,18,35,35
5320,40,12,35
5340,31,19,41
5360,27,60,5
5380,16,77,6
5400,19,67,14
5420,21,69,9
5440,3,83,13
5460,2,86,12
5480,4,94,2
5500,36,59,0
5520,19,78,1
5540,9,79,0
5560,5,91,1
5580,6,89,4
5600,13,50,7
5620,11,73,14
5640,10,67,22
5660,2,80,18
5680,4,62,34
5700,0,45,51
5720,0,62,37
5740,0,36,64
5760,0,21,79
5780,0,21,77
5800,1,20,75
5820,0,13,86
5840,0,14,83
5860,6,8,84
5880,2,4,91
5900,33,14,51
5920,67,1,27
5940,76,2,20
5960,89,0,10
5980,99,0,1
6000,97,0,3
6020,97,0,2
6040,89,0,9
6060,73,0,21
6080,53,0,44
6100,44,0,55
6120,43,0,57
6140,29,2,69
6160,34,2,64
6180,3,11,86
6200,5,3,92
6220,4,18,78
6240,0,26,73
6260,2,43,54
6280,1,80,18
6300,5,55,38
6320,6,67,26
6340,5,41,54
6360,7,62,31
6380,13,55,32
6400,6,56,38
6420,3,88,9
6440,11,64,25
6460,4,73,23
6480,4,19,74
6500,2,38,57
6520,2,32,64
6540,2,43,52
6560,1,51,45
6580,1,70,18
6600,0,36,10
6620,1,53,8
6640,3,48,7
6660,24,49,6
6680,22,39,1
6700,22,50,3
6720,9,48,7
6740,10,46,1
6760,9,33,1
6780,16,46,7
6800,4,76,1
