Pointer,OQ709197 - PP766459,OQ709197 - r_aegypticus_kenya,PP766459 - r_aegypticus_kenya
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,9,49,23
180,8,54,21
200,7,48,31
220,1,20,74
240,0,2,97
260,0,1,99
280,0,2,98
300,0,0,100
320,0,0,100
340,0,0,100
360,0,0,100
380,0,0,100
400,0,0,100
420,0,0,100
440,0,0,100
460,0,3,97
480,0,0,100
500,0,0,100
520,0,0,100
540,0,0,100
560,0,0,100
580,0,0,100
600,0,0,100
620,0,0,100
640,0,0,100
660,0,0,100
680,0,0,100
700,0,0,100
720,0,0,100
740,0,0,100
760,0,0,100
780,0,1,99
800,0,3,97
820,0,0,98
840,0,0,100
860,0,0,100
880,0,0,100
900,0,1,99
920,0,0,100
940,0,4,95
960,0,6,94
980,0,9,91
1000,0,22,77
1020,0,26,73
1040,0,54,45
1060,0,90,10
1080,0,49,49
1100,0,67,32
1120,0,72,27
1140,0,72,26
1160,0,68,32
1180,0,71,28
1200,0,77,20
1220,0,47,51
1240,0,41,58
1260,0,4,96
1280,0,17,82
1300,0,25,75
1320,0,29,71
1340,0,59,41
1360,0,59,39
1380,0,41,58
1400,0,42,57
1420,0,65,33
1440,0,58,40
1460,0,87,13
1480,0,90,10
1500,0,70,24
1520,0,26,64
1540,0,6,91
1560,0,3,93
1580,0,7,90
1600,0,5,91
1620,0,0,100
1640,0,10,87
1660,0,14,82
1680,0,12,83
1700,0,25,68
1720,0,26,62
1740,0,20,73
1760,0,4,90
1780,0,13,71
1800,0,42,48
1820,0,76,13
1840,0,57,37
1860,0,36,53
1880,0,36,56
1900,0,31,54
1920,0,37,55
1940,0,21,69
1960,0,20,69
1980,0,44,48
2000,0,25,71
2020,0,38,52
2040,0,3,95
2060,0,0,100
2080,0,0,100
2100,0,0,100
2120,0,0,100
2140,0,0,100
2160,0,0,100
2180,0,0,100
2200,0,0,100
2220,0,0,100
2240,0,0,100
2260,0,1,99
2280,0,1,99
2300,0,4,95
2320,0,7,93
2340,0,14,83
2360,0,29,71
2380,0,66,30
2400,0,58,38
2420,0,73,24
2440,0,72,27
2460,0,80,18
2480,0,82,17
2500,0,71,29
2520,0,83,17
2540,0,46,53
2560,0,19,81
2580,0,43,57
2600,0,43,57
2620,0,12,87
2640,0,12,88
2660,0,6,94
2680,0,3,97
2700,0,0,100
2720,0,1,99
2740,0,0,100
2760,0,0,100
2780,0,0,100
2800,0,1,99
2820,0,1,93
2840,0,21,70
2860,0,6,93
2880,0,2,97
2900,0,10,87
2920,0,25,68
2940,0,18,81
2960,0,37,63
2980,0,38,62
3000,0,47,53
3020,0,30,69
3040,0,21,79
3060,0,39,61
3080,0,56,44
3100,0,59,39
3120,0,34,65
3140,0,56,36
3160,0,25,66
3180,0,57,33
3200,0,37,43
3220,0,82,13
3240,0,69,20
3260,0,85,11
3280,0,90,4
3300,0,83,7
3320,0,91,7
3340,0,98,2
3360,0,98,2
3380,0,94,4
3400,0,99,1
3420,0,100,0
3440,0,100,0
3460,0,100,0
3480,0,100,0
3500,0,93,7
3520,0,98,2
3540,0,97,3
3560,0,99,1
3580,0,96,4
3600,0,94,6
3620,0,79,21
3640,0,31,68
3660,0,69,26
3680,0,76,19
3700,0,100,0
3720,0,94,4
3740,0,91,6
3760,0,70,23
3780,0,94,6
3800,0,83,16
3820,0,99,1
3840,0,98,2
3860,0,95,5
3880,0,86,14
3900,0,40,60
3920,0,53,46
3940,0,44,56
3960,0,49,50
3980,0,32,68
4000,0,55,45
4020,0,13,87
4040,0,12,88
4060,0,2,98
4080,0,2,97
4100,0,28,72
4120,0,26,62
4140,0,19,72
4160,0,3,96
4180,0,4,94
4200,0,1,97
4220,0,9,85
4240,0,15,74
4260,0,21,71
4280,0,64,23
4300,0,56,28
4320,0,43,52
4340,0,90,10
4360,0,100,0
4380,0,99,1
4400,0,94,6
4420,0,95,5
4440,0,96,3
4460,0,88,12
4480,0,85,13
4500,0,86,13
4520,0,36,64
4540,0,4,92
4560,0,0,100
4580,0,0,99
4600,0,9,86
4620,0,4,94
4640,0,3,94
4660,0,17,78
4680,0,1,96
4700,0,2,98
4720,0,2,96
4740,0,5,95
4760,0,15,78
4780,0,8,87
4800,0,4,95
4820,0,0,95
4840,0,9,87
4860,0,1,97
4880,0,6,89
4900,0,10,85
4920,0,43,47
4940,0,28,67
4960,0,6,88
4980,0,11,87
5000,0,21,74
5020,0,16,78
5040,0,16,79
5060,0,36,55
5080,0,31,63
5100,0,36,58
5120,0,21,69
5140,0,26,62
5160,0,28,60
5180,0,7,88
5200,0,0,100
5220,0,4,96
5240,0,9,85
5260,0,11,84
5280,0,8,88
5300,0,6,91
5320,0,3,96
5340,0,3,96
5360,0,16,81
5380,0,36,58
5400,0,75,20
5420,0,60,32
5440,0,54,43
5460,0,31,67
5480,0,62,37
5500,0,59,41
5520,0,58,41
5540,0,96,4
5560,0,93,5
5580,1,97,2
5600,13,52,35
5620,1,79,20
5640,0,93,7
5660,0,80,20
5680,0,85,15
5700,0,88,11
5720,0,90,10
5740,0,62,38
5760,0,50,49
5780,0,65,31
5800,0,70,29
5820,0,72,27
5840,0,44,55
5860,0,40,56
5880,0,20,79
5900,0,12,84
5920,0,11,88
5940,0,7,93
5960,0,42,55
5980,0,18,80
6000,0,19,72
6020,0,59,27
6040,0,42,52
6060,0,82,13
6080,0,96,3
6100,0,95,3
6120,0,97,1
6140,0,97,2
6160,0,89,9
6180,0,86,12
6200,0,86,13
6220,0,60,36
6240,0,24,71
6260,0,14,83
6280,0,2,96
6300,0,3,96
6320,0,7,90
6340,0,7,88
6360,0,9,90
6380,0,7,93
6400,0,1,98
6420,0,14,85
6440,0,33,66
6460,0,46,53
6480,0,19,81
6500,0,59,41
6520,0,25,74
6540,0,23,76
6560,0,24,75
6580,0,41,59
6600,0,67,33
6620,0,76,23
6640,0,43,57
6660,0,23,77
6680,0,23,77
6700,0,15,85
6720,0,16,83
6740,0,28,71
6760,0,44,54
