Pointer,OQ818329 - NC_033820,OQ818329 - PP711943,NC_033820 - PP711943
20,1,0,97
40,59,0,0
60,0,84,11
80,0,51,49
100,1,51,48
120,0,5,95
140,0,0,100
160,0,0,100
180,0,0,100
200,0,0,100
220,0,0,100
240,0,0,100
260,0,0,100
280,0,0,100
300,0,0,100
320,0,0,100
340,0,0,100
360,0,0,100
380,0,0,99
400,1,0,99
420,1,0,99
440,0,0,100
460,0,0,100
480,0,0,100
500,0,0,100
520,0,0,100
540,0,0,100
560,0,0,100
580,0,0,100
600,0,0,100
620,0,0,100
640,0,0,100
660,0,0,100
680,0,0,100
700,0,0,100
720,0,0,100
740,0,0,100
760,0,0,100
780,0,0,100
800,0,0,100
820,0,0,100
840,0,0,100
860,0,0,100
880,0,0,100
900,0,0,100
920,0,0,100
940,0,1,99
960,0,0,100
980,0,0,100
1000,1,0,98
1020,1,0,98
1040,1,0,99
1060,0,1,98
1080,0,0,100
1100,0,0,100
1120,0,0,100
1140,0,0,100
1160,0,0,100
1180,0,0,100
1200,0,0,100
1220,0,0,100
1240,0,0,100
1260,0,0,100
1280,0,0,100
1300,0,0,100
1320,1,0,99
1340,0,0,100
1360,2,0,98
1380,1,0,97
1400,0,1,99
1420,1,0,99
1440,0,0,100
1460,0,0,100
1480,0,0,100
1500,0,0,100
1520,0,0,100
1540,0,0,100
1560,0,0,100
1580,0,0,100
1600,0,0,100
1620,0,0,100
1640,0,0,100
1660,0,0,100
1680,0,0,100
1700,0,0,100
1720,0,0,100
1740,0,0,100
1760,0,0,100
1780,0,0,100
1800,0,0,100
1820,0,0,100
1840,0,0,100
1860,1,0,99
1880,0,0,100
1900,0,0,100
1920,0,0,100
1940,0,0,100
1960,0,0,100
1980,0,0,100
2000,0,0,100
2020,0,0,100
2040,0,0,100
2060,0,0,100
2080,0,0,100
2100,0,0,100
2120,0,0,100
2140,0,0,100
2160,0,0,100
2180,0,0,100
2200,0,0,100
2220,1,0,99
2240,0,0,100
2260,0,0,100
2280,0,0,100
2300,0,0,100
2320,0,0,100
2340,1,0,99
2360,1,1,98
2380,0,2,95
2400,0,0,100
2420,0,0,99
2440,0,1,99
2460,2,2,96
2480,0,3,96
2500,0,0,100
2520,1,0,99
2540,0,0,100
2560,0,0,100
2580,0,0,100
2600,0,0,100
2620,0,0,100
2640,0,0,100
2660,0,0,100
2680,0,0,100
2700,0,0,100
2720,0,0,100
2740,0,0,100
2760,0,0,100
2780,0,0,100
2800,0,0,100
2820,0,0,100
2840,0,0,100
2860,0,0,100
2880,0,0,100
2900,0,0,100
2920,0,0,100
2940,0,0,100
2960,0,0,100
2980,0,0,100
3000,0,0,100
3020,0,0,100
3040,0,0,100
3060,0,0,100
3080,0,0,100
3100,0,0,100
3120,0,0,100
3140,0,0,100
3160,0,0,100
3180,0,0,100
3200,0,0,100
3220,0,0,100
3240,0,0,100
3260,0,0,100
3280,0,0,100
3300,0,0,100
3320,0,0,100
3340,0,0,100
3360,0,0,100
3380,0,0,100
3400,0,0,100
3420,0,0,100
3440,0,0,100
3460,0,0,100
3480,0,0,100
3500,0,0,100
3520,0,0,100
3540,0,0,100
3560,0,0,100
3580,0,0,100
3600,0,0,100
3620,0,0,100
3640,0,0,100
3660,0,0,100
3680,0,0,100
