Pointer,OR951324 - OQ818318,OR951324 - rousettus_china,OQ818318 - rousettus_china
20,0,24,33
40,0,26,34
60,0,21,33
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,0,0,0
220,0,0,0
240,0,0,0
260,0,0,0
280,0,0,0
300,0,0,0
320,0,0,0
340,0,0,0
360,0,0,0
380,0,0,0
400,0,0,83
420,0,5,95
440,0,5,94
460,0,8,92
480,1,12,86
500,0,18,82
520,0,17,82
540,0,28,72
560,0,57,43
580,0,78,22
600,0,93,7
620,0,98,2
640,4,96,0
660,11,89,0
680,11,89,0
700,28,70,0
720,63,34,0
740,50,48,0
760,71,28,0
780,86,11,0
800,72,27,0
820,62,38,0
840,57,38,4
860,50,34,16
880,26,42,31
900,10,50,39
920,0,26,72
940,0,16,74
960,0,19,74
980,0,65,26
1000,0,52,33
1020,0,84,13
1040,0,72,21
1060,0,90,7
1080,0,95,0
1100,0,97,1
1120,0,86,10
1140,0,86,7
1160,0,85,11
1180,0,71,23
1200,0,64,30
1220,0,56,33
1240,0,44,48
1260,0,56,39
1280,0,48,44
1300,0,14,77
1320,0,48,43
1340,0,71,21
1360,0,54,39
1380,0,71,23
1400,0,74,17
1420,0,71,19
1440,0,87,10
1460,0,80,11
1480,0,68,22
1500,0,41,59
1520,0,32,68
1540,0,45,55
1560,0,17,83
1580,0,21,79
1600,0,25,74
1620,0,35,64
1640,1,44,55
1660,3,54,43
1680,1,41,57
1700,1,42,57
1720,0,31,68
1740,0,19,78
1760,0,40,49
1780,0,31,59
1800,0,53,35
1820,0,32,62
1840,0,7,88
1860,0,4,95
1880,0,1,98
1900,0,0,98
1920,0,4,91
1940,0,5,95
1960,0,10,90
1980,0,26,73
2000,0,1,99
2020,0,1,98
2040,0,1,99
2060,0,0,99
2080,0,3,97
2100,0,10,90
2120,0,2,98
2140,0,2,96
2160,0,1,99
2180,0,0,100
2200,0,0,100
2220,0,0,100
2240,0,0,100
2260,0,1,98
2280,0,1,98
2300,0,0,99
2320,0,1,99
2340,0,1,98
2360,0,1,98
2380,0,8,90
2400,0,27,63
2420,0,16,77
2440,0,64,30
2460,0,42,54
2480,0,25,69
2500,0,36,59
2520,0,30,61
2540,0,64,27
2560,0,55,34
2580,0,80,15
2600,0,63,21
2620,0,58,35
2640,0,21,68
2660,0,43,42
2680,0,38,53
2700,0,36,51
2720,0,73,20
2740,0,78,20
2760,0,79,19
2780,0,73,24
2800,0,75,23
2820,0,74,24
2840,0,86,12
2860,0,70,28
2880,0,72,26
2900,0,38,50
2920,0,27,67
2940,0,10,90
2960,0,11,89
2980,1,12,87
3000,1,12,87
3020,1,31,68
3040,0,34,64
3060,1,65,32
3080,0,64,33
3100,3,80,17
3120,3,82,14
3140,0,95,5
3160,4,93,2
3180,0,97,2
3200,2,93,1
3220,0,84,8
3240,0,76,17
3260,0,30,55
3280,0,34,52
3300,0,39,51
3320,0,40,44
3340,0,46,51
3360,0,35,56
3380,0,57,37
3400,0,56,36
3420,0,64,27
3440,0,45,42
3460,0,64,25
3480,0,57,23
3500,0,69,21
3520,0,57,41
3540,0,82,18
3560,0,87,13
3580,0,82,18
3600,1,95,4
3620,0,88,12
3640,0,95,3
3660,0,91,9
3680,0,94,6
3700,0,87,12
3720,0,74,17
3740,0,43,48
3760,3,43,42
3780,8,35,45
3800,3,41,45
3820,0,51,33
3840,1,49,36
3860,0,68,25
3880,0,79,15
3900,2,79,11
3920,1,80,14
3940,0,70,26
3960,0,14,79
3980,0,10,85
4000,0,19,80
4020,0,19,80
4040,0,17,82
4060,0,11,88
4080,0,0,100
4100,0,3,96
4120,0,6,94
4140,0,7,93
4160,0,30,67
4180,0,15,85
4200,0,19,74
4220,0,8,87
4240,0,6,93
4260,0,3,92
4280,0,11,79
4300,0,7,84
4320,0,9,84
4340,0,24,59
4360,0,41,46
4380,0,77,15
4400,0,52,29
4420,1,61,35
4440,0,40,47
4460,0,30,53
4480,0,34,55
4500,0,4,95
4520,0,3,95
4540,0,1,95
4560,0,3,96
4580,0,1,99
4600,0,1,96
4620,0,2,96
4640,0,5,92
4660,0,8,87
4680,0,5,93
4700,0,69,22
4720,0,74,16
4740,0,63,26
4760,0,75,15
4780,0,67,22
4800,0,51,39
4820,0,68,29
4840,0,56,44
4860,0,59,41
4880,0,22,75
4900,0,16,84
4920,0,11,88
4940,0,28,72
4960,0,19,80
4980,0,31,68
5000,0,27,72
5020,0,13,85
5040,0,15,85
5060,0,15,83
5080,0,32,64
5100,0,44,50
5120,0,38,60
5140,0,13,83
5160,0,34,64
5180,0,12,86
5200,0,19,80
5220,0,25,68
5240,0,21,72
5260,0,32,63
5280,0,17,79
5300,0,15,75
5320,0,7,92
5340,0,30,63
5360,0,2,97
5380,0,2,97
5400,0,5,95
5420,0,0,97
5440,0,6,94
5460,0,3,96
5480,0,1,99
5500,0,3,97
5520,1,12,85
5540,0,8,90
5560,3,80,17
5580,6,86,8
5600,2,79,19
5620,7,65,26
5640,2,58,36
5660,1,68,24
5680,2,88,7
5700,1,84,11
5720,0,90,5
5740,0,96,4
5760,0,93,5
5780,0,79,14
5800,0,88,9
5820,0,97,2
5840,0,99,0
5860,0,98,0
5880,0,100,0
5900,0,94,5
5920,0,64,33
5940,0,36,57
5960,0,20,73
5980,0,24,69
6000,0,20,75
6020,0,17,70
6040,0,9,86
6060,0,7,89
6080,0,3,89
6100,0,16,74
6120,0,30,57
6140,0,21,69
6160,0,35,48
6180,0,32,56
6200,0,71,23
6220,0,83,13
6240,0,80,12
6260,0,76,16
6280,0,88,6
6300,0,92,6
6320,0,83,12
6340,0,93,2
6360,0,99,1
6380,0,98,1
6400,0,98,1
6420,0,84,11
6440,0,81,16
6460,0,88,7
6480,0,81,16
6500,0,84,10
6520,0,72,21
6540,0,65,27
6560,0,51,41
6580,0,69,26
6600,0,63,24
6620,0,84,12
6640,0,65,26
6660,0,73,18
6680,0,65,31
6700,0,91,6
6720,0,87,8
6740,0,92,6
6760,0,84,8
6780,0,24,67
