Pointer,OQ818328 - PP711912,OQ818328 - PP766469,PP711912 - PP766469
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,77,7,9
220,48,4,45
240,10,5,85
260,22,0,78
280,24,0,76
300,23,2,74
320,32,6,61
340,8,1,91
360,4,9,86
380,0,3,97
400,0,3,96
420,7,2,90
440,1,2,97
460,9,8,82
480,14,4,80
500,13,1,79
520,10,2,84
540,47,1,46
560,60,1,38
580,80,0,16
600,86,0,10
620,98,0,1
640,100,0,0
660,100,0,0
680,100,0,0
700,100,0,0
720,100,0,0
740,98,0,2
760,94,0,5
780,86,1,9
800,82,3,12
820,58,4,32
840,29,3,60
860,9,21,64
880,26,20,44
900,35,8,49
920,33,20,41
940,22,52,17
960,16,44,30
980,17,69,9
1000,13,76,4
1020,5,74,15
1040,1,83,12
1060,12,73,8
1080,2,84,13
1100,0,91,6
1120,1,44,51
1140,0,66,29
1160,4,72,24
1180,9,37,43
1200,0,7,89
1220,6,16,70
1240,4,23,67
1260,3,8,87
1280,1,10,87
1300,2,8,89
1320,0,27,68
1340,0,34,59
1360,6,51,37
1380,16,35,39
1400,37,44,13
1420,25,36,25
1440,43,32,19
1460,28,50,19
1480,33,49,13
1500,34,53,5
1520,25,69,1
1540,7,79,7
1560,0,97,2
1580,0,96,2
1600,0,96,4
1620,0,99,1
1640,0,97,2
1660,0,94,4
1680,0,96,3
1700,0,92,5
1720,0,87,10
1740,0,97,3
1760,8,71,13
1780,19,61,8
1800,16,50,28
1820,23,63,6
1840,33,54,9
1860,21,73,0
1880,46,46,1
1900,20,76,0
1920,71,25,0
1940,57,30,2
1960,73,23,0
1980,62,33,1
2000,55,41,1
2020,56,18,18
2040,36,47,10
2060,36,30,25
2080,41,51,1
2100,22,68,4
2120,10,79,1
2140,21,64,9
2160,3,74,19
2180,4,66,26
2200,8,76,12
2220,6,87,2
2240,30,62,3
2260,50,35,7
2280,16,80,0
2300,45,47,4
2320,30,48,13
2340,25,47,20
2360,28,61,6
2380,39,48,6
2400,24,64,5
2420,4,82,8
2440,1,90,7
2460,0,92,1
2480,0,70,24
2500,0,55,33
2520,0,78,18
2540,1,83,11
2560,0,78,18
2580,0,58,35
2600,0,59,33
2620,0,31,65
2640,0,41,54
2660,0,30,65
2680,0,40,55
2700,0,55,37
2720,0,34,58
2740,0,44,47
2760,1,33,62
2780,1,53,41
2800,7,45,46
2820,7,37,52
2840,14,41,36
2860,9,52,27
2880,26,30,33
2900,48,16,28
2920,27,18,48
2940,5,10,78
2960,3,37,55
2980,4,44,38
3000,4,24,62
3020,0,78,14
3040,0,63,33
3060,3,56,36
3080,7,73,12
3100,7,81,7
3120,25,59,5
3140,39,57,1
3160,23,53,21
3180,17,45,34
3200,56,33,10
3220,76,16,7
3240,76,19,3
3260,84,16,0
3280,89,7,2
3300,65,30,4
3320,47,48,5
3340,21,79,0
3360,56,42,2
3380,69,31,0
3400,47,52,1
3420,50,45,0
3440,35,52,4
3460,10,78,9
3480,0,86,11
3500,1,79,12
3520,5,87,5
3540,8,88,0
3560,7,84,3
3580,21,76,0
3600,31,64,2
3620,6,89,5
3640,18,75,3
3660,14,73,4
3680,20,76,0
3700,63,34,0
3720,76,20,2
3740,79,11,3
3760,55,36,3
3780,62,27,5
3800,78,13,4
3820,70,21,4
3840,72,24,0
3860,84,11,1
3880,91,9,0
3900,91,7,0
3920,79,15,0
3940,73,25,0
3960,68,29,0
3980,41,54,2
4000,12,85,1
4020,3,97,0
4040,9,89,1
4060,14,82,1
4080,4,95,0
4100,2,97,1
4120,4,89,3
4140,1,87,7
4160,0,78,18
4180,0,90,3
4200,2,92,3
4220,28,43,17
4240,20,63,12
4260,54,28,6
4280,52,26,13
4300,49,39,4
4320,16,63,14
4340,13,72,10
4360,1,96,2
4380,9,79,5
4400,8,87,1
4420,2,95,2
4440,7,74,14
4460,0,82,16
4480,0,79,17
4500,0,93,3
4520,0,97,0
4540,0,100,0
4560,0,93,6
4580,1,90,5
4600,1,96,1
4620,4,87,5
4640,1,96,3
4660,13,84,0
4680,10,84,4
4700,47,42,3
4720,75,18,1
4740,95,0,4
4760,99,0,1
4780,98,0,1
4800,92,0,7
4820,98,0,2
4840,96,2,1
4860,83,13,2
4880,79,14,1
4900,58,36,3
4920,32,53,10
4940,28,55,11
4960,11,80,8
4980,3,84,6
5000,18,64,11
5020,6,68,16
5040,17,43,33
5060,8,56,32
5080,13,58,19
5100,4,50,39
5120,16,25,45
5140,46,26,13
5160,42,2,47
5180,50,6,37
5200,39,2,56
5220,47,5,39
5240,55,6,34
5260,58,0,33
5280,32,4,53
5300,58,3,30
5320,56,9,31
5340,45,16,28
5360,60,28,5
5380,67,27,1
5400,34,56,4
5420,7,74,10
5440,5,65,22
5460,13,70,9
5480,39,50,2
5500,39,36,19
5520,58,11,23
5540,35,19,40
5560,17,9,69
5580,54,6,34
5600,76,3,17
5620,88,0,9
5640,90,0,9
5660,98,0,1
5680,87,0,9
5700,74,8,15
5720,72,14,5
5740,55,15,24
5760,61,10,22
5780,13,19,58
5800,5,31,55
5820,13,28,47
5840,26,29,40
5860,25,37,31
5880,18,34,41
5900,28,25,41
5920,26,11,53
5940,32,18,39
5960,35,37,22
5980,60,19,10
6000,39,45,6
6020,51,33,4
6040,23,60,11
6060,27,49,17
6080,7,69,20
6100,5,93,1
6120,6,89,3
6140,2,85,9
6160,8,70,14
6180,10,65,15
6200,8,21,60
6220,3,32,59
6240,13,31,46
6260,32,35,26
6280,39,25,23
6300,30,39,19
6320,37,28,22
6340,79,9,7
6360,82,13,3
6380,74,10,7
6400,66,25,4
6420,58,37,2
6440,35,54,5
6460,29,58,6
6480,23,71,4
6500,32,54,6
6520,29,49,15
6540,4,67,20
6560,0,59,33
6580,0,69,25
6600,0,95,3
6620,0,92,5
6640,12,66,17
6660,16,61,15
6680,25,63,6
6700,36,45,9
6720,22,75,1
6740,36,57,1
6760,29,67,0
6780,24,72,0
6800,45,50,1
