#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
98.443	1.708e+04	6.782e+03	4.304e+04
199.541	2.172e+04	1.077e+04	4.378e+04
300.639	2.926e+04	1.472e+04	5.815e+04
401.737	3.712e+04	1.906e+04	7.230e+04
502.835	4.730e+04	2.487e+04	8.997e+04
603.934	5.422e+04	2.908e+04	1.011e+05
705.032	7.000e+04	5.672e+04	8.640e+04
806.130	7.156e+04	5.938e+04	8.625e+04
907.228	1.314e+05	7.781e+04	2.218e+05
1008.326	1.720e+05	9.917e+04	2.983e+05
1109.425	1.935e+05	1.134e+05	3.300e+05
1210.523	1.876e+05	1.167e+05	3.014e+05
1311.621	2.953e+05	1.921e+05	4.539e+05
1412.719	4.730e+05	3.150e+05	7.103e+05
1513.817	6.559e+05	4.405e+05	9.767e+05
1614.915	1.230e+06	8.218e+05	1.840e+06
1716.014	1.548e+06	1.022e+06	2.346e+06
1817.112	1.836e+06	1.203e+06	2.802e+06
1918.210	3.366e+06	2.332e+06	4.859e+06
2019.308	1.081e+06	3.831e+05	3.049e+06
