name,date
NC_002066.1,1998-09-17
NC_003113.1,2000-11-23
NC_003781.1,1997-02-06
NC_004830.2,2006-12-02
NC_005092.1,2008-11-13
NC_006494.1,2003-07-03
NC_009530.1,2007-03-22
NC_014137.1,2001-11-07
NC_016405.1,2011-01-10
NC_021566.1,2006-11-13
NC_021567.1,2010-02-17
NC_022611.1,2013-03-25
NC_023022.1,2007-01-03
NC_023483.1,2008-05-13
NC_023627.1,2010-06-17
NC_023676.1,2007-01-11
NC_024016.1,2007-01-11
NC_024497.1,2010-10-08
NC_025788.1,2007-01-09
NC_025835.1,2007-01-04
NC_026250.1,2007-01-12
NC_026733.1,2013-06-22
NC_027128.1,2003-01-13
NC_027713.1,2011-11-30
NC_027917.1,2002-02-15
NC_031338.1,2016-06-17
NC_031749.1,2001-01-15
NC_032087.1,2007-01-11
NC_033619.1,2014-10-21
NC_033823.1,2012-01-13
NC_034217.1,2014-03-20
NC_034384.1,2007-01-07
NC_036389.1,2010-01-10
NC_036585.1,2014-11-14
NC_038301.1,2012-11-29
NC_038302.1,1962-07-01
NC_040574.1,2007-01-15
NC_040587.1,2007-01-14
NC_040601.1,2007-01-13
NC_040646.1,2007-06-11
NC_040675.1,2007-01-13
NC_040716.1,2004-01-17
NC_040724.1,2013-07-21
NC_040832.1,2015-12-17
NC_030886.1,2010-06-09
OQ818335,2018-08-06
OQ818339,2018-02-15
OQ818341,2018-07-27
