Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
MF352431.1,Bat sapelovirus,,Bat sapelovirus,Sapelovirus,China,Myotis ricketti,1,2012,0
NC_033820.1,Bat sapelovirus,,Bat sapelovirus,Sapelovirus,Cameroon,Eidolon helvum,1,2013,0
OR951325.1,Pteropodidae bat sapelovirus,YN2017_252_13203,Pteropodidae bat sapelovirus,Sapelovirus,China,Eonycteris spelaea,1,2017,0
OR951326.1,Pteropodidae bat sapelovirus,YN2017_252_16636,Pteropodidae bat sapelovirus,Sapelovirus,China,Eonycteris spelaea,1,2017,0
OR951327.1,Pteropodidae bat sapelovirus,YN2017_253_1837,Pteropodidae bat sapelovirus,Sapelovirus,China,Eonycteris spelaea,1,2017,0
OR951332.1,Pteropodidae bat sapelovirus,YN2016,Pteropodidae bat sapelovirus,Sapelovirus,China,Rousettus leschenaultii,1,2016,0
HQ875059.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2009,0
JX286666.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2011,0
KF539414.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2011,0
KJ821019.1,Sapelovirus A,KS04105,Sapelovirus A,Sapelovirus,South Korea,Sus scrofa,0,2004,0
KJ821020.1,Sapelovirus A,KS05151,Sapelovirus A,Sapelovirus,South Korea,Sus scrofa,0,2005,0
KJ821021.1,Sapelovirus A,KS055217,Sapelovirus A,Sapelovirus,South Korea,Sus scrofa,0,2005,0
KX574284.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,USA,Sus scrofa,0,2015,0
KY053835.1,Porcine sapelovirus 1,IVRI/PSV/SPF/C-6/2015,Sapelovirus A,Sapelovirus,India,Sus scrofa,0,2015,0
KY855433.1,Marmot sapelovirus 2,,Marmot sapelovirus 2,Sapelovirus,China,Marmota himalayana,0,2013,0
LC326555.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Japan,Sus scrofa,0,2009,0
LC326556.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Japan,Sus scrofa,0,2009,0
LC386162.1,Sapelovirus-like porcine picornavirus Japan,,Sapelovirus-like porcine picornavirus Japan,Sapelovirus,Japan,Sus scrofa,0,2015,0
LC493088.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Viet Nam,Sus scrofa domesticus,0,2018,0
LC503602.1,Sapelovirus B,,Sapelovirus B,Sapelovirus,Cambodia,Macaca fascicularis,0,2017,0
LT900497.1,Sapelovirus A,PSV/GER/L00798-K11_14-02/2014,Sapelovirus A,Sapelovirus,Germany,Sus scrofa,0,2014,0
MG732813.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2016,0
MG732814.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2016,0
MH626634.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2017,0
MH626635.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2017,0
MK497044.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Italy,Sus scrofa,0,2015,0
MK521918.1,Tasmanian devil-associated sapelovirus,wukalina/Tasmania/Sarcophilus_harrisii/2017/DN125220,Tasmanian devil-associated sapelovirus,Sapelovirus,Australia,Sarcophilus harrisii,0,2017,0
MN241819.1,Porcine sapelovirus 1,WB-76-tc,Sapelovirus A,Sapelovirus,India,Sus scrofa,0,2018,0
MN241820.1,Porcine sapelovirus 1,TN-400-tc,Sapelovirus A,Sapelovirus,India,Sus scrofa,0,2016,0
MN685785.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2019,0
MN755857.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2018,0
MN755858.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2018,0
MN755859.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2018,0
MN755860.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2018,0
