#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
1764.647	1.693e+03	7.271e+02	3.941e+03
1778.039	1.952e+03	9.624e+02	3.959e+03
1791.430	2.296e+03	1.128e+03	4.673e+03
1804.821	3.302e+03	1.697e+03	6.422e+03
1818.213	4.356e+03	2.172e+03	8.739e+03
1831.604	4.998e+03	2.549e+03	9.802e+03
1844.996	6.720e+03	3.451e+03	1.309e+04
1858.387	6.800e+03	3.322e+03	1.392e+04
1871.778	7.044e+03	4.814e+03	1.031e+04
1885.170	7.463e+03	6.010e+03	9.267e+03
1898.561	7.647e+03	6.315e+03	9.261e+03
1911.953	7.425e+03	5.925e+03	9.305e+03
1925.344	7.568e+03	6.211e+03	9.221e+03
1938.735	1.029e+04	6.259e+03	1.693e+04
1952.127	1.453e+04	8.205e+03	2.573e+04
1965.518	2.233e+04	1.376e+04	3.623e+04
1978.909	2.653e+04	1.598e+04	4.403e+04
1992.301	4.166e+04	2.734e+04	6.347e+04
2005.692	2.072e+04	1.186e+04	3.621e+04
2019.084	7.628e+03	6.251e+03	9.308e+03
