Position,Coverage,rPM
1,1,0.029897154
2,2,0.059794308
3,2,0.059794308
4,3,0.089691461
5,3,0.089691461
6,3,0.089691461
7,3,0.089691461
8,3,0.089691461
9,3,0.089691461
10,3,0.089691461
11,3,0.089691461
12,3,0.089691461
13,3,0.089691461
14,3,0.089691461
15,3,0.089691461
16,3,0.089691461
17,3,0.089691461
18,3,0.089691461
19,3,0.089691461
20,3,0.089691461
21,3,0.089691461
22,3,0.089691461
23,3,0.089691461
24,3,0.089691461
25,3,0.089691461
26,3,0.089691461
27,3,0.089691461
28,3,0.089691461
29,3,0.089691461
30,3,0.089691461
31,3,0.089691461
32,3,0.089691461
33,3,0.089691461
34,3,0.089691461
35,3,0.089691461
36,3,0.089691461
37,3,0.089691461
38,3,0.089691461
39,3,0.089691461
40,3,0.089691461
41,3,0.089691461
42,3,0.089691461
43,3,0.089691461
44,3,0.089691461
45,3,0.089691461
46,3,0.089691461
47,3,0.089691461
48,3,0.089691461
49,3,0.089691461
50,3,0.089691461
51,3,0.089691461
52,3,0.089691461
53,3,0.089691461
54,3,0.089691461
55,3,0.089691461
56,3,0.089691461
57,3,0.089691461
58,3,0.089691461
59,3,0.089691461
60,3,0.089691461
61,3,0.089691461
62,3,0.089691461
63,3,0.089691461
64,3,0.089691461
65,3,0.089691461
66,3,0.089691461
67,3,0.089691461
68,3,0.089691461
69,3,0.089691461
70,3,0.089691461
71,3,0.089691461
72,3,0.089691461
73,3,0.089691461
74,3,0.089691461
75,3,0.089691461
76,3,0.089691461
77,3,0.089691461
78,3,0.089691461
79,3,0.089691461
80,3,0.089691461
81,3,0.089691461
82,3,0.089691461
83,3,0.089691461
84,3,0.089691461
85,3,0.089691461
86,3,0.089691461
87,3,0.089691461
88,3,0.089691461
89,3,0.089691461
90,3,0.089691461
91,3,0.089691461
92,3,0.089691461
93,3,0.089691461
94,4,0.119588615
95,4,0.119588615
96,4,0.119588615
97,4,0.119588615
98,4,0.119588615
99,4,0.119588615
100,4,0.119588615
101,4,0.119588615
102,4,0.119588615
103,4,0.119588615
104,4,0.119588615
105,4,0.119588615
106,4,0.119588615
107,4,0.119588615
108,4,0.119588615
109,4,0.119588615
110,4,0.119588615
111,4,0.119588615
112,5,0.149485769
113,5,0.149485769
114,5,0.149485769
115,5,0.149485769
116,5,0.149485769
117,5,0.149485769
118,5,0.149485769
119,5,0.149485769
120,5,0.149485769
121,5,0.149485769
122,5,0.149485769
123,5,0.149485769
124,5,0.149485769
125,5,0.149485769
126,5,0.149485769
127,5,0.149485769
128,5,0.149485769
129,5,0.149485769
130,5,0.149485769
131,5,0.149485769
132,5,0.149485769
133,5,0.149485769
134,5,0.149485769
135,5,0.149485769
136,5,0.149485769
137,5,0.149485769
138,5,0.149485769
139,5,0.149485769
140,5,0.149485769
141,5,0.149485769
142,5,0.149485769
143,5,0.149485769
144,5,0.149485769
145,5,0.149485769
146,5,0.149485769
147,4,0.119588615
148,3,0.089691461
149,3,0.089691461
150,2,0.059794308
151,2,0.059794308
152,2,0.059794308
153,2,0.059794308
154,2,0.059794308
155,2,0.059794308
156,2,0.059794308
157,3,0.089691461
158,3,0.089691461
159,4,0.119588615
160,4,0.119588615
161,4,0.119588615
162,4,0.119588615
163,4,0.119588615
164,4,0.119588615
165,5,0.149485769
166,5,0.149485769
167,5,0.149485769
168,5,0.149485769
169,5,0.149485769
170,5,0.149485769
171,5,0.149485769
172,5,0.149485769
173,5,0.149485769
174,5,0.149485769
175,5,0.149485769
176,5,0.149485769
177,5,0.149485769
178,5,0.149485769
179,5,0.149485769
180,5,0.149485769
181,5,0.149485769
182,5,0.149485769
183,5,0.149485769
184,5,0.149485769
185,6,0.179382923
186,6,0.179382923
187,6,0.179382923
188,6,0.179382923
189,6,0.179382923
190,6,0.179382923
191,6,0.179382923
192,6,0.179382923
193,6,0.179382923
194,6,0.179382923
195,6,0.179382923
196,6,0.179382923
197,6,0.179382923
198,6,0.179382923
199,6,0.179382923
200,6,0.179382923
201,6,0.179382923
202,6,0.179382923
203,6,0.179382923
204,6,0.179382923
205,6,0.179382923
206,7,0.209280077
207,7,0.209280077
208,7,0.209280077
209,7,0.209280077
210,7,0.209280077
211,7,0.209280077
212,7,0.209280077
213,7,0.209280077
214,7,0.209280077
215,7,0.209280077
216,7,0.209280077
217,7,0.209280077
218,7,0.209280077
219,7,0.209280077
220,7,0.209280077
221,7,0.209280077
222,7,0.209280077
223,7,0.209280077
224,7,0.209280077
225,7,0.209280077
226,7,0.209280077
227,7,0.209280077
228,7,0.209280077
229,7,0.209280077
230,7,0.209280077
231,7,0.209280077
232,7,0.209280077
233,7,0.209280077
234,7,0.209280077
235,7,0.209280077
236,7,0.209280077
237,7,0.209280077
238,7,0.209280077
239,7,0.209280077
240,6,0.179382923
241,6,0.179382923
242,6,0.179382923
243,6,0.179382923
244,6,0.179382923
245,6,0.179382923
246,6,0.179382923
247,6,0.179382923
248,6,0.179382923
249,6,0.179382923
250,6,0.179382923
251,6,0.179382923
252,6,0.179382923
253,6,0.179382923
254,6,0.179382923
255,6,0.179382923
256,6,0.179382923
257,6,0.179382923
258,5,0.149485769
259,5,0.149485769
260,5,0.149485769
261,5,0.149485769
262,5,0.149485769
263,5,0.149485769
264,5,0.149485769
265,5,0.149485769
266,5,0.149485769
267,5,0.149485769
268,5,0.149485769
269,5,0.149485769
270,5,0.149485769
271,5,0.149485769
272,5,0.149485769
273,5,0.149485769
274,5,0.149485769
275,5,0.149485769
276,5,0.149485769
277,5,0.149485769
278,5,0.149485769
279,5,0.149485769
280,5,0.149485769
281,5,0.149485769
282,5,0.149485769
283,5,0.149485769
284,5,0.149485769
285,5,0.149485769
286,6,0.179382923
287,6,0.179382923
288,6,0.179382923
289,6,0.179382923
290,6,0.179382923
291,6,0.179382923
292,6,0.179382923
293,6,0.179382923
294,6,0.179382923
295,6,0.179382923
296,6,0.179382923
297,6,0.179382923
298,6,0.179382923
299,6,0.179382923
300,6,0.179382923
301,6,0.179382923
302,6,0.179382923
303,5,0.149485769
304,5,0.149485769
305,4,0.119588615
306,4,0.119588615
307,4,0.119588615
308,4,0.119588615
309,4,0.119588615
310,4,0.119588615
311,3,0.089691461
