Position,Coverage,rPM
1,1,0.030433989
2,1,0.030433989
3,1,0.030433989
4,1,0.030433989
5,1,0.030433989
6,1,0.030433989
7,1,0.030433989
8,1,0.030433989
9,1,0.030433989
10,1,0.030433989
11,1,0.030433989
12,1,0.030433989
13,1,0.030433989
14,1,0.030433989
15,1,0.030433989
16,1,0.030433989
17,1,0.030433989
18,1,0.030433989
19,1,0.030433989
20,2,0.060867977
21,2,0.060867977
22,2,0.060867977
23,3,0.091301966
24,3,0.091301966
25,3,0.091301966
26,3,0.091301966
27,3,0.091301966
28,3,0.091301966
29,4,0.121735955
30,4,0.121735955
31,4,0.121735955
32,4,0.121735955
33,4,0.121735955
34,4,0.121735955
35,4,0.121735955
36,4,0.121735955
37,4,0.121735955
38,4,0.121735955
39,4,0.121735955
40,4,0.121735955
41,4,0.121735955
42,4,0.121735955
43,4,0.121735955
44,6,0.182603932
45,6,0.182603932
46,6,0.182603932
47,6,0.182603932
48,6,0.182603932
49,6,0.182603932
50,6,0.182603932
51,6,0.182603932
52,6,0.182603932
53,6,0.182603932
54,6,0.182603932
55,6,0.182603932
56,6,0.182603932
57,6,0.182603932
58,6,0.182603932
59,6,0.182603932
60,6,0.182603932
61,6,0.182603932
62,6,0.182603932
63,6,0.182603932
64,6,0.182603932
65,6,0.182603932
66,6,0.182603932
67,6,0.182603932
68,6,0.182603932
69,6,0.182603932
70,6,0.182603932
71,6,0.182603932
72,6,0.182603932
73,6,0.182603932
74,6,0.182603932
75,6,0.182603932
76,6,0.182603932
77,6,0.182603932
78,6,0.182603932
79,6,0.182603932
80,6,0.182603932
81,6,0.182603932
82,6,0.182603932
83,6,0.182603932
84,6,0.182603932
85,6,0.182603932
86,6,0.182603932
87,6,0.182603932
88,6,0.182603932
89,6,0.182603932
90,6,0.182603932
91,6,0.182603932
92,6,0.182603932
93,6,0.182603932
94,6,0.182603932
95,7,0.213037921
96,7,0.213037921
97,7,0.213037921
98,7,0.213037921
99,7,0.213037921
100,7,0.213037921
101,7,0.213037921
102,7,0.213037921
103,7,0.213037921
104,7,0.213037921
105,7,0.213037921
106,7,0.213037921
107,7,0.213037921
108,7,0.213037921
109,7,0.213037921
110,7,0.213037921
111,7,0.213037921
112,7,0.213037921
113,7,0.213037921
114,7,0.213037921
115,7,0.213037921
116,7,0.213037921
117,7,0.213037921
