old_accession,Accession,Species,Genus,Country,source,Host,Collection_Date,Collection_Year,novel,tip_label
NC_001366.1,NC_001366,Cardiovirus B,Cardiovirus,United Kingdom,Rodentia,0,1990-09-13,1990,0,NC_001366
NC_001430.1,NC_001430,Enterovirus D,Enterovirus,United Kingdom,Homo sapiens,0,2009-09-04,2009,0,NC_001430
NC_001472.1,NC_001472,Enterovirus B,Enterovirus,United Kingdom,Homo sapiens,0,2007-01-21,2007,0,NC_001472
NC_001479.1,NC_001479,Cardiovirus A,Cardiovirus,USA,Sus scrofa,0,2000-08-01,2000,0,NC_001479
NC_001489.1,NC_001489,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,1987-08-05,1987,0,NC_001489
NC_001490.1,NC_001490,Rhinovirus B,Enterovirus,USA,Homo sapiens,0,1984-07-01,1984,0,NC_001490
NC_001612.1,NC_001612,Enterovirus A,Enterovirus,Finland,Homo sapiens,0,1994-01-31,1994,0,NC_001612
NC_001617.1,NC_001617,Rhinovirus A,Enterovirus,USA,Homo sapiens,0,2009-04-04,2009,0,NC_001617
NC_001859.1,NC_001859,Enterovirus E,Enterovirus,United Kingdom,Bovinae,0,1997-12-09,1997,0,NC_001859
NC_001918.1,NC_001918,Aichivirus A,Kobuvirus,Japan,Homo sapiens,0,1998-01-07,1998,0,NC_001918
NC_002058.3,NC_002058,Enterovirus C,Enterovirus,USA,Homo sapiens,0,1980-07-01,1980,0,NC_002058
NC_003976.2,NC_003976,Parechovirus B,Parechovirus,Sweden,Myodes glareolus,0,2000-12-13,2000,0,NC_003976
NC_003983.1,NC_003983,Erbovirus A,Erbovirus,Austria,Equus caballus,0,1996-03-25,1996,0,NC_003983
NC_003985.1,NC_003985,Teschovirus A,Teschovirus,United Kingdom,Sus scrofa,0,1998-12-02,1998,0,NC_003985
NC_003987.1,NC_003987,Sapelovirus A,Sapelovirus,Germany,Sus scrofa,0,2008-07-01,2008,0,NC_003987
NC_003988.1,NC_003988,Enterovirus H,Enterovirus,USA,Simiiformes,0,1999-11-04,1999,0,NC_003988
NC_003990.1,NC_003990,Tremovirus A,Tremovirus,USA,Gallus gallus,0,1997-12-17,1997,0,NC_003990
NC_004421.1,NC_004421,Aichivirus B,Kobuvirus,Japan,Bos taurus,0,2005-08-02,2005,0,NC_004421
NC_004441.1,NC_004441,Enterovirus G,Enterovirus,Germany,Sus scrofa,0,2001-03-23,2001,0,NC_004441
NC_004451.1,NC_004451,Sapelovirus B,Sapelovirus,USA,Simiiformes,0,2001-11-30,2001,0,NC_004451
NC_006553.1,NC_006553,Anativirus A,Anativirus,Taiwan,Anseriformes,0,2003-01-04,2003,0,NC_006553
NC_008250.2,NC_008250,Avihepatovirus A,Avihepatovirus,USA,Anseriformes,0,2005-09-29,2005,0,NC_008250
