pointer,KX759623
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,1.0
280,2.0
281,3.0
282,4.0
283,5.0
284,6.0
285,7.000000000000001
286,7.000000000000001
287,8.0
288,9.0
289,10.0
290,10.0
291,11.0
292,12.0
293,12.0
294,12.0
295,13.0
296,14.000000000000002
297,15.0
298,15.0
299,16.0
300,16.0
301,16.0
302,17.0
303,18.0
304,19.0
305,20.0
306,20.0
307,21.0
308,22.0
309,22.0
310,23.0
311,24.0
312,24.0
313,25.0
314,25.0
315,26.0
316,27.0
317,28.000000000000004
318,28.999999999999996
319,28.999999999999996
320,30.0
321,30.0
322,31.0
323,32.0
324,32.0
325,33.0
326,33.0
327,34.0
328,34.0
329,35.0
330,36.0
331,37.0
332,37.0
333,38.0
334,39.0
335,40.0
336,41.0
337,42.0
338,43.0
339,43.0
340,44.0
341,45.0
342,45.0
343,46.0
344,47.0
345,47.0
346,47.0
347,48.0
348,49.0
349,50.0
350,51.0
351,51.0
352,52.0
353,53.0
354,53.0
355,54.0
356,55.00000000000001
357,55.00000000000001
358,55.00000000000001
359,56.00000000000001
360,56.99999999999999
361,56.99999999999999
362,56.99999999999999
363,57.99999999999999
364,57.99999999999999
365,59.0
366,60.0
367,61.0
368,62.0
369,63.0
370,64.0
371,65.0
372,65.0
373,66.0
374,67.0
375,68.0
376,69.0
377,70.0
378,70.0
379,69.0
380,68.0
381,68.0
382,68.0
383,68.0
384,68.0
385,67.0
386,67.0
387,67.0
388,66.0
389,65.0
390,66.0
391,66.0
392,66.0
393,67.0
394,68.0
395,67.0
396,66.0
397,66.0
398,66.0
399,66.0
400,67.0
401,68.0
402,68.0
403,68.0
404,68.0
405,68.0
406,69.0
407,69.0
408,68.0
409,69.0
410,69.0
411,69.0
412,70.0
413,70.0
414,70.0
415,70.0
416,70.0
417,70.0
418,70.0
419,71.0
420,71.0
421,72.0
422,72.0
423,72.0
424,73.0
425,72.0
426,73.0
427,72.0
428,73.0
429,72.0
430,71.0
431,71.0
432,71.0
433,70.0
434,70.0
435,70.0
436,69.0
437,68.0
438,68.0
439,69.0
440,68.0
441,68.0
442,69.0
443,69.0
444,68.0
445,69.0
446,70.0
447,70.0
448,70.0
449,70.0
450,70.0
451,71.0
452,71.0
453,71.0
454,72.0
455,72.0
456,71.0
457,72.0
458,72.0
459,72.0
460,72.0
461,73.0
462,74.0
463,74.0
464,75.0
465,75.0
466,75.0
467,74.0
468,74.0
469,73.0
470,73.0
471,72.0
472,73.0
473,73.0
474,72.0
475,71.0
476,70.0
477,69.0
478,69.0
479,70.0
480,71.0
481,70.0
482,70.0
483,69.0
484,69.0
485,70.0
486,71.0
487,71.0
488,72.0
489,73.0
490,73.0
491,73.0
492,73.0
493,73.0
494,73.0
495,74.0
496,75.0
497,75.0
498,75.0
499,75.0
500,74.0
501,74.0
502,73.0
503,72.0
504,72.0
505,72.0
506,72.0
507,72.0
508,73.0
509,73.0
510,73.0
511,73.0
512,73.0
513,72.0
