pointer,MK153132
49,9.0
50,9.0
51,9.0
52,9.0
53,9.0
54,9.0
55,9.0
56,9.0
57,9.0
58,9.0
59,9.0
60,9.0
61,9.0
62,9.0
63,9.0
64,9.0
65,9.0
66,9.0
67,9.0
68,9.0
69,9.0
70,9.0
71,9.0
72,9.0
73,9.0
74,10.0
75,11.0
76,12.0
77,13.0
78,14.000000000000002
79,15.0
80,15.0
81,16.0
82,17.0
83,18.0
84,18.0
85,18.0
86,18.0
87,18.0
88,18.0
89,18.0
90,18.0
91,18.0
92,18.0
93,18.0
94,18.0
95,18.0
96,18.0
97,18.0
98,18.0
99,18.0
100,18.0
101,18.0
102,18.0
103,18.0
104,18.0
105,18.0
106,18.0
107,18.0
108,18.0
109,18.0
110,18.0
111,18.0
112,18.0
113,18.0
114,18.0
115,18.0
116,18.0
117,18.0
118,18.0
119,18.0
120,18.0
121,18.0
122,18.0
123,17.0
124,17.0
125,16.0
126,15.0
127,14.000000000000002
128,13.0
129,12.0
130,11.0
131,10.0
132,9.0
133,10.0
134,10.0
135,10.0
136,11.0
137,12.0
138,13.0
139,13.0
140,14.000000000000002
141,14.000000000000002
142,15.0
143,16.0
144,17.0
145,18.0
146,18.0
147,19.0
148,20.0
149,21.0
150,22.0
151,22.0
152,22.0
153,22.0
154,22.0
155,22.0
156,22.0
157,22.0
158,22.0
159,22.0
160,22.0
161,22.0
162,22.0
163,22.0
164,22.0
165,22.0
166,22.0
167,22.0
168,22.0
169,22.0
170,22.0
171,22.0
172,22.0
173,22.0
174,21.0
175,20.0
176,19.0
177,18.0
178,17.0
179,16.0
180,16.0
181,15.0
182,14.000000000000002
183,13.0
184,13.0
185,13.0
186,13.0
187,13.0
188,13.0
189,13.0
190,13.0
191,13.0
192,13.0
193,13.0
194,13.0
195,13.0
196,13.0
197,13.0
198,13.0
199,13.0
200,13.0
201,13.0
202,13.0
203,13.0
204,13.0
205,13.0
206,13.0
207,13.0
208,13.0
209,13.0
210,13.0
211,13.0
212,13.0
213,13.0
214,13.0
215,13.0
216,13.0
217,13.0
218,13.0
219,13.0
220,13.0
221,13.0
222,13.0
223,13.0
224,13.0
225,13.0
226,13.0
227,13.0
228,13.0
229,13.0
230,13.0
231,13.0
232,13.0
233,12.0
234,12.0
235,12.0
236,11.0
237,10.0
238,9.0
