pointer,OQ818328,NC_015934
49,34.0,0.0
50,35.0,0.0
51,36.0,0.0
52,37.0,0.0
53,38.0,0.0
54,39.0,0.0
55,40.0,0.0
56,41.0,0.0
57,42.0,0.0
58,43.0,0.0
59,44.0,0.0
60,45.0,0.0
61,46.0,0.0
62,47.0,0.0
63,48.0,0.0
64,49.0,0.0
65,50.0,0.0
66,51.0,0.0
67,52.0,0.0
68,53.0,0.0
69,54.0,0.0
70,55.00000000000001,0.0
71,56.00000000000001,0.0
72,56.99999999999999,0.0
73,57.99999999999999,0.0
74,59.0,0.0
75,60.0,0.0
76,61.0,0.0
77,62.0,0.0
78,63.0,0.0
79,64.0,0.0
80,65.0,0.0
81,66.0,0.0
82,67.0,0.0
83,68.0,0.0
84,69.0,0.0
85,70.0,0.0
86,71.0,0.0
87,72.0,0.0
88,73.0,0.0
89,74.0,0.0
90,75.0,0.0
91,76.0,0.0
92,77.0,0.0
93,77.0,0.0
94,78.0,0.0
95,79.0,0.0
96,80.0,0.0
97,81.0,0.0
98,82.0,0.0
99,83.0,0.0
100,84.0,0.0
101,85.0,0.0
102,86.0,0.0
103,87.0,0.0
104,88.0,0.0
105,89.0,0.0
106,90.0,0.0
107,91.0,0.0
108,91.0,0.0
109,92.0,0.0
110,93.0,1.0
111,94.0,2.0
112,95.0,2.0
113,96.0,2.0
114,97.0,3.0
115,98.0,4.0
116,98.0,4.0
117,98.0,5.0
118,98.0,6.0
119,98.0,7.000000000000001
120,98.0,8.0
121,98.0,9.0
122,98.0,9.0
123,98.0,10.0
124,98.0,10.0
125,98.0,10.0
126,98.0,11.0
127,98.0,12.0
128,98.0,13.0
129,98.0,13.0
130,98.0,13.0
131,98.0,13.0
132,98.0,14.000000000000002
133,98.0,15.0
134,98.0,16.0
135,98.0,17.0
136,98.0,18.0
137,98.0,19.0
138,98.0,20.0
139,98.0,21.0
140,98.0,21.0
141,98.0,21.0
142,98.0,22.0
143,98.0,23.0
144,98.0,23.0
145,98.0,23.0
146,98.0,24.0
147,98.0,25.0
148,98.0,25.0
149,98.0,26.0
150,98.0,27.0
151,98.0,27.0
152,98.0,28.000000000000004
153,98.0,28.999999999999996
154,98.0,28.999999999999996
155,98.0,30.0
156,98.0,31.0
157,97.0,32.0
158,97.0,32.0
159,97.0,32.0
160,97.0,32.0
161,97.0,33.0
162,97.0,34.0
163,97.0,34.0
164,97.0,34.0
165,97.0,35.0
166,97.0,36.0
167,97.0,36.0
168,97.0,36.0
169,97.0,37.0
170,97.0,38.0
171,97.0,39.0
172,97.0,40.0
173,97.0,41.0
174,97.0,42.0
175,97.0,43.0
176,97.0,43.0
177,97.0,43.0
178,97.0,43.0
179,97.0,44.0
180,97.0,44.0
181,97.0,44.0
182,97.0,44.0
183,97.0,44.0
184,97.0,45.0
185,97.0,46.0
186,97.0,47.0
187,97.0,48.0
188,97.0,49.0
189,96.0,50.0
190,96.0,51.0
191,96.0,52.0
192,96.0,53.0
193,97.0,53.0
194,97.0,54.0
195,97.0,54.0
196,97.0,55.00000000000001
197,97.0,55.00000000000001
198,97.0,55.00000000000001
199,97.0,55.00000000000001
200,97.0,55.00000000000001
201,97.0,56.00000000000001
202,97.0,56.99999999999999
203,97.0,56.99999999999999
204,97.0,56.99999999999999
205,97.0,56.99999999999999
206,97.0,56.99999999999999
207,97.0,56.99999999999999
208,98.0,56.99999999999999
209,98.0,57.99999999999999
210,98.0,56.99999999999999
211,98.0,56.99999999999999
212,97.0,57.99999999999999
213,97.0,59.0
214,97.0,59.0
215,97.0,59.0
216,97.0,60.0
217,97.0,60.0
218,97.0,60.0
219,97.0,59.0
220,97.0,59.0
221,97.0,57.99999999999999
222,97.0,57.99999999999999
223,97.0,56.99999999999999
224,97.0,57.99999999999999
225,97.0,57.99999999999999
226,97.0,56.99999999999999
227,97.0,56.00000000000001
228,97.0,55.00000000000001
229,97.0,56.00000000000001
230,97.0,56.00000000000001
231,97.0,56.00000000000001
232,97.0,55.00000000000001
233,97.0,54.0
234,97.0,53.0
235,97.0,52.0
236,97.0,51.0
237,97.0,50.0
238,97.0,50.0
239,97.0,50.0
240,97.0,51.0
241,97.0,52.0
242,97.0,52.0
243,97.0,52.0
244,97.0,53.0
245,97.0,54.0
246,97.0,54.0
247,97.0,54.0
248,97.0,55.00000000000001
249,97.0,55.00000000000001
250,97.0,54.0
251,97.0,54.0
252,97.0,53.0
253,97.0,53.0
254,97.0,53.0
255,97.0,53.0
256,97.0,52.0
257,98.0,52.0
258,98.0,53.0
259,98.0,54.0
260,98.0,54.0
261,98.0,54.0
262,98.0,53.0
263,98.0,53.0
264,98.0,53.0
265,98.0,53.0
266,98.0,53.0
267,98.0,54.0
268,98.0,55.00000000000001
269,98.0,55.00000000000001
270,98.0,55.00000000000001
271,98.0,55.00000000000001
272,98.0,55.00000000000001
273,98.0,55.00000000000001
274,98.0,54.0
275,98.0,53.0
276,98.0,53.0
277,98.0,53.0
278,98.0,54.0
279,98.0,54.0
280,98.0,55.00000000000001
281,98.0,56.00000000000001
282,98.0,56.99999999999999
283,98.0,57.99999999999999
284,98.0,57.99999999999999
285,98.0,57.99999999999999
286,98.0,57.99999999999999
287,98.0,56.99999999999999
288,98.0,56.00000000000001
289,99.0,56.00000000000001
290,99.0,55.00000000000001
291,99.0,54.0
292,99.0,54.0
293,99.0,54.0
294,99.0,54.0
295,99.0,55.00000000000001
296,99.0,54.0
297,99.0,55.00000000000001
298,99.0,55.00000000000001
299,99.0,55.00000000000001
300,99.0,56.00000000000001
301,99.0,55.00000000000001
302,99.0,55.00000000000001
303,99.0,56.00000000000001
304,99.0,56.00000000000001
305,99.0,56.99999999999999
306,99.0,57.99999999999999
307,99.0,59.0
308,99.0,59.0
309,99.0,59.0
310,99.0,59.0
311,99.0,57.99999999999999
312,100.0,57.99999999999999
313,100.0,57.99999999999999
314,100.0,57.99999999999999
315,100.0,57.99999999999999
316,100.0,56.99999999999999
317,100.0,56.99999999999999
318,100.0,56.99999999999999
319,100.0,57.99999999999999
320,100.0,57.99999999999999
321,100.0,59.0
322,100.0,60.0
323,100.0,61.0
324,100.0,61.0
325,100.0,61.0
326,100.0,61.0
327,100.0,62.0
328,100.0,63.0
329,100.0,62.0
330,100.0,63.0
331,100.0,64.0
332,100.0,65.0
333,100.0,66.0
334,100.0,66.0
335,100.0,67.0
