pointer,NC_026470
49,41.0
50,42.0
51,42.0
52,42.0
53,42.0
54,42.0
55,43.0
56,42.0
57,41.0
58,41.0
59,40.0
60,40.0
61,40.0
62,40.0
63,40.0
64,40.0
65,40.0
66,40.0
67,40.0
68,39.0
69,39.0
70,38.0
71,37.0
72,37.0
73,37.0
74,36.0
75,36.0
76,35.0
77,35.0
78,35.0
79,34.0
80,34.0
81,35.0
82,35.0
83,34.0
84,35.0
85,35.0
86,34.0
87,34.0
88,33.0
89,33.0
90,33.0
91,34.0
92,33.0
93,33.0
94,32.0
95,32.0
96,31.0
97,31.0
98,31.0
99,31.0
100,30.0
101,28.999999999999996
102,28.000000000000004
103,28.000000000000004
104,27.0
105,28.000000000000004
106,28.000000000000004
107,28.999999999999996
108,28.999999999999996
109,30.0
110,30.0
111,30.0
112,30.0
113,30.0
114,31.0
115,31.0
116,32.0
117,32.0
118,33.0
119,33.0
120,33.0
121,33.0
122,34.0
123,33.0
124,32.0
125,31.0
126,31.0
127,31.0
128,31.0
129,31.0
130,31.0
131,32.0
132,31.0
133,32.0
134,32.0
135,32.0
136,32.0
137,32.0
138,32.0
139,32.0
140,32.0
141,31.0
142,31.0
143,31.0
144,31.0
145,30.0
146,31.0
147,32.0
148,31.0
149,32.0
150,31.0
151,30.0
152,28.999999999999996
153,28.999999999999996
154,28.999999999999996
155,28.000000000000004
156,28.999999999999996
157,28.999999999999996
158,30.0
159,30.0
160,30.0
161,30.0
162,30.0
163,31.0
164,32.0
165,32.0
166,33.0
167,34.0
168,34.0
169,35.0
170,36.0
171,36.0
172,36.0
173,37.0
174,37.0
175,38.0
176,39.0
177,39.0
178,39.0
179,40.0
180,40.0
181,40.0
182,39.0
183,39.0
184,38.0
185,38.0
186,38.0
187,38.0
188,38.0
189,37.0
190,36.0
191,35.0
192,35.0
193,36.0
194,36.0
195,37.0
196,38.0
197,38.0
198,38.0
199,39.0
200,40.0
201,40.0
202,40.0
203,40.0
204,41.0
205,41.0
206,41.0
207,40.0
208,40.0
209,39.0
210,40.0
211,41.0
212,42.0
213,42.0
214,41.0
215,40.0
216,39.0
217,40.0
218,40.0
219,41.0
220,42.0
221,42.0
222,42.0
223,43.0
224,43.0
225,44.0
226,45.0
227,45.0
228,46.0
229,46.0
230,47.0
231,46.0
232,46.0
233,46.0
234,46.0
235,46.0
236,46.0
237,45.0
238,45.0
239,44.0
240,44.0
241,45.0
242,46.0
243,47.0
244,47.0
245,48.0
246,48.0
247,48.0
248,49.0
249,49.0
250,50.0
251,51.0
252,52.0
253,51.0
254,51.0
255,51.0
256,50.0
257,51.0
258,51.0
259,51.0
260,51.0
261,51.0
262,51.0
263,50.0
264,49.0
265,50.0
266,50.0
267,49.0
268,49.0
269,48.0
270,47.0
271,48.0
272,48.0
273,47.0
274,47.0
275,46.0
276,46.0
277,46.0
278,46.0
279,46.0
280,47.0
281,46.0
282,46.0
283,47.0
284,48.0
285,48.0
286,49.0
287,50.0
288,50.0
289,51.0
290,51.0
291,51.0
292,51.0
293,50.0
294,51.0
295,50.0
296,49.0
297,50.0
298,51.0
299,50.0
300,50.0
301,50.0
302,50.0
303,50.0
304,49.0
305,48.0
306,48.0
307,48.0
308,48.0
309,49.0
310,49.0
311,49.0
312,49.0
313,50.0
314,50.0
315,51.0
316,51.0
317,51.0
318,51.0
319,51.0
320,51.0
321,51.0
322,51.0
323,51.0
324,51.0
325,50.0
326,49.0
327,48.0
328,47.0
329,47.0
330,47.0
331,47.0
332,48.0
333,47.0
334,48.0
335,49.0
336,50.0
337,51.0
338,51.0
339,51.0
340,51.0
341,51.0
342,51.0
343,50.0
344,49.0
345,48.0
346,47.0
347,46.0
348,45.0
349,44.0
350,43.0
351,42.0
352,42.0
353,43.0
354,44.0
355,45.0
356,46.0
357,45.0
358,44.0
359,45.0
360,45.0
361,45.0
362,46.0
363,46.0
364,47.0
365,46.0
366,46.0
367,46.0
368,46.0
369,46.0
370,46.0
371,45.0
372,45.0
373,45.0
374,45.0
375,45.0
376,44.0
377,44.0
378,44.0
379,43.0
380,42.0
381,42.0
382,42.0
383,41.0
384,40.0
385,39.0
386,38.0
387,37.0
388,37.0
389,36.0
390,36.0
391,36.0
392,36.0
393,36.0
394,35.0
395,35.0
396,35.0
397,34.0
398,33.0
399,33.0
400,32.0
401,32.0
402,32.0
403,32.0
404,32.0
405,32.0
406,32.0
407,33.0
408,34.0
409,34.0
410,33.0
411,32.0
412,32.0
413,31.0
414,32.0
415,32.0
416,33.0
417,33.0
418,33.0
419,33.0
420,33.0
421,32.0
422,32.0
423,32.0
424,32.0
425,32.0
426,32.0
427,32.0
428,32.0
429,31.0
430,30.0
431,31.0
432,31.0
433,31.0
434,30.0
435,30.0
436,30.0
437,30.0
438,31.0
439,32.0
440,31.0
441,31.0
442,31.0
443,31.0
444,31.0
445,31.0
446,31.0
447,31.0
448,31.0
449,31.0
450,31.0
451,31.0
452,31.0
453,31.0
454,31.0
455,30.0
456,30.0
457,30.0
458,30.0
459,30.0
460,30.0
461,31.0
462,30.0
463,31.0
464,30.0
465,30.0
466,28.999999999999996
467,28.999999999999996
468,30.0
469,31.0
470,32.0
471,33.0
472,34.0
473,35.0
474,36.0
475,36.0
476,37.0
477,37.0
478,38.0
479,38.0
480,38.0
481,39.0
482,40.0
483,40.0
484,41.0
485,42.0
486,42.0
487,42.0
488,43.0
489,44.0
490,44.0
491,44.0
492,44.0
493,44.0
494,45.0
495,46.0
496,47.0
497,48.0
498,48.0
499,49.0
500,49.0
501,49.0
502,50.0
503,50.0
504,51.0
505,52.0
506,53.0
507,52.0
508,52.0
509,52.0
510,52.0
511,53.0
512,53.0
513,54.0
514,54.0
515,53.0
516,52.0
517,51.0
518,50.0
519,49.0
520,48.0
521,49.0
522,49.0
523,49.0
524,50.0
525,50.0
526,50.0
527,50.0
528,50.0
529,50.0
530,50.0
531,49.0
532,49.0
533,50.0
534,51.0
535,50.0
536,50.0
537,50.0
538,50.0
539,50.0
540,51.0
541,51.0
542,51.0
543,52.0
544,53.0
545,53.0
546,53.0
547,54.0
548,54.0
549,55.00000000000001
550,56.00000000000001
551,56.00000000000001
552,55.00000000000001
553,55.00000000000001
554,54.0
555,54.0
556,54.0
557,55.00000000000001
558,56.00000000000001
559,55.00000000000001
560,56.00000000000001
561,56.00000000000001
562,56.99999999999999
563,56.00000000000001
564,56.99999999999999
565,57.99999999999999
566,59.0
567,60.0
568,60.0
569,59.0
570,57.99999999999999
571,56.99999999999999
572,56.00000000000001
573,56.00000000000001
574,55.00000000000001
575,55.00000000000001
576,54.0
577,54.0
578,53.0
579,53.0
580,54.0
581,53.0
582,53.0
583,54.0
584,54.0
585,54.0
586,55.00000000000001
587,55.00000000000001
588,54.0
589,54.0
590,54.0
591,55.00000000000001
592,56.00000000000001
593,56.00000000000001
594,56.00000000000001
595,56.00000000000001
596,55.00000000000001
597,54.0
598,54.0
599,53.0
600,53.0
601,53.0
602,52.0
603,52.0
604,51.0
605,50.0
606,49.0
607,49.0
608,48.0
609,47.0
610,47.0
611,46.0
612,45.0
613,44.0
614,43.0
615,44.0
616,44.0
617,45.0
618,46.0
619,47.0
620,48.0
621,48.0
622,47.0
623,46.0
624,45.0
625,45.0
626,46.0
627,46.0
628,47.0
629,48.0
630,49.0
631,49.0
632,49.0
633,48.0
634,48.0
635,49.0
636,49.0
637,49.0
638,49.0
639,49.0
640,48.0
641,48.0
642,48.0
643,48.0
644,48.0
645,49.0
646,50.0
647,50.0
648,51.0
649,51.0
650,51.0
651,52.0
652,53.0
653,53.0
654,54.0
655,55.00000000000001
656,54.0
657,53.0
658,53.0
659,54.0
660,53.0
661,53.0
662,53.0
663,54.0
664,53.0
665,52.0
666,52.0
667,52.0
668,52.0
669,53.0
670,54.0
671,55.00000000000001
672,56.00000000000001
673,56.00000000000001
674,56.00000000000001
675,56.00000000000001
676,56.99999999999999
677,56.99999999999999
678,57.99999999999999
679,57.99999999999999
680,56.99999999999999
681,56.99999999999999
682,56.99999999999999
683,56.00000000000001
684,55.00000000000001
685,55.00000000000001
686,55.00000000000001
687,56.00000000000001
688,56.99999999999999
689,56.00000000000001
690,56.99999999999999
691,56.99999999999999
692,56.99999999999999
693,56.99999999999999
694,56.00000000000001
695,56.00000000000001
696,56.00000000000001
697,56.00000000000001
698,56.00000000000001
699,56.00000000000001
700,56.00000000000001
701,56.99999999999999
702,57.99999999999999
703,57.99999999999999
704,57.99999999999999
705,57.99999999999999
706,57.99999999999999
707,59.0
708,60.0
709,61.0
710,61.0
711,62.0
712,62.0
713,63.0
714,63.0
715,62.0
716,62.0
717,62.0
718,62.0
719,61.0
720,60.0
721,59.0
722,60.0
723,60.0
724,60.0
725,60.0
726,60.0
727,61.0
728,61.0
729,60.0
730,59.0
731,60.0
732,60.0
733,61.0
734,61.0
735,61.0
736,60.0
737,60.0
738,59.0
739,59.0
740,59.0
741,57.99999999999999
742,57.99999999999999
743,57.99999999999999
744,57.99999999999999
745,56.99999999999999
746,56.99999999999999
747,56.99999999999999
748,56.00000000000001
749,56.00000000000001
750,55.00000000000001
751,54.0
752,53.0
753,52.0
754,51.0
755,50.0
756,50.0
757,50.0
758,50.0
759,50.0
