pointer,NC_033818
49,37.0
50,38.0
51,38.0
52,39.0
53,40.0
54,41.0
55,42.0
56,43.0
57,44.0
58,45.0
59,45.0
60,46.0
61,47.0
62,47.0
63,48.0
64,49.0
65,50.0
66,51.0
67,52.0
68,53.0
69,54.0
70,55.00000000000001
71,56.00000000000001
72,56.99999999999999
73,57.99999999999999
74,57.99999999999999
75,57.99999999999999
76,59.0
77,60.0
78,61.0
79,62.0
80,62.0
81,63.0
82,63.0
83,63.0
84,63.0
85,64.0
86,64.0
87,65.0
88,66.0
89,67.0
90,68.0
91,69.0
92,70.0
93,71.0
94,72.0
95,73.0
96,74.0
97,75.0
98,76.0
99,77.0
100,78.0
101,79.0
102,79.0
103,80.0
104,80.0
105,80.0
106,80.0
107,80.0
108,80.0
109,80.0
110,80.0
111,80.0
112,80.0
113,80.0
114,81.0
115,81.0
116,82.0
117,82.0
118,82.0
119,82.0
120,83.0
121,83.0
122,83.0
123,82.0
124,82.0
125,83.0
126,83.0
127,83.0
128,83.0
129,83.0
130,84.0
131,84.0
132,84.0
133,84.0
134,84.0
135,85.0
136,85.0
137,85.0
138,85.0
139,86.0
140,85.0
141,85.0
142,85.0
143,86.0
144,87.0
145,87.0
146,88.0
147,89.0
148,90.0
149,91.0
150,91.0
151,92.0
152,92.0
153,91.0
154,90.0
155,90.0
156,90.0
157,89.0
158,88.0
159,89.0
160,88.0
161,88.0
162,89.0
163,89.0
164,89.0
165,89.0
166,89.0
167,89.0
168,89.0
169,89.0
170,89.0
171,89.0
172,88.0
173,87.0
174,88.0
175,89.0
176,89.0
177,89.0
178,89.0
179,89.0
180,90.0
181,90.0
182,90.0
183,90.0
184,89.0
185,89.0
186,88.0
187,88.0
188,87.0
189,87.0
190,86.0
191,86.0
192,86.0
193,86.0
194,85.0
195,85.0
196,85.0
197,85.0
198,85.0
199,84.0
200,84.0
201,83.0
202,82.0
203,82.0
204,82.0
205,82.0
206,82.0
207,82.0
208,82.0
209,82.0
210,82.0
