pointer,NC_028366
49,34.0
50,34.0
51,34.0
52,34.0
53,34.0
54,34.0
55,34.0
56,34.0
57,34.0
58,34.0
59,34.0
60,34.0
61,34.0
62,34.0
63,35.0
64,36.0
65,36.0
66,36.0
67,37.0
68,37.0
69,37.0
70,37.0
71,37.0
72,37.0
73,37.0
74,37.0
75,37.0
76,37.0
77,37.0
78,38.0
79,37.0
80,37.0
81,38.0
82,38.0
83,38.0
84,39.0
85,39.0
86,39.0
87,39.0
88,39.0
89,39.0
90,39.0
91,39.0
92,39.0
93,39.0
94,39.0
95,38.0
96,38.0
97,38.0
98,38.0
99,38.0
100,38.0
101,38.0
102,37.0
103,37.0
104,37.0
105,37.0
106,37.0
107,37.0
108,36.0
109,36.0
110,35.0
111,35.0
112,34.0
113,33.0
114,33.0
115,32.0
116,31.0
117,30.0
118,28.999999999999996
119,28.000000000000004
120,27.0
121,26.0
122,26.0
123,25.0
124,24.0
125,23.0
126,23.0
127,22.0
128,21.0
129,20.0
130,19.0
131,18.0
132,17.0
133,17.0
134,16.0
135,16.0
136,15.0
137,14.000000000000002
138,14.000000000000002
139,14.000000000000002
140,14.000000000000002
141,13.0
142,13.0
143,13.0
144,12.0
145,11.0
146,10.0
147,10.0
148,9.0
149,10.0
150,10.0
151,10.0
152,10.0
153,10.0
154,10.0
155,10.0
156,10.0
157,11.0
158,11.0
159,11.0
160,11.0
161,12.0
162,12.0
163,11.0
164,10.0
165,11.0
166,11.0
167,10.0
168,10.0
169,10.0
170,11.0
171,11.0
172,11.0
173,11.0
174,11.0
175,11.0
176,12.0
177,12.0
178,11.0
179,11.0
180,10.0
181,9.0
182,10.0
183,10.0
184,9.0
185,9.0
186,9.0
187,9.0
188,9.0
189,9.0
190,9.0
191,9.0
192,9.0
193,9.0
194,9.0
195,9.0
196,9.0
197,9.0
198,10.0
199,10.0
200,11.0
201,12.0
202,13.0
203,14.000000000000002
204,15.0
205,16.0
206,17.0
207,18.0
208,19.0
209,19.0
210,20.0
211,20.0
212,21.0
213,22.0
214,22.0
215,23.0
216,24.0
217,25.0
218,26.0
219,27.0
220,28.000000000000004
221,28.999999999999996
222,30.0
223,31.0
224,32.0
225,33.0
226,34.0
227,35.0
228,36.0
229,37.0
230,38.0
231,39.0
232,40.0
233,41.0
234,42.0
235,43.0
236,44.0
237,45.0
238,46.0
239,47.0
240,48.0
241,49.0
242,50.0
243,51.0
244,52.0
245,53.0
246,54.0
247,55.00000000000001
248,56.00000000000001
249,56.00000000000001
250,56.99999999999999
251,57.99999999999999
252,59.0
253,60.0
254,61.0
255,62.0
256,62.0
257,62.0
258,63.0
259,63.0
260,64.0
261,63.0
262,64.0
263,65.0
264,66.0
265,66.0
266,67.0
267,68.0
268,69.0
269,70.0
270,70.0
271,71.0
272,72.0
273,73.0
274,74.0
275,75.0
276,75.0
277,76.0
278,77.0
279,78.0
280,79.0
281,80.0
282,80.0
283,81.0
284,82.0
285,83.0
286,84.0
287,85.0
288,86.0
289,87.0
290,88.0
291,89.0
292,90.0
293,91.0
294,92.0
295,93.0
296,94.0
297,95.0
298,95.0
299,96.0
300,96.0
301,96.0
302,96.0
303,96.0
304,96.0
305,96.0
306,96.0
307,96.0
308,96.0
309,96.0
310,96.0
311,96.0
312,96.0
313,96.0
314,97.0
315,97.0
316,97.0
317,97.0
318,97.0
319,97.0
320,97.0
321,97.0
322,97.0
323,97.0
324,97.0
325,97.0
326,97.0
327,97.0
328,97.0
329,97.0
330,97.0
331,97.0
332,97.0
333,97.0
334,97.0
335,97.0
336,97.0
337,97.0
338,97.0
339,97.0
340,97.0
341,97.0
342,97.0
343,97.0
344,97.0
345,97.0
346,97.0
347,97.0
348,97.0
349,97.0
350,97.0
351,97.0
352,97.0
353,97.0
354,97.0
355,97.0
356,98.0
357,98.0
358,98.0
359,99.0
360,99.0
361,100.0
362,100.0
363,100.0
364,100.0
365,100.0
366,100.0
367,100.0
368,100.0
369,100.0
370,100.0
371,100.0
372,100.0
373,100.0
374,100.0
375,100.0
376,100.0
377,100.0
378,100.0
379,100.0
380,100.0
381,100.0
382,100.0
383,100.0
384,100.0
385,100.0
386,100.0
387,100.0
388,100.0
389,100.0
390,100.0
391,100.0
392,100.0
393,100.0
394,100.0
395,100.0
396,100.0
397,100.0
398,100.0
399,100.0
400,100.0
401,100.0
402,100.0
403,99.0
404,99.0
405,99.0
406,99.0
407,99.0
408,99.0
409,99.0
410,99.0
411,99.0
412,99.0
413,99.0
414,99.0
415,99.0
416,99.0
417,99.0
418,99.0
419,99.0
420,99.0
421,99.0
422,99.0
423,98.0
424,98.0
425,98.0
426,98.0
427,98.0
428,98.0
429,98.0
430,98.0
431,98.0
432,98.0
433,98.0
434,98.0
435,98.0
436,98.0
437,98.0
438,98.0
439,98.0
440,98.0
441,98.0
442,98.0
443,98.0
444,98.0
445,98.0
446,98.0
447,98.0
448,98.0
449,98.0
450,98.0
451,98.0
452,98.0
453,98.0
454,98.0
455,98.0
456,98.0
457,98.0
458,98.0
459,98.0
460,98.0
461,98.0
462,98.0
463,98.0
464,98.0
465,98.0
466,98.0
467,98.0
468,98.0
469,98.0
470,98.0
471,98.0
472,98.0
473,98.0
474,98.0
475,98.0
476,98.0
477,98.0
478,98.0
479,98.0
480,98.0
481,98.0
482,98.0
483,98.0
484,98.0
485,98.0
486,98.0
487,98.0
488,97.0
489,97.0
490,97.0
491,97.0
492,97.0
493,97.0
494,97.0
495,97.0
496,97.0
497,97.0
498,97.0
499,97.0
500,97.0
501,97.0
502,97.0
503,98.0
504,98.0
505,98.0
506,98.0
507,98.0
508,98.0
509,98.0
510,98.0
511,98.0
512,98.0
513,98.0
514,98.0
515,98.0
516,98.0
517,98.0
518,98.0
519,98.0
520,98.0
521,98.0
522,98.0
523,99.0
524,99.0
525,99.0
526,99.0
527,99.0
528,99.0
529,99.0
530,99.0
531,99.0
532,99.0
533,99.0
534,99.0
535,98.0
536,98.0
537,98.0
538,98.0
539,98.0
540,98.0
541,98.0
542,98.0
543,98.0
544,98.0
545,98.0
546,97.0
547,97.0
548,97.0
549,96.0
550,96.0
551,96.0
552,96.0
553,96.0
554,96.0
555,96.0
556,96.0
557,96.0
558,96.0
559,96.0
560,96.0
561,96.0
562,96.0
563,96.0
564,96.0
565,96.0
566,96.0
567,96.0
568,96.0
569,96.0
570,96.0
571,96.0
572,96.0
573,96.0
574,96.0
575,96.0
576,96.0
577,96.0
578,96.0
579,96.0
580,96.0
581,96.0
582,96.0
583,96.0
584,96.0
585,96.0
586,96.0
587,96.0
588,97.0
589,97.0
590,97.0
591,97.0
592,97.0
593,97.0
594,97.0
595,97.0
596,97.0
597,97.0
598,97.0
599,97.0
600,97.0
601,97.0
602,97.0
603,97.0
604,97.0
605,97.0
606,97.0
607,97.0
608,97.0
609,97.0
610,97.0
611,97.0
612,97.0
613,97.0
614,97.0
615,97.0
616,97.0
617,97.0
618,97.0
619,97.0
620,97.0
621,97.0
622,97.0
623,97.0
624,97.0
625,97.0
626,97.0
627,97.0
628,97.0
629,97.0
630,97.0
631,97.0
632,97.0
633,97.0
634,97.0
635,98.0
636,98.0
637,98.0
638,98.0
639,98.0
640,98.0
641,98.0
642,98.0
643,98.0
644,98.0
645,98.0
646,99.0
647,99.0
648,99.0
649,100.0
650,100.0
651,100.0
652,100.0
653,100.0
654,100.0
655,100.0
656,100.0
657,100.0
658,100.0
659,100.0
660,100.0
661,100.0
662,100.0
663,100.0
664,100.0
665,100.0
666,100.0
667,100.0
668,100.0
669,100.0
670,100.0
671,100.0
672,100.0
673,100.0
674,100.0
675,100.0
676,100.0
677,100.0
678,100.0
679,100.0
680,100.0
681,100.0
682,100.0
683,100.0
684,100.0
685,100.0
686,100.0
687,100.0
688,100.0
689,100.0
690,99.0
691,99.0
692,99.0
693,99.0
694,99.0
695,99.0
696,99.0
697,99.0
698,99.0
699,99.0
700,99.0
701,98.0
702,98.0
703,98.0
704,97.0
705,97.0
706,97.0
707,97.0
708,97.0
709,97.0
710,97.0
711,97.0
712,97.0
713,97.0
714,97.0
715,97.0
716,97.0
717,97.0
718,97.0
719,97.0
720,97.0
721,97.0
722,97.0
723,97.0
724,97.0
725,97.0
726,97.0
727,97.0
728,97.0
729,97.0
730,97.0
731,97.0
732,97.0
733,97.0
734,97.0
735,97.0
736,97.0
737,97.0
738,97.0
739,97.0
740,97.0
741,97.0
742,97.0
743,97.0
744,97.0
745,97.0
746,97.0
747,97.0
748,97.0
749,97.0
750,97.0
751,97.0
752,97.0
753,97.0
754,97.0
755,97.0
756,97.0
757,97.0
758,97.0
759,97.0
760,97.0
761,97.0
762,97.0
763,97.0
764,97.0
765,97.0
766,97.0
767,97.0
768,97.0
769,97.0
770,97.0
771,97.0
772,97.0
773,97.0
774,97.0
775,97.0
776,97.0
777,97.0
778,97.0
779,97.0
780,97.0
781,97.0
782,97.0
783,97.0
784,97.0
785,97.0
786,97.0
787,97.0
788,97.0
789,97.0
790,98.0
791,98.0
792,98.0
793,98.0
794,98.0
795,98.0
796,98.0
797,98.0
798,98.0
799,98.0
800,98.0
801,99.0
802,99.0
803,99.0
804,100.0
805,100.0
806,100.0
807,100.0
808,100.0
809,100.0
810,100.0
811,100.0
812,100.0
813,100.0
814,100.0
815,100.0
816,100.0
817,100.0
818,100.0
819,100.0
820,100.0
821,100.0
822,100.0
823,100.0
824,100.0
825,100.0
826,100.0
827,100.0
828,100.0
829,100.0
830,100.0
831,100.0
832,100.0
833,100.0
834,100.0
835,100.0
836,100.0
837,100.0
838,100.0
839,100.0
840,100.0
841,100.0
842,100.0
843,100.0
844,100.0
845,100.0
846,100.0
847,100.0
848,100.0
849,100.0
850,100.0
851,100.0
852,100.0
853,100.0
854,100.0
855,100.0
856,100.0
857,100.0
858,100.0
859,100.0
860,100.0
861,100.0
862,100.0
863,100.0
864,100.0
865,100.0
866,100.0
867,100.0
868,100.0
869,100.0
870,100.0
871,100.0
872,100.0
873,100.0
874,100.0
875,100.0
876,100.0
877,100.0
878,100.0
879,100.0
880,100.0
881,100.0
882,100.0
883,100.0
884,100.0
885,100.0
886,100.0
887,100.0
888,100.0
889,100.0
