Position in alignment,PP711921 - NC_003987,PP711921 - OQ818329,NC_003987 - OQ818329
20,32,57,7
40,3,96,0
60,4,96,0
80,0,100,0
100,0,100,0
120,0,100,0
140,1,99,0
160,0,100,0
180,0,100,0
200,0,100,0
220,0,100,0
240,0,100,0
260,0,100,0
280,0,100,0
300,0,98,2
320,0,100,0
340,0,100,0
360,0,100,0
380,0,100,0
400,0,100,0
420,0,100,0
440,0,100,0
460,0,100,0
480,0,100,0
500,0,100,0
520,4,95,1
540,27,59,13
560,28,60,10
580,11,80,9
600,4,80,11
620,4,53,28
640,2,7,5
660,0,0,0
680,0,0,0
700,0,0,0
720,16,12,41
740,9,11,63
760,10,28,48
780,11,24,36
800,36,16,47
820,38,9,50
840,50,2,47
860,57,21,22
880,58,26,16
900,45,51,2
920,56,39,4
940,57,42,1
960,18,72,0
980,15,82,0
1000,3,96,1
1020,0,100,0
1040,1,98,0
1060,0,100,0
1080,0,99,1
1100,2,94,4
1120,5,95,0
1140,0,94,5
1160,0,95,5
1180,1,94,5
1200,1,94,3
1220,8,85,1
1240,2,93,2
1260,1,98,0
1280,2,97,0
1300,0,100,0
1320,0,99,0
1340,0,100,0
1360,1,97,1
1380,1,98,1
1400,0,100,0
1420,0,93,7
1440,0,87,13
1460,0,84,16
1480,0,77,23
1500,0,63,37
1520,4,52,44
1540,8,55,37
1560,22,43,34
1580,26,40,33
1600,61,19,17
1620,87,4,2
1640,65,25,4
1660,73,18,3
1680,54,25,16
1700,36,13,39
1720,23,45,24
1740,20,60,13
1760,13,76,4
1780,4,80,9
1800,3,74,16
1820,2,78,15
1840,3,56,33
1860,0,64,30
1880,1,74,24
1900,1,88,11
1920,1,71,28
1940,2,73,24
1960,1,83,16
1980,0,93,7
2000,0,93,7
2020,0,92,8
2040,0,99,1
2060,0,100,0
2080,0,100,0
2100,0,100,0
2120,0,100,0
2140,0,100,0
2160,0,98,2
2180,0,100,0
2200,1,99,0
2220,2,98,0
2240,0,99,1
2260,0,99,0
2280,1,97,2
2300,0,100,0
2320,0,100,0
2340,0,100,0
2360,0,100,0
2380,0,100,0
2400,0,100,0
2420,0,100,0
2440,0,100,0
2460,0,100,0
2480,0,100,0
2500,0,99,1
2520,0,100,0
2540,0,100,0
2560,0,98,2
2580,0,100,0
2600,3,96,1
2620,0,99,1
2640,2,96,2
2660,2,90,8
2680,3,84,13
2700,0,91,9
2720,1,90,9
2740,0,99,1
2760,1,98,1
2780,4,84,12
2800,2,92,6
2820,1,98,1
2840,2,98,0
2860,0,100,0
2880,0,100,0
2900,6,94,0
2920,1,99,0
2940,4,96,0
2960,2,98,0
2980,0,100,0
3000,0,100,0
3020,0,100,0
3040,0,99,1
3060,1,98,1
3080,0,100,0
3100,0,100,0
3120,0,100,0
3140,0,100,0
3160,0,100,0
3180,0,100,0
3200,0,100,0
3220,1,99,0
3240,1,99,0
3260,1,96,2
3280,7,92,1
3300,8,80,12
3320,1,78,20
3340,8,69,23
3360,9,47,41
3380,19,24,54
3400,7,26,67
3420,0,24,76
3440,0,31,68
3460,1,43,49
3480,2,69,25
3500,4,75,21
3520,1,83,15
3540,0,76,23
3560,0,83,17
3580,1,72,27
3600,5,86,9
3620,6,93,1
3640,10,90,0
3660,6,93,1
3680,18,82,0
3700,14,85,1
3720,7,90,3
3740,3,94,3
3760,0,98,0
3780,1,98,1
3800,0,100,0
3820,8,89,3
3840,9,82,9
3860,1,99,0
3880,0,65,35
3900,2,74,23
3920,2,96,2
3940,10,74,14
3960,9,68,21
3980,20,32,47
4000,16,35,48
4020,0,56,44
4040,8,49,41
4060,0,60,37
4080,0,81,19
4100,0,69,31
4120,0,15,85
4140,0,18,82
4160,0,19,81
4180,0,18,82
4200,0,9,89
4220,0,7,90
4240,0,11,89
4260,1,5,94
4280,0,1,99
4300,0,4,96
4320,8,13,79
4340,10,4,85
