Position in alignment,PP711911 - PP711943,PP711911 - OQ818321,PP711943 - OQ818321
20,47,0,53
40,48,2,49
60,57,2,40
80,52,2,45
100,72,7,21
120,30,9,61
140,21,0,79
160,22,0,78
180,11,0,87
200,8,0,92
220,5,1,93
240,5,0,95
260,3,1,96
280,1,1,98
300,0,1,99
320,4,0,95
340,0,0,100
360,1,0,99
380,0,1,98
400,0,0,99
420,0,1,99
440,0,2,98
460,0,0,100
480,0,0,100
500,0,0,100
520,0,0,100
540,0,0,100
560,0,0,100
580,0,0,100
600,0,0,100
620,0,0,100
640,0,0,100
660,0,0,100
680,0,0,100
700,0,0,100
720,0,0,100
740,0,0,100
760,0,0,100
780,0,0,100
800,0,0,100
820,0,0,100
840,0,0,100
860,0,0,100
880,0,0,100
900,0,0,100
920,1,0,99
940,14,1,85
960,35,0,65
980,21,0,72
1000,49,4,41
1020,68,8,19
1040,68,11,14
1060,60,19,14
1080,37,34,16
1100,28,51,13
1120,18,75,3
1140,0,58,37
1160,2,24,68
1180,0,22,69
1200,0,24,73
1220,0,12,84
1240,4,13,81
1260,3,5,92
1280,7,5,84
1300,3,3,90
1320,4,0,93
1340,18,3,73
1360,73,8,10
1380,74,11,9
1400,57,16,20
1420,75,9,8
1440,58,9,28
1460,81,5,7
1480,72,2,20
1500,65,1,27
1520,86,0,10
1540,67,0,27
1560,60,0,34
1580,41,0,51
1600,77,0,21
1620,68,3,24
1640,53,25,19
1660,13,35,43
1680,9,57,28
1700,6,33,53
1720,4,61,30
1740,3,82,9
1760,1,80,15
1780,1,75,20
1800,0,77,17
1820,2,52,39
1840,6,28,62
1860,16,45,29
1880,41,27,27
1900,37,49,14
1920,30,18,52
1940,9,25,66
1960,4,28,68
1980,30,31,39
2000,14,3,83
2020,2,21,77
2040,3,8,89
2060,1,1,98
2080,0,6,94
2100,0,10,87
2120,1,12,85
2140,1,12,84
2160,4,19,72
2180,0,44,50
2200,2,74,18
2220,6,57,32
2240,3,77,14
2260,6,58,28
2280,4,45,45
2300,6,28,55
2320,24,47,21
2340,32,37,22
2360,28,23,37
2380,77,7,12
2400,90,1,7
2420,88,2,9
2440,75,5,14
2460,83,12,1
2480,77,21,0
2500,79,18,0
2520,42,43,6
2540,41,42,8
2560,48,38,4
2580,21,34,33
2600,10,43,47
2620,11,38,38
2640,28,29,38
2660,18,6,70
2680,58,5,29
2700,62,2,35
2720,89,0,11
2740,76,0,22
2760,83,0,17
2780,74,0,26
2800,42,0,57
2820,63,2,35
2840,58,2,38
2860,32,18,49
2880,6,12,81
2900,1,6,92
2920,0,3,96
2940,0,2,95
2960,0,3,94
2980,0,14,84
3000,0,18,78
3020,0,4,93
3040,3,9,86
3060,2,1,96
3080,4,2,93
3100,4,2,90
3120,5,20,69
3140,33,12,42
3160,60,7,26
3180,19,3,75
3200,1,0,98
3220,0,0,100
3240,0,0,100
3260,7,0,89
3280,4,0,96
3300,1,1,96
3320,1,0,97
3340,0,0,100
3360,0,0,100
3380,0,0,100
3400,0,0,100
3420,0,0,100
3440,0,0,100
3460,0,0,100
3480,0,0,100
3500,0,0,100
3520,0,0,100
3540,0,0,100
3560,0,0,100
3580,0,1,99
3600,3,0,97
3620,0,1,99
3640,4,0,96
3660,4,0,96
3680,0,0,100
3700,0,0,100
3720,0,0,100
3740,0,0,100
3760,0,0,100
3780,0,0,100
3800,0,0,100
3820,0,0,100
3840,0,0,100
3860,0,0,100
3880,0,0,100
3900,0,1,99
3920,0,0,100
3940,0,0,100
3960,0,0,100
3980,0,0,100
4000,0,0,100
4020,0,0,100
4040,0,0,100
4060,0,0,100
4080,0,0,100
4100,0,0,100
4120,2,0,98
4140,1,1,98
4160,4,0,96
4180,5,0,95
4200,0,1,99
4220,0,0,100
4240,3,5,91
4260,1,7,91
4280,1,0,98
4300,0,0,100
4320,0,0,100
4340,0,0,100
4360,0,0,100
4380,0,0,100
4400,0,0,100
4420,0,0,100
4440,0,0,99
4460,0,0,100
4480,0,0,100
4500,6,0,94
4520,0,0,100
4540,0,0,99
4560,8,0,90
4580,3,0,96
4600,2,0,97
4620,0,0,100
4640,1,0,99
4660,2,0,98
4680,3,0,96
4700,5,0,93
4720,11,0,87
4740,1,0,96
4760,1,0,98
4780,2,0,98
4800,3,2,94
4820,4,0,95
4840,2,1,96
4860,1,7,91
4880,2,1,95
4900,1,6,92
4920,1,1,97
4940,2,1,96
4960,19,5,71
4980,3,4,92
5000,3,3,91
5020,1,0,99
5040,1,0,99
5060,0,0,100
5080,0,0,100
5100,0,0,100
5120,0,0,100
5140,0,0,100
5160,0,0,100
5180,0,0,100
5200,9,4,85
5220,37,12,47
5240,28,10,56
5260,19,14,58
5280,57,21,12
5300,75,7,15
5320,45,0,46
5340,31,0,68
5360,69,2,28
5380,27,0,73
5400,19,2,79
5420,4,0,96
5440,6,1,93
5460,8,1,91
5480,7,0,93
5500,11,1,88
5520,21,0,79
5540,14,0,85
5560,9,0,91
5580,9,6,85
5600,9,0,91
5620,10,1,84
5640,12,5,83
5660,17,4,77
5680,29,4,67
5700,59,8,32
5720,59,5,34
5740,80,4,15
5760,75,10,14
5780,84,3,13
5800,56,9,34
5820,85,4,10
5840,65,1,32
5860,14,0,84
5880,2,1,96
5900,0,0,100
5920,0,0,100
5940,0,0,100
5960,0,0,100
5980,0,0,100
6000,3,0,97
6020,0,0,99
6040,5,3,90
6060,22,15,56
6080,33,24,32
6100,65,24,5
6120,46,19,23
6140,72,8,13
6160,43,24,18
6180,62,17,11
6200,33,40,22
6220,49,31,12
6240,62,13,16
6260,49,16,29
6280,65,2,30
6300,58,4,32
6320,41,1,50
6340,20,1,76
6360,2,0,97
6380,0,0,100
6400,0,0,99
6420,1,0,99
6440,0,0,100
6460,0,0,100
6480,0,0,99
6500,0,0,100
6520,3,7,84
6540,5,11,75
6560,19,55,23
6580,5,66,21
6600,5,57,29
6620,9,65,20
6640,5,77,12
6660,2,90,6
6680,1,94,3
6700,0,93,4
6720,1,98,1
6740,9,83,5
6760,19,52,17
6780,11,73,12
6800,24,66,2
6820,46,50,1
6840,33,59,2
6860,65,33,1
6880,59,30,3
6900,58,13,18
6920,43,7,42
6940,13,21,64
6960,26,30,34
6980,7,26,59
7000,11,17,61
7020,20,9,63
7040,25,1,69
7060,16,15,65
7080,9,7,80
7100,27,11,56
7120,30,29,25
7140,45,23,26
7160,32,17,42
7180,39,18,32
7200,51,12,31
7220,47,12,33
7240,6,21,66
7260,11,12,66
7280,27,22,42
7300,3,20,72
7320,8,8,77
7340,9,7,76
7360,4,11,82
7380,15,4,71
7400,1,12,82
7420,2,4,91
7440,7,4,86
7460,4,0,96
7480,21,0,73
7500,28,0,68
7520,22,0,76
7540,16,3,79
7560,11,0,84
7580,59,0,32
7600,71,0,27
7620,85,0,9
7640,72,10,14
7660,61,23,10
7680,10,43,40
7700,13,28,54
7720,15,7,74
7740,7,2,89
7760,11,4,84
7780,0,1,98
7800,1,0,98
7820,0,0,100
7840,4,0,94
7860,7,0,88
7880,18,0,80
7900,21,0,77
7920,2,0,96
7940,7,2,90
7960,20,4,76
7980,38,21,41
8000,19,26,54
8020,19,54,27
8040,9,48,43
8060,6,23,71
8080,6,34,60
8100,2,39,58
8120,4,87,9
8140,11,75,14
8160,5,59,36
