Position in alignment,OQ818320 - PP711943,OQ818320 - NC_033820,PP711943 - NC_033820
20,60,0,0
40,50,0,0
60,99,0,0
80,100,0,0
100,100,0,0
120,100,0,0
140,97,0,3
160,97,0,3
180,97,0,3
200,100,0,0
220,92,0,2
240,81,5,6
260,0,60,22
280,0,81,13
300,0,70,22
320,0,99,0
340,0,97,0
360,0,99,0
380,0,98,0
400,0,99,0
420,0,86,6
440,0,41,27
460,0,0,66
480,0,64,20
500,0,76,11
520,0,84,9
540,0,45,40
560,0,69,22
580,0,67,25
600,0,50,39
620,0,74,19
640,0,66,24
660,0,55,35
680,0,22,69
700,0,15,78
720,0,30,61
740,1,61,24
760,1,47,42
780,0,52,44
800,0,82,16
820,0,77,18
840,0,80,15
860,1,90,7
880,0,100,0
900,0,100,0
920,0,100,0
940,0,98,2
960,0,100,0
980,0,100,0
1000,0,100,0
1020,0,100,0
1040,0,100,0
1060,0,100,0
1080,0,100,0
1100,0,100,0
1120,0,100,0
1140,0,100,0
1160,0,100,0
1180,0,100,0
1200,0,99,1
1220,0,100,0
1240,0,99,1
1260,0,98,1
1280,0,100,0
1300,0,100,0
1320,0,100,0
1340,0,98,2
1360,0,100,0
1380,0,100,0
1400,0,100,0
1420,0,100,0
1440,0,100,0
1460,0,99,1
1480,0,99,1
1500,0,99,1
1520,0,100,0
1540,0,99,1
1560,0,98,1
1580,0,86,9
1600,0,100,0
1620,0,97,2
1640,0,87,8
1660,0,99,0
1680,0,98,1
1700,0,100,0
1720,0,100,0
1740,0,98,1
1760,1,97,1
1780,0,99,1
1800,0,100,0
1820,0,100,0
1840,0,100,0
1860,0,100,0
1880,0,100,0
1900,0,100,0
1920,0,100,0
1940,0,100,0
1960,0,100,0
1980,0,100,0
2000,0,100,0
2020,0,100,0
2040,0,100,0
2060,0,100,0
2080,0,100,0
2100,0,100,0
2120,0,100,0
2140,0,100,0
2160,0,100,0
2180,0,100,0
2200,0,100,0
2220,0,100,0
2240,0,100,0
2260,0,100,0
2280,0,100,0
2300,0,100,0
2320,0,100,0
2340,0,100,0
2360,0,100,0
2380,0,100,0
2400,0,100,0
2420,0,100,0
2440,0,99,1
2460,0,100,0
2480,0,100,0
2500,0,100,0
2520,0,100,0
2540,0,100,0
2560,0,100,0
2580,0,100,0
2600,0,100,0
2620,0,100,0
2640,0,100,0
2660,0,100,0
2680,0,100,0
2700,0,100,0
2720,0,100,0
2740,0,100,0
2760,0,100,0
2780,0,100,0
2800,0,100,0
2820,0,100,0
2840,0,100,0
2860,0,100,0
2880,0,100,0
2900,0,100,0
2920,1,99,0
2940,1,99,0
2960,0,99,0
2980,2,96,0
3000,2,97,0
3020,0,100,0
3040,0,100,0
3060,0,97,1
3080,0,99,0
3100,1,98,1
3120,0,100,0
3140,0,100,0
3160,0,99,0
3180,0,100,0
3200,0,99,0
3220,0,97,2
3240,0,100,0
3260,2,96,0
3280,0,96,2
3300,1,89,8
3320,3,58,27
3340,6,55,32
3360,8,66,16
3380,10,37,41
3400,9,22,55
3420,29,3,58
3440,16,5,67
3460,5,14,74
3480,14,8,66
3500,12,3,82
3520,22,9,52
