pointer,NC_034971.1 - Rhinolophus_kobuvirus,NC_034971.1 - OQ818322,Rhinolophus_kobuvirus - OQ818322
20,99,1,0
40,92,7,1
60,76,19,5
80,72,21,5
100,70,24,4
120,93,6,0
140,94,3,2
160,86,7,5
180,77,1,18
200,78,0,14
220,85,0,12
240,96,0,4
260,92,0,7
280,93,0,5
300,85,0,13
320,76,0,20
340,54,0,39
360,82,0,14
380,94,0,4
400,91,0,4
420,99,0,1
440,96,0,3
460,100,0,0
480,97,2,0
500,88,1,7
520,90,7,1
540,78,22,0
560,76,15,6
580,37,23,32
600,24,9,60
620,15,17,65
640,7,15,76
660,5,6,86
680,32,10,51
700,26,15,52
720,6,6,81
740,6,18,76
760,27,16,51
780,57,29,12
800,45,16,34
820,53,9,31
840,56,4,32
860,23,1,73
880,4,0,95
900,12,0,85
920,13,0,78
940,17,0,81
960,11,0,87
980,1,0,99
1000,13,0,85
1020,2,0,96
1040,1,1,97
1060,4,0,94
1080,4,0,95
1100,2,0,98
1120,1,0,98
1140,3,0,97
1160,6,0,92
1180,12,0,82
1200,21,0,74
1220,25,0,70
1240,18,0,81
1260,13,6,81
1280,59,4,37
1300,72,1,26
1320,63,15,21
1340,74,13,13
1360,43,18,38
1380,59,32,9
1400,32,48,19
1420,69,30,1
1440,88,12,0
1460,99,0,1
1480,97,0,3
1500,92,0,8
1520,96,0,4
1540,92,0,7
1560,94,0,3
1580,86,0,8
1600,85,0,10
1620,69,1,26
1640,37,3,59
1660,51,0,41
1680,57,11,28
1700,56,19,24
1720,59,13,21
1740,41,25,29
1760,38,11,44
1780,55,2,37
1800,75,1,19
1820,83,0,10
1840,93,0,5
1860,89,0,5
1880,80,0,15
1900,76,0,19
1920,82,0,14
1940,59,0,33
1960,54,0,36
1980,45,0,48
2000,51,0,42
2020,28,0,65
2040,25,0,68
2060,12,0,85
2080,10,0,85
2100,6,0,92
2120,10,0,86
2140,21,0,68
2160,38,0,60
2180,23,0,72
2200,36,0,54
2220,46,0,42
2240,79,0,16
2260,100,0,0
2280,100,0,0
2300,100,0,0
2320,100,0,0
2340,100,0,0
2360,100,0,0
2380,100,0,0
2400,100,0,0
2420,100,0,0
2440,100,0,0
2460,100,0,0
2480,100,0,0
2500,100,0,0
2520,99,1,0
2540,99,1,0
2560,100,0,0
2580,100,0,0
2600,100,0,0
2620,100,0,0
2640,100,0,0
2660,100,0,0
2680,98,0,1
2700,99,0,0
2720,100,0,0
2740,100,0,0
2760,100,0,0
2780,100,0,0
2800,100,0,0
2820,100,0,0
2840,97,1,1
2860,100,0,0
