Position in alignment,PP711909 - PP711912,PP711909 - PV788825,PP711912 - PV788825
20,0,0,0
40,0,0,0
60,0,0,0
80,0,29,0
100,0,96,0
120,8,92,0
140,44,54,1
160,87,13,0
180,87,13,0
200,92,8,0
220,73,27,0
240,70,30,0
260,89,11,0
280,100,0,0
300,100,0,0
320,100,0,0
340,100,0,0
360,94,5,1
380,99,1,0
400,94,4,2
420,98,2,0
440,100,0,0
460,96,4,0
480,93,7,0
500,58,38,0
520,29,68,2
540,34,64,0
560,61,37,1
580,76,22,1
600,94,6,0
620,94,5,0
640,70,28,0
660,87,13,0
680,80,20,0
700,85,14,0
720,98,2,0
740,99,1,0
760,100,0,0
780,100,0,0
800,92,0,6
820,93,0,2
840,93,0,5
860,98,0,2
880,99,0,1
900,100,0,0
920,99,0,1
940,99,0,0
960,89,5,3
980,92,3,4
1000,100,0,0
1020,83,3,12
1040,55,21,17
1060,16,9,74
1080,3,2,94
1100,2,1,91
1120,2,4,92
1140,1,2,95
1160,1,0,97
1180,3,1,94
1200,0,0,100
1220,2,5,90
1240,14,0,85
1260,20,0,75
1280,31,1,59
1300,43,0,51
1320,51,0,44
1340,67,0,29
1360,61,0,35
1380,63,0,31
1400,65,1,25
1420,65,5,28
1440,73,5,17
1460,38,0,55
1480,44,0,52
1500,56,0,41
1520,27,0,72
1540,13,0,84
1560,15,0,83
1580,18,0,79
1600,22,0,74
1620,40,0,56
1640,23,0,74
1660,32,0,61
1680,68,0,29
1700,67,0,30
1720,93,0,5
1740,97,0,3
1760,95,0,4
1780,93,1,3
1800,96,0,1
1820,96,1,0
1840,100,0,0
1860,99,0,0
1880,99,1,0
1900,84,8,3
1920,72,20,3
1940,85,9,2
1960,99,0,0
1980,94,4,0
2000,86,11,0
2020,96,3,0
2040,86,13,0
2060,92,4,0
2080,94,2,2
2100,98,1,0
2120,93,2,1
2140,82,7,3
2160,88,1,11
2180,92,0,3
2200,77,2,13
2220,63,0,28
2240,91,0,7
2260,89,0,9
2280,90,1,8
2300,68,3,20
2320,75,4,10
2340,77,5,9
2360,84,1,11
2380,73,1,16
2400,98,0,1
2420,84,0,15
2440,78,3,16
2460,71,0,23
2480,92,0,6
2500,92,0,6
2520,96,1,2
2540,92,0,7
2560,96,0,2
2580,93,1,4
2600,87,0,10
2620,90,2,3
2640,93,1,3
2660,83,2,11
2680,78,6,14
2700,81,9,7
2720,82,4,10
2740,72,5,17
2760,45,23,27
2780,49,34,11
2800,62,21,9
2820,69,16,7
2840,54,31,9
2860,79,14,0
2880,85,7,4
2900,75,9,12
2920,72,7,12
2940,72,16,4
2960,88,7,3
2980,80,6,11
3000,42,8,44
3020,33,2,62
3040,64,0,31
3060,81,3,12
3080,88,6,6
3100,91,0,7
3120,97,0,2
3140,95,1,3
3160,97,0,3
3180,99,0,0
3200,100,0,0
3220,99,1,0
3240,95,5,0
3260,98,1,1
3280,92,1,4
3300,92,2,5
3320,90,1,4
3340,94,0,4
3360,95,0,5
3380,77,0,21
3400,74,1,22
3420,88,0,8
3440,76,0,19
3460,43,0,51
3480,49,1,42
3500,73,0,27
3520,59,0,41
3540,50,0,50
3560,40,7,53
3580,42,50,7
3600,32,33,35
3620,11,43,46
3640,21,47,32
3660,37,50,12
3680,17,81,2
3700,22,73,4
3720,45,52,3
3740,63,29,0
3760,85,13,0
3780,90,7,0
3800,88,12,0
3820,95,3,0
3840,89,11,0
3860,76,20,0
3880,92,5,1
3900,87,9,0
3920,73,23,0
3940,48,34,6
3960,69,13,17
3980,36,1,44
4000,0,0,0
4020,0,0,0
4040,83,0,0
4060,57,26,0
4080,97,3,0
4100,96,1,0
4120,80,16,0
4140,88,5,0
4160,93,6,0
4180,89,8,0
4200,72,21,0
4220,72,21,1
4240,59,25,9
4260,50,28,10
4280,16,59,17
4300,31,55,4
4320,59,39,0
4340,97,3,0
4360,93,5,0
4380,86,8,1
4400,91,5,2
4420,98,2,0
4440,98,1,1
4460,99,0,0
4480,100,0,0
4500,100,0,0
4520,97,0,1
4540,93,2,0
4560,87,9,0
4580,88,10,0
4600,92,6,0
4620,81,14,0
4640,75,20,1
4660,30,63,0
4680,16,80,0
4700,54,40,0
4720,67,31,0
4740,47,46,0
4760,62,20,9
4780,55,41,0
4800,63,31,1
4820,54,42,0
4840,69,27,0
4860,86,4,0
4880,88,9,0
4900,52,16,23
4920,62,15,21
4940,45,41,8
4960,35,63,0
4980,35,58,4
5000,35,38,19
5020,16,33,38
5040,8,37,48
5060,12,54,30
5080,22,27,38
5100,52,24,17
5120,33,46,16
5140,57,13,21
5160,53,5,36
5180,50,1,41
5200,57,9,30
5220,65,0,29
5240,77,0,17
5260,64,1,24
5280,67,1,28
5300,71,1,23
5320,79,3,13
5340,81,12,5
5360,63,22,6
5380,73,16,5
5400,50,32,9
5420,35,53,5
5440,51,35,5
5460,50,39,3
5480,50,39,7
5500,16,62,11
5520,13,76,7
5540,11,84,3
5560,24,64,2
5580,42,50,1
5600,67,26,0
5620,56,28,5
5640,24,58,6
5660,23,64,6
5680,33,60,1
5700,88,8,0
5720,95,5,0
5740,99,1,0
5760,91,8,0
5780,96,4,0
5800,89,9,0
5820,86,10,1
5840,95,5,0
5860,93,5,0
5880,92,5,0
5900,73,15,6
5920,88,6,2
5940,91,3,1
5960,85,0,13
5980,67,1,27
6000,79,0,16
6020,99,0,0
6040,90,0,7
6060,90,0,7
6080,80,0,16
6100,86,0,9
6120,73,0,25
6140,76,0,19
6160,73,1,18
6180,71,0,23
6200,55,8,29
6220,33,21,37
6240,41,14,31
6260,65,3,24
6280,68,1,30
6300,87,3,9
6320,78,7,11
6340,91,3,5
6360,95,5,0
6380,97,2,1
6400,95,2,0
6420,93,3,1
6440,80,16,1
6460,56,39,0
6480,63,29,0
6500,44,44,0
6520,50,47,0
6540,43,52,1
6560,65,29,1
6580,85,9,2
6600,97,1,0
6620,97,2,0
6640,100,0,0
6660,98,1,1
6680,90,1,7
6700,97,0,1
6720,100,0,0
6740,100,0,0
6760,93,4,2
6780,93,5,0
6800,75,20,2
