Position in alignment,OQ818328 - PP711909,OQ818328 - PP766469,PP711909 - PP766469
20,0,69,18
40,1,67,19
60,0,67,26
80,0,36,51
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,50,0,0
200,82,0,0
220,83,0,10
240,61,4,34
260,75,0,25
280,42,0,58
300,52,1,47
320,28,2,70
340,41,1,58
360,12,0,87
380,0,0,100
400,0,1,99
420,1,2,97
440,10,1,89
460,3,0,97
480,8,0,92
500,5,0,95
520,9,0,90
540,11,0,89
560,17,0,83
580,36,0,64
600,43,0,56
620,45,0,53
640,54,0,45
660,58,0,39
680,70,0,27
700,82,0,17
720,92,0,8
740,73,1,24
760,89,0,9
780,96,2,1
800,99,1,0
820,95,0,0
840,90,6,1
860,93,4,1
880,90,7,2
900,91,4,2
920,71,23,3
940,68,24,4
960,17,71,6
980,14,59,18
1000,3,84,9
1020,3,87,7
1040,8,66,21
1060,1,91,5
1080,2,91,4
1100,0,98,1
1120,0,87,11
1140,2,81,11
1160,2,71,24
1180,0,84,14
1200,3,75,18
1220,3,61,28
1240,0,89,8
1260,3,70,19
1280,7,55,35
1300,1,48,41
1320,13,61,20
1340,17,63,10
1360,13,78,3
1380,22,61,7
1400,31,58,4
1420,44,42,8
1440,54,38,2
1460,86,10,3
1480,79,17,0
1500,49,43,0
1520,15,79,0
1540,3,95,0
1560,1,98,0
1580,0,99,0
1600,0,100,0
1620,0,100,0
1640,0,100,0
1660,0,100,0
1680,0,100,0
1700,0,100,0
1720,0,100,0
1740,0,99,0
1760,1,99,0
1780,1,94,0
1800,19,72,2
1820,48,34,9
1840,46,35,7
1860,36,49,7
1880,55,33,5
1900,12,74,7
1920,31,44,17
1940,21,64,5
1960,62,16,16
1980,8,56,30
2000,48,30,13
2020,18,62,14
2040,32,39,18
2060,38,18,32
2080,46,33,14
2100,67,20,3
2120,74,13,3
2140,62,33,3
2160,13,78,4
2180,15,78,2
2200,11,81,2
2220,10,84,5
2240,10,87,0
2260,5,90,0
2280,14,80,2
2300,24,62,8
2320,6,88,2
2340,10,74,12
2360,68,21,5
2380,75,4,16
2400,77,17,2
2420,65,25,1
2440,48,40,8
2460,27,68,0
2480,7,86,2
2500,1,95,3
2520,8,84,3
2540,18,76,1
2560,1,81,13
2580,1,89,5
2600,2,83,13
2620,6,74,15
2640,1,96,2
2660,12,73,13
2680,24,64,9
2700,25,62,4
2720,4,79,8
2740,9,82,6
2760,2,96,1
