Position in alignment,PP766469 - PP745912,PP766469 - OQ818325,PP745912 - OQ818325
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,8,24,40
200,9,30,41
220,17,24,43
240,1,82,15
260,4,52,40
280,5,45,47
300,6,63,31
320,10,61,28
340,8,75,17
360,4,85,11
380,0,62,34
400,0,83,15
420,0,81,18
440,0,45,29
460,0,41,40
480,0,54,34
500,0,78,16
520,0,81,15
540,19,63,13
560,25,72,2
580,69,31,0
600,73,27,0
620,66,33,0
640,70,29,0
660,38,62,0
680,74,26,0
700,99,1,0
720,88,11,0
740,52,48,0
760,32,63,3
780,0,85,15
800,0,76,24
820,0,64,36
840,0,80,20
860,1,67,32
880,0,86,14
900,0,97,3
920,0,98,2
940,0,87,13
960,0,94,6
980,0,96,4
1000,0,100,0
1020,0,100,0
1040,0,100,0
1060,0,100,0
1080,0,100,0
1100,0,100,0
1120,0,100,0
1140,0,100,0
1160,0,100,0
1180,0,100,0
1200,1,91,8
1220,2,93,5
1240,1,99,0
1260,0,98,1
1280,0,97,2
1300,0,100,0
1320,0,100,0
1340,0,100,0
1360,0,100,0
1380,0,100,0
1400,0,100,0
1420,0,100,0
1440,0,100,0
1460,0,100,0
1480,0,100,0
1500,0,100,0
1520,0,100,0
1540,0,100,0
1560,0,100,0
1580,0,100,0
1600,0,100,0
1620,0,100,0
1640,0,100,0
1660,0,100,0
1680,0,100,0
1700,0,100,0
1720,0,99,1
1740,0,94,4
1760,0,95,3
1780,0,84,12
1800,0,81,18
1820,0,83,17
1840,0,87,13
1860,0,96,4
1880,0,78,22
1900,0,92,8
1920,2,90,7
1940,1,92,7
1960,0,93,7
1980,3,96,0
2000,45,53,1
2020,8,90,2
2040,0,100,0
2060,0,100,0
2080,0,100,0
2100,0,100,0
2120,0,100,0
2140,0,100,0
2160,0,100,0
2180,0,100,0
2200,0,100,0
2220,0,100,0
2240,0,100,0
2260,0,100,0
2280,0,100,0
2300,0,100,0
2320,0,100,0
2340,0,100,0
2360,0,99,1
2380,0,100,0
2400,0,100,0
2420,0,100,0
2440,0,100,0
2460,0,100,0
2480,0,100,0
2500,0,100,0
2520,0,100,0
2540,0,100,0
2560,0,100,0
2580,0,100,0
2600,0,100,0
2620,0,100,0
2640,0,100,0
2660,0,100,0
2680,0,100,0
2700,0,100,0
2720,0,100,0
2740,0,100,0
2760,0,100,0
2780,0,100,0
2800,0,100,0
2820,0,100,0
2840,0,100,0
2860,0,100,0
2880,0,100,0
2900,0,100,0
2920,0,100,0
2940,0,100,0
2960,0,100,0
2980,0,100,0
3000,0,100,0
3020,0,100,0
3040,0,100,0
3060,0,100,0
3080,0,100,0
3100,0,100,0
3120,0,100,0
3140,0,100,0
3160,0,100,0
3180,0,100,0
3200,0,100,0
3220,0,100,0
3240,0,100,0
3260,0,100,0
3280,0,100,0
3300,0,100,0
3320,0,100,0
3340,0,100,0
3360,0,100,0
3380,0,100,0
3400,0,100,0
3420,0,100,0
3440,0,100,0
3460,0,100,0
3480,0,100,0
3500,0,100,0
3520,0,100,0
3540,0,96,0
3560,0,98,0
3580,0,92,0
3600,0,97,0
3620,0,93,0
3640,0,96,0
3660,0,83,0
3680,0,78,0
3700,0,75,1
3720,0,99,0
3740,0,100,0
3760,0,100,0
3780,0,99,1
3800,0,100,0
3820,0,100,0
3840,0,100,0
3860,0,100,0
3880,0,98,0
3900,0,99,0
3920,0,100,0
3940,0,99,0
3960,0,100,0
3980,0,100,0
4000,0,98,0
4020,0,100,0
4040,0,100,0
4060,2,98,0
4080,0,100,0
4100,0,98,0
4120,0,93,0
4140,0,91,0
4160,0,96,0
4180,0,95,0
4200,0,98,0
4220,0,99,0
4240,0,100,0
4260,0,100,0
4280,0,100,0
4300,0,100,0
4320,0,100,0
4340,0,100,0
4360,0,100,0
4380,0,100,0
4400,0,100,0
4420,0,99,1
4440,0,100,0
4460,0,100,0
4480,0,100,0
4500,0,97,3
4520,0,97,3
4540,0,100,0
4560,0,100,0
4580,0,100,0
4600,0,100,0
4620,0,100,0
4640,0,100,0
4660,0,100,0
4680,0,100,0
4700,0,100,0
4720,0,100,0
4740,0,100,0
4760,0,100,0
4780,0,100,0
4800,0,100,0
4820,0,100,0
4840,0,100,0
4860,0,100,0
4880,0,96,3
4900,0,97,1
4920,0,89,7
4940,0,99,0
4960,0,99,0
4980,0,100,0
5000,0,100,0
5020,0,99,0
5040,0,99,0
5060,0,100,0
5080,0,100,0
5100,0,100,0
5120,0,100,0
5140,0,100,0
5160,2,95,0
5180,1,99,0
5200,0,100,0
5220,0,100,0
5240,0,99,0
5260,2,95,2
5280,0,95,4
5300,0,87,11
5320,0,78,20
5340,1,56,35
5360,0,32,60
5380,0,13,80
5400,0,30,63
5420,0,58,39
5440,0,86,12
5460,0,97,1
5480,0,94,4
5500,0,99,1
5520,0,98,0
5540,0,99,1
5560,0,99,1
5580,0,99,1
5600,0,100,0
5620,0,100,0
5640,0,100,0
5660,0,100,0
5680,0,100,0
5700,0,100,0
5720,0,100,0
5740,0,100,0
5760,1,99,0
5780,0,99,0
5800,1,97,2
5820,20,77,2
5840,5,95,0
5860,5,92,1
5880,3,85,12
5900,2,75,23
5920,1,77,21
5940,11,61,26
5960,13,66,21
5980,9,82,9
6000,2,93,5
6020,5,92,3
6040,2,58,34
6060,11,61,25
6080,15,67,15
6100,6,84,5
6120,0,94,2
6140,0,96,4
6160,0,99,0
6180,0,100,0
6200,0,96,3
6220,0,100,0
6240,0,99,1
6260,0,99,1
6280,0,97,3
6300,1,96,2
6320,1,91,3
6340,3,77,17
6360,0,90,9
6380,2,70,21
6400,0,77,20
6420,2,58,35
6440,0,53,45
6460,0,43,54
6480,0,60,33
6500,0,75,22
6520,0,88,9
6540,0,98,2
6560,0,100,0
6580,0,92,6
6600,0,96,3
6620,0,94,4
6640,0,93,5
6660,0,97,3
6680,0,94,5
6700,0,95,4
6720,0,94,4
6740,1,64,34
6760,0,56,44
6780,1,82,17
6800,0,98,2
