pointer,NC_028981 - PP766455,NC_028981 - NC_028366,PP766455 - NC_028366
20,0,0,0
40,0,0,0
60,0,0,0
80,8,4,83
100,3,6,88
120,1,14,85
140,0,0,99
160,0,8,92
180,0,0,100
200,0,0,100
220,0,0,100
240,0,0,100
260,0,0,100
280,0,0,100
300,0,0,100
320,0,0,100
340,0,0,100
360,0,0,100
380,0,0,100
400,0,0,100
420,0,0,100
440,0,0,100
460,0,0,100
480,0,0,100
500,0,0,100
520,0,0,100
540,0,0,100
560,0,0,100
580,0,0,100
600,0,0,100
620,0,0,100
640,0,0,100
660,0,0,100
680,0,0,100
700,0,0,100
720,0,0,100
740,5,3,91
760,0,4,96
780,7,25,68
800,27,50,22
820,18,31,50
840,24,48,26
860,26,28,45
880,3,29,66
900,6,43,41
920,2,10,88
940,0,6,92
960,2,7,88
980,1,4,95
1000,2,24,73
1020,1,26,67
1040,0,23,73
1060,0,21,76
1080,0,34,61
1100,1,18,75
1120,0,35,56
1140,10,16,68
1160,6,19,71
1180,6,25,67
1200,2,24,66
1220,6,27,55
1240,2,42,45
1260,5,47,37
1280,1,68,24
1300,12,53,28
1320,1,43,48
1340,3,55,35
1360,6,34,53
1380,3,20,70
1400,2,0,96
1420,3,1,95
1440,4,2,91
1460,6,1,87
1480,9,0,86
1500,1,1,94
1520,4,1,90
1540,33,1,55
1560,19,1,75
1580,19,7,69
1600,42,18,29
1620,4,39,49
1640,4,7,85
1660,3,1,95
1680,1,0,99
1700,1,0,99
1720,0,0,100
1740,0,0,100
1760,0,0,99
1780,0,1,99
1800,0,0,100
1820,0,0,100
1840,0,0,100
1860,1,3,95
1880,3,6,87
1900,13,6,77
1920,23,12,58
1940,24,19,48
1960,41,11,39
1980,17,9,65
2000,40,7,41
2020,42,18,30
2040,71,10,11
2060,43,24,16
2080,60,18,15
2100,45,19,29
2120,44,22,28
2140,64,12,16
2160,34,15,44
2180,16,10,63
2200,7,5,84
2220,12,2,83
2240,8,0,88
2260,0,0,100
2280,0,0,99
2300,0,0,100
2320,0,0,100
2340,0,0,100
2360,0,1,99
2380,0,2,98
2400,0,2,97
2420,0,1,99
2440,0,0,99
2460,0,0,100
2480,0,0,100
2500,0,0,100
2520,0,0,100
2540,0,0,99
2560,0,0,99
2580,5,0,93
2600,2,0,95
2620,9,0,91
2640,5,5,88
2660,3,4,91
2680,7,6,79
2700,1,8,86
2720,1,6,92
2740,0,2,97
2760,1,4,93
2780,0,1,98
2800,0,0,100
2820,0,0,100
2840,0,0,100
2860,0,0,99
2880,0,0,100
2900,0,2,98
2920,2,2,96
2940,0,3,95
2960,0,4,93
2980,0,14,83
3000,0,11,85
3020,0,18,77
3040,0,1,97
3060,2,3,93
3080,0,3,96
3100,0,2,97
3120,6,7,83
3140,14,10,70
3160,8,13,68
3180,8,11,73
3200,8,3,86
3220,7,1,90
3240,19,10,65
3260,11,15,74
3280,16,14,69
3300,6,11,79
3320,14,2,82
3340,4,5,89
3360,1,3,96
3380,3,3,93
3400,0,4,96
3420,0,2,98
3440,0,0,100
3460,0,2,96
3480,0,0,100
3500,0,0,100
3520,0,0,100
3540,0,0,100
3560,0,0,100
3580,0,0,100
3600,0,0,100
3620,0,0,100
3640,0,0,100
3660,0,0,100
3680,0,0,100
3700,0,0,100
3720,0,0,100
3740,0,0,100
3760,0,0,100
3780,0,0,100
3800,0,0,100
3820,0,0,100
3840,0,0,100
3860,0,0,99
3880,0,0,100
3900,0,0,100
3920,8,0,92
3940,10,0,86
3960,14,0,83
3980,30,1,61
4000,14,0,85
4020,9,0,88
4040,26,0,64
4060,14,2,79
4080,20,0,70
4100,13,3,80
4120,15,2,76
4140,5,1,90
4160,3,3,93
4180,3,6,87
4200,13,2,82
4220,12,11,68
4240,5,20,65
4260,16,9,70
4280,18,9,68
4300,34,6,54
4320,16,3,77
4340,16,5,72
4360,27,4,65
4380,7,6,82
4400,19,7,69
4420,2,0,97
4440,0,0,99
4460,1,0,97
4480,0,3,96
4500,0,2,98
4520,3,2,92
4540,8,2,85
4560,6,5,84
4580,12,2,80
4600,8,11,74
4620,25,18,43
4640,46,14,29
4660,31,23,39
4680,27,37,21
4700,33,21,29
4720,10,31,46
4740,2,18,72
4760,1,34,60
4780,0,37,59
4800,0,17,79
4820,0,11,87
4840,1,3,95
4860,0,1,99
4880,0,2,96
4900,0,6,92
4920,0,2,95
4940,3,5,90
4960,3,0,96
4980,0,1,97
5000,0,0,100
5020,2,3,92
5040,0,10,86
5060,0,11,88
5080,1,5,94
5100,0,1,97
5120,0,0,100
5140,0,1,99
5160,0,6,89
5180,0,1,98
5200,0,4,95
5220,0,1,99
5240,2,1,96
5260,1,4,95
5280,1,1,95
5300,5,0,92
5320,2,0,95
5340,4,4,90
5360,0,0,98
5380,4,2,89
5400,1,1,98
5420,0,0,100
5440,2,0,98
5460,2,1,97
5480,4,4,92
5500,11,22,67
5520,11,8,81
5540,6,4,89
5560,2,12,86
5580,3,6,91
5600,11,15,74
5620,15,41,41
5640,7,18,73
5660,40,12,43
5680,29,18,51
5700,20,6,65
5720,23,15,51
5740,27,20,40
5760,13,2,76
5780,16,9,66
5800,13,11,70
5820,1,19,69
5840,5,14,73
5860,0,3,92
5880,0,0,100
5900,0,5,93
5920,0,3,97
5940,0,6,90
5960,2,5,91
5980,1,3,95
6000,1,0,99
6020,8,0,92
6040,2,2,93
6060,15,10,68
6080,29,6,57
6100,26,2,62
6120,55,7,28
6140,35,5,46
6160,20,3,71
6180,16,9,67
6200,6,6,76
6220,2,5,89
6240,2,0,96
6260,0,0,99
6280,0,16,79
6300,4,15,77
6320,0,14,81
6340,0,5,95
6360,0,7,92
6380,0,12,88
6400,0,3,97
6420,0,8,90
6440,0,9,88
6460,0,1,98
6480,0,0,100
6500,0,0,100
6520,0,0,100
6540,0,0,100
6560,0,1,98
6580,0,0,100
6600,1,1,98
6620,3,2,93
6640,2,0,97
6660,7,0,88
6680,6,0,94
6700,4,5,90
6720,1,7,90
6740,8,3,87
6760,1,1,96
6780,1,0,98
6800,3,0,95
