Position in alignment,OQ818324 - PP711934,OQ818324 - OQ818323,PP711934 - OQ818323
20,43,7,37
40,8,1,83
60,1,0,97
80,0,0,100
100,0,0,99
120,1,0,99
140,1,0,99
160,0,0,100
180,0,0,100
200,0,0,100
220,0,0,100
240,0,0,100
260,0,0,100
280,0,0,100
300,0,0,100
320,0,0,100
340,0,0,100
360,0,0,100
380,0,0,100
400,0,0,100
420,0,0,100
440,0,0,100
460,0,0,100
480,0,0,100
500,0,0,100
520,0,0,98
540,0,0,100
560,2,0,98
580,1,0,98
600,0,0,100
620,2,0,96
640,0,0,100
660,1,0,99
680,0,0,100
700,0,0,100
720,0,0,100
740,0,0,100
760,0,0,100
780,0,0,100
800,0,0,100
820,0,0,100
840,1,0,99
860,1,0,99
880,2,0,98
900,0,0,100
920,0,0,100
940,2,1,95
960,0,1,98
980,3,0,94
1000,0,3,96
1020,0,0,100
1040,0,1,98
1060,2,7,87
1080,6,16,72
1100,37,29,23
1120,37,34,17
1140,59,24,11
1160,82,6,7
1180,98,1,1
1200,96,2,1
1220,98,1,0
1240,98,1,1
1260,97,0,2
1280,99,0,1
1300,90,0,8
1320,99,0,1
1340,96,0,3
1360,85,0,12
1380,65,2,28
1400,75,0,18
1420,65,3,22
1440,79,1,12
1460,92,5,1
1480,63,22,4
1500,60,27,4
1520,74,17,3
1540,70,26,0
1560,84,10,0
1580,88,7,1
1600,88,10,1
1620,89,9,1
1640,92,7,1
1660,98,1,1
1680,95,1,4
1700,97,2,1
1720,91,5,4
1740,94,4,2
1760,86,10,3
1780,83,15,2
1800,73,20,0
1820,83,11,0
1840,72,26,0
1860,64,28,0
1880,91,6,0
1900,89,7,3
1920,83,7,4
1940,76,6,15
1960,92,1,7
1980,86,0,13
2000,65,0,30
2020,63,0,31
2040,85,0,14
2060,68,0,32
2080,55,0,40
2100,82,1,13
2120,100,0,0
2140,100,0,0
2160,99,0,0
2180,96,0,2
2200,99,0,1
2220,98,0,1
2240,96,2,0
2260,98,0,0
2280,99,0,0
2300,91,6,0
2320,67,20,8
2340,76,12,5
2360,88,11,0
2380,88,9,0
2400,73,11,12
2420,59,23,4
2440,58,32,2
2460,59,27,5
2480,62,23,4
2500,94,1,3
2520,95,1,2
2540,94,0,1
2560,87,3,3
2580,82,10,1
2600,89,7,1
2620,94,3,3
2640,95,4,0
2660,84,3,7
2680,89,2,8
2700,74,6,11
2720,84,3,9
2740,67,6,18
2760,74,0,23
2780,51,0,44
2800,66,0,27
2820,62,0,31
2840,81,1,15
2860,90,0,9
2880,86,5,3
2900,74,11,6
2920,94,1,2
2940,92,7,0
2960,97,3,0
2980,90,7,0
3000,84,14,1
3020,83,14,0
3040,65,29,0
3060,66,31,0
3080,82,13,0
3100,91,5,0
3120,71,21,0
3140,84,12,3
3160,68,26,2
3180,52,28,14
3200,53,29,10
3220,74,16,10
3240,76,9,9
3260,71,11,10
3280,91,3,5
3300,72,19,4
3320,69,22,1
3340,31,43,18
3360,42,17,33
3380,82,2,11
3400,65,5,27
3420,75,14,8
3440,72,11,9
3460,42,11,38
3480,15,35,42
3500,8,23,65
3520,1,4,91
3540,12,1,86
3560,12,1,87
3580,4,4,92
3600,0,1,99
3620,0,0,100
3640,1,0,99
3660,3,0,97
3680,3,0,97
3700,3,0,97
3720,7,0,93
3740,14,4,73
3760,20,2,76
3780,11,3,76
3800,9,2,83
3820,10,5,81
3840,5,5,83
3860,1,5,91
3880,6,12,74
3900,29,15,49
3920,31,18,37
3940,56,0,40
3960,48,2,41
3980,66,1,24
4000,68,2,29
4020,70,0,18
4040,68,1,22
4060,81,0,15
4080,82,0,13
4100,63,0,31
4120,43,0,46
4140,36,3,54
4160,12,3,80
