Pointer,OQ818320 - PP711943,OQ818320 - NC_033820,PP711943 - NC_033820
20,60,0,0
40,50,0,0
60,99,0,0
80,100,0,0
100,100,0,0
120,100,0,0
140,97,0,3
160,97,0,3
180,97,0,3
200,99,0,0
220,92,0,2
240,81,5,6
260,0,60,22
280,0,81,13
300,0,70,22
320,0,99,0
340,0,97,0
360,0,99,0
380,0,98,0
400,0,99,0
420,0,86,6
440,0,41,27
460,0,0,66
480,0,69,18
500,0,78,10
520,0,86,4
540,0,37,43
560,0,67,20
580,0,78,17
600,0,61,29
620,0,62,32
640,0,70,20
660,0,56,35
680,0,21,74
700,0,18,76
720,0,29,65
740,0,65,27
760,0,49,44
780,0,45,42
800,0,68,18
820,0,81,14
840,2,84,7
860,0,86,6
880,0,98,1
900,0,100,0
920,0,100,0
940,0,100,0
960,0,100,0
980,0,100,0
1000,0,100,0
1020,0,100,0
1040,0,100,0
1060,0,100,0
1080,0,100,0
1100,0,100,0
1120,0,100,0
1140,0,100,0
1160,0,100,0
1180,0,100,0
1200,0,100,0
1220,0,99,0
1240,0,100,0
1260,0,100,0
1280,0,100,0
1300,0,100,0
1320,0,100,0
1340,0,99,0
1360,0,100,0
1380,0,100,0
1400,0,100,0
1420,0,100,0
1440,0,100,0
1460,0,99,0
1480,0,96,2
1500,0,97,3
1520,0,100,0
1540,0,100,0
1560,0,99,1
1580,0,93,4
1600,0,100,0
1620,0,94,5
1640,0,90,7
1660,1,97,2
1680,0,100,0
1700,0,100,0
1720,2,98,0
1740,0,96,3
1760,0,97,1
1780,0,100,0
1800,0,99,0
1820,0,100,0
1840,0,100,0
1860,0,100,0
1880,0,100,0
1900,0,100,0
1920,0,100,0
1940,0,100,0
1960,0,100,0
1980,0,100,0
2000,0,100,0
2020,0,100,0
2040,0,100,0
2060,0,100,0
2080,0,100,0
2100,0,100,0
2120,0,100,0
2140,0,100,0
2160,0,100,0
2180,0,100,0
2200,0,100,0
2220,0,100,0
2240,0,100,0
2260,0,100,0
2280,0,100,0
2300,0,100,0
2320,0,100,0
2340,0,100,0
2360,0,100,0
2380,0,100,0
2400,0,97,3
2420,0,100,0
2440,0,99,0
2460,0,100,0
2480,0,100,0
2500,0,100,0
2520,0,100,0
2540,0,100,0
2560,0,100,0
2580,0,100,0
2600,0,100,0
2620,0,100,0
2640,0,100,0
2660,0,100,0
2680,0,100,0
2700,0,100,0
2720,0,100,0
2740,0,100,0
2760,0,100,0
2780,0,100,0
2800,0,100,0
2820,0,100,0
2840,0,100,0
2860,0,100,0
2880,0,100,0
2900,0,100,0
2920,0,100,0
2940,1,99,0
2960,0,100,0
2980,1,99,0
3000,0,99,0
3020,0,99,0
3040,0,100,0
3060,1,99,0
3080,1,99,0
3100,1,97,1
3120,0,100,0
3140,0,100,0
3160,0,99,1
3180,0,100,0
3200,0,100,0
3220,0,98,0
3240,0,100,0
3260,0,96,1
3280,2,95,2
3300,1,95,4
3320,7,62,23
3340,9,63,22
3360,7,55,29
3380,5,46,39
3400,23,15,52
3420,18,8,57
3440,20,6,56
3460,4,6,87
3480,12,2,79
3500,10,5,76
3520,15,15,57
3540,4,15,67
