Position in alignment,OQ818324 - r_aegypticus_africa,OQ818324 - OQ818323,r_aegypticus_africa - OQ818323
20,82,6,8
40,23,0,67
60,16,0,76
80,17,0,78
100,20,1,78
120,17,0,79
140,15,0,83
160,0,0,100
180,0,0,100
200,0,0,100
220,0,0,100
240,0,0,100
260,0,0,100
280,0,0,100
300,0,0,100
320,0,0,100
340,0,0,100
360,0,0,100
380,0,0,100
400,0,0,100
420,0,0,100
440,0,0,100
460,0,0,100
480,0,0,100
500,0,0,99
520,3,0,95
540,0,0,99
560,1,0,99
580,3,0,97
600,1,0,98
620,0,0,100
640,0,0,99
660,1,0,99
680,1,0,98
700,0,0,100
720,1,0,99
740,0,0,100
760,0,0,100
780,0,0,100
800,0,0,100
820,0,0,100
840,1,0,99
860,2,0,98
880,0,0,100
900,0,0,100
920,0,0,100
940,17,0,76
960,17,0,73
980,30,0,64
1000,34,0,48
1020,37,0,49
1040,33,0,58
1060,48,0,39
1080,48,0,40
1100,80,0,12
1120,79,0,14
1140,92,0,3
1160,92,0,5
1180,98,0,1
1200,95,0,2
1220,91,0,3
1240,97,0,0
1260,91,0,6
1280,88,0,11
1300,77,0,13
1320,81,0,9
1340,62,0,29
1360,33,0,53
1380,28,0,64
1400,22,0,63
1420,34,0,52
1440,13,0,77
1460,42,0,40
1480,48,0,38
1500,35,0,55
1520,64,1,15
1540,96,0,2
1560,95,0,1
1580,94,0,4
1600,98,1,0
1620,95,5,0
1640,96,2,2
1660,77,23,0
1680,84,14,2
1700,83,11,6
1720,65,24,11
1740,76,18,5
1760,59,28,12
1780,76,13,10
1800,89,3,6
1820,86,2,8
1840,52,3,30
1860,38,0,49
1880,73,0,17
1900,82,0,9
1920,89,0,7
1940,75,0,15
1960,75,0,17
1980,73,0,23
2000,56,0,32
2020,35,0,57
2040,69,0,26
2060,73,0,17
2080,52,0,39
2100,42,0,51
2120,26,0,65
2140,44,0,49
2160,68,0,24
2180,65,0,21
2200,59,0,34
2220,76,0,15
2240,72,0,24
2260,91,0,6
2280,87,0,7
2300,91,0,6
2320,57,0,35
2340,69,0,27
2360,64,0,29
2380,61,0,25
2400,62,0,27
2420,40,0,53
2440,44,0,40
2460,33,0,57
2480,34,1,54
2500,30,0,60
2520,22,0,74
2540,21,22,53
2560,14,8,73
2580,10,9,74
2600,20,19,55
2620,36,14,41
2640,18,4,69
2660,24,7,62
2680,21,5,68
2700,11,1,78
2720,21,1,72
2740,17,0,79
2760,28,0,57
2780,41,0,51
2800,18,0,74
2820,28,0,71
2840,34,0,59
2860,47,0,45
2880,64,0,31
2900,93,0,3
2920,93,3,2
2940,94,2,1
2960,88,1,10
2980,91,2,2
3000,94,4,1
3020,94,6,0
3040,90,8,2
3060,81,15,3
3080,88,9,3
3100,94,4,1
3120,83,9,6
3140,90,4,2
3160,94,2,4
3180,91,3,3
3200,75,3,13
3220,61,7,23
3240,59,5,28
3260,59,0,29
3280,51,0,38
3300,31,0,62
3320,42,0,45
3340,25,0,66
3360,21,0,70
3380,8,0,89
3400,5,0,90
3420,27,0,65
3440,49,0,39
3460,57,0,35
3480,70,0,22
3500,69,0,25
3520,24,2,69
3540,11,3,85
3560,7,3,89
3580,3,0,97
3600,21,1,78
3620,7,1,92
3640,2,0,98
3660,2,0,98
3680,0,0,99
3700,2,0,98
3720,8,0,92
3740,12,0,88
3760,27,0,73
3780,47,0,40
3800,30,0,61
3820,58,0,29
3840,25,0,62
3860,31,0,65
3880,16,0,75
3900,6,0,82
3920,5,0,92
3940,12,0,84
3960,30,0,55
3980,46,0,39
4000,63,0,26
4020,68,0,23
4040,69,0,23
4060,64,0,23
4080,59,0,28
4100,87,0,8
4120,83,0,12
4140,79,0,10
4160,69,0,23
4180,58,0,32
4200,34,0,55
4220,28,0,64
4240,22,0,73
4260,28,0,63
4280,61,0,26
