Position in alignment,PP711921 - PP711911,PP711921 - OQ818320,PP711911 - OQ818320
20,0,100,0
40,0,100,0
60,0,97,2
80,0,65,30
100,1,67,27
120,11,34,42
140,29,40,22
160,36,28,29
180,52,24,17
200,54,23,17
220,70,13,12
240,68,21,7
260,82,6,6
280,66,24,5
300,16,71,9
320,10,84,1
340,14,70,7
360,31,57,7
380,49,28,10
400,17,74,3
420,20,72,4
440,15,75,4
460,25,53,13
480,44,54,2
500,35,50,4
520,48,37,7
540,31,60,3
560,12,78,3
580,1,95,4
600,15,67,10
620,7,82,7
640,5,88,3
660,1,97,1
680,3,93,2
700,2,95,2
720,8,83,6
740,6,90,1
760,23,66,1
780,64,33,1
800,40,47,3
820,35,58,0
840,66,26,3
860,57,31,6
880,35,58,2
900,49,42,2
920,40,50,1
940,50,40,4
960,19,58,12
980,41,42,13
1000,63,30,7
1020,28,67,5
1040,41,48,11
1060,62,26,12
1080,45,28,27
1100,54,29,16
1120,73,23,4
1140,67,31,2
1160,56,43,1
1180,32,57,7
1200,32,56,1
1220,80,10,8
1240,82,6,7
1260,58,25,10
1280,79,7,7
1300,72,3,18
1320,77,3,15
1340,72,4,19
1360,57,6,30
1380,58,7,23
1400,63,11,22
1420,52,18,21
1440,26,39,27
1460,27,21,43
1480,12,5,80
1500,2,2,92
1520,0,0,100
1540,0,0,100
1560,1,1,98
1580,2,1,95
1600,4,1,93
1620,5,3,89
1640,12,3,79
1660,28,3,62
1680,22,3,70
1700,48,21,28
1720,57,30,3
1740,39,51,7
1760,27,18,44
1780,25,12,55
1800,21,22,54
1820,7,27,65
1840,1,47,51
1860,0,73,27
1880,0,97,3
1900,0,89,11
1920,9,80,11
1940,18,76,5
1960,13,87,0
1980,3,97,0
2000,0,100,0
2020,2,98,0
2040,3,97,0
2060,11,89,0
2080,11,88,0
2100,4,93,0
2120,1,99,0
2140,0,100,0
2160,0,98,2
2180,0,96,3
2200,0,86,12
2220,1,52,44
2240,4,66,19
2260,0,74,24
2280,0,86,11
2300,0,99,1
2320,0,100,0
2340,0,100,0
2360,0,100,0
2380,0,100,0
2400,0,100,0
2420,0,100,0
2440,0,100,0
2460,0,100,0
2480,0,100,0
2500,0,100,0
2520,0,100,0
2540,0,100,0
