pointer,NC_003987.1 - NC_033820.1,NC_003987.1 - OQ818329,NC_033820.1 - OQ818329
20,25,55,0
40,0,0,0
60,30,48,7
80,18,5,76
100,0,0,100
120,1,0,99
140,2,1,97
160,0,1,99
180,0,0,100
200,2,2,96
220,1,0,99
240,0,0,100
260,0,0,100
280,0,0,100
300,0,1,99
320,0,0,100
340,0,0,100
360,0,0,100
380,0,0,100
400,0,0,100
420,0,0,100
440,0,0,100
460,0,0,100
480,0,0,100
500,0,0,100
520,3,0,97
540,34,0,66
560,56,1,42
580,35,1,64
600,44,0,56
620,90,0,8
640,83,0,17
660,80,1,19
680,71,7,22
700,75,17,8
720,74,12,14
740,78,14,8
760,67,12,19
780,66,21,13
800,35,55,10
820,35,44,21
840,38,23,39
860,74,17,9
880,56,15,29
900,16,4,79
920,7,0,93
940,4,0,96
960,0,0,100
980,0,0,99
1000,1,0,99
1020,1,1,97
1040,13,0,85
1060,7,0,89
1080,20,0,76
1100,32,0,56
1120,37,1,56
1140,26,1,67
1160,35,0,56
1180,13,1,83
1200,12,0,84
1220,8,0,92
1240,0,0,98
1260,1,0,97
1280,0,0,99
1300,0,0,100
1320,0,0,100
1340,1,0,99
1360,0,0,100
1380,1,0,99
1400,2,0,98
1420,0,1,99
1440,0,3,97
1460,0,2,98
1480,0,1,99
1500,1,1,98
1520,1,0,99
1540,0,1,99
1560,5,2,93
1580,9,5,86
1600,11,3,84
1620,32,3,62
1640,29,1,65
1660,69,12,14
1680,60,14,19
1700,24,54,16
1720,55,20,19
1740,18,28,47
1760,5,40,46
1780,13,42,40
1800,1,58,38
1820,6,22,66
1840,2,26,63
1860,0,9,85
1880,1,4,95
1900,3,1,95
1920,25,10,65
1940,25,15,57
1960,18,8,74
1980,6,2,92
2000,2,5,93
2020,2,1,97
2040,0,1,99
2060,5,0,95
2080,2,1,97
2100,2,0,98
2120,1,0,99
2140,2,0,98
2160,2,1,97
2180,3,2,94
2200,9,0,84
2220,11,0,85
2240,18,9,67
2260,7,11,77
2280,1,7,87
2300,0,10,88
2320,0,1,98
2340,0,1,99
2360,0,0,100
2380,0,0,100
2400,0,0,100
2420,0,0,100
2440,0,0,100
2460,0,0,100
2480,0,0,100
2500,0,0,100
2520,0,0,100
2540,1,0,99
2560,0,0,100
2580,1,0,99
2600,2,0,98
2620,1,0,99
2640,1,0,99
2660,0,0,100
2680,1,0,99
2700,0,0,100
2720,0,0,100
2740,0,0,100
2760,1,0,99
2780,2,0,98
2800,1,0,99
2820,1,0,99
2840,3,1,96
2860,0,0,100
2880,0,0,100
2900,5,2,93
2920,7,1,92
2940,9,1,89
2960,6,2,91
2980,1,2,97
3000,0,0,100
3020,0,0,100
3040,0,1,99
3060,0,0,100
3080,0,0,100
3100,0,0,100
3120,0,0,100
3140,0,0,100
3160,0,0,100
3180,0,0,100
3200,0,0,100
3220,0,1,99
3240,2,1,97
3260,3,0,97
3280,19,3,78
3300,10,15,75
3320,30,35,33
3340,47,18,33
3360,57,28,14
3380,77,12,11
3400,61,33,6
3420,50,43,7
3440,63,35,2
3460,57,26,17
3480,22,21,56
3500,38,22,40
3520,38,8,54
3540,11,11,78
3560,29,8,63
3580,13,3,84
3600,10,1,89
3620,11,0,89
3640,7,2,91
3660,8,2,90
3680,29,0,69
3700,16,1,83
3720,9,1,90
3740,14,0,86
3760,2,0,98
3780,6,1,93
3800,12,1,87
3820,22,0,78
3840,30,0,70
3860,30,0,70
3880,28,0,72
3900,16,0,84
3920,48,1,50
3940,59,0,41
3960,86,6,8
3980,82,3,15
4000,47,14,36
4020,25,15,60
4040,31,22,46
4060,17,26,56
4080,8,33,57
4100,7,66,25
4120,2,54,43
4140,2,54,44
4160,5,50,45
4180,1,28,69
4200,4,34,62
4220,0,7,93
4240,0,29,71
4260,0,31,69
4280,0,32,68
4300,3,26,71
4320,3,40,57
4340,3,58,39
4360,1,53,46
4380,0,53,47
4400,1,23,76
4420,7,25,68
4440,5,17,78
4460,0,12,87
4480,0,13,87
4500,0,1,99
4520,0,0,100
4540,0,0,100
4560,1,0,98
4580,0,0,100
4600,14,3,82
4620,10,2,87
4640,26,1,73
4660,18,2,79
4680,3,0,97
4700,0,0,100
4720,1,0,99
4740,0,0,100
4760,0,4,96
4780,0,0,100
4800,0,0,100
4820,0,0,100
4840,0,0,100
4860,0,0,100
4880,0,0,100
4900,0,0,100
4920,0,0,100
4940,0,0,100
4960,0,0,100
4980,0,0,100
5000,0,0,100
5020,0,0,100
5040,0,0,100
5060,0,5,95
5080,12,45,38
5100,16,23,50
5120,5,12,82
5140,5,35,53
5160,7,20,69
5180,8,20,71
5200,5,32,50
5220,12,14,69
5240,3,13,80
5260,2,16,78
5280,1,13,84
5300,1,10,88
5320,28,27,44
5340,29,10,61
5360,11,14,75
5380,21,28,51
5400,21,40,39
5420,6,52,41
5440,27,34,39
5460,34,20,46
5480,22,11,67
5500,13,19,67
5520,4,24,72
5540,2,17,80
5560,8,9,83
5580,11,12,77
5600,5,8,87
5620,16,16,67
5640,17,34,48
5660,9,40,51
5680,7,45,48
5700,1,22,77
5720,0,4,96
5740,1,11,88
5760,2,7,91
5780,3,0,97
5800,4,5,90
5820,2,0,98
5840,1,0,99
5860,6,0,94
5880,11,1,88
5900,24,6,70
5920,13,38,48
5940,15,25,58
5960,2,21,77
5980,1,10,89
6000,1,5,94
6020,1,2,97
6040,0,2,98
6060,0,8,92
6080,0,3,97
6100,0,2,98
6120,0,0,100
6140,0,1,99
6160,0,10,89
6180,0,12,87
6200,0,20,79
6220,0,27,69
6240,0,12,84
6260,1,18,77
6280,0,26,72
6300,1,23,72
6320,0,6,88
6340,0,31,65
6360,4,7,87
6380,2,0,98
6400,4,4,86
6420,2,5,91
6440,1,12,84
6460,5,6,85
6480,1,6,90
6500,0,2,98
6520,0,2,98
6540,1,2,95
6560,0,15,79
6580,0,47,41
6600,0,34,65
6620,2,33,59
6640,1,8,86
6660,8,5,83
6680,9,8,77
6700,35,25,35
6720,27,20,43
6740,23,5,68
6760,3,0,93
6780,4,0,96
6800,0,0,100
6820,0,0,99
6840,0,0,99
6860,0,0,100
6880,0,0,100
6900,0,0,99
6920,0,0,99
6940,0,0,100
6960,9,0,90
6980,26,0,72
7000,41,0,54
7020,30,0,66
7040,38,0,57
7060,58,0,37
7080,18,1,79
7100,22,1,75
7120,10,3,85
7140,2,0,97
7160,0,26,68
7180,1,15,84
7200,0,8,92
7220,1,16,82
7240,0,13,87
7260,1,5,94
7280,0,22,77
7300,7,4,88
7320,34,0,66
7340,53,4,43
7360,65,0,35
7380,64,3,27
7400,67,2,25
7420,52,4,38
7440,80,6,9
7460,51,15,30
7480,61,12,18
7500,19,18,51
7520,2,34,60
7540,2,42,52
7560,0,34,63
7580,2,9,86
7600,0,7,89
7620,3,10,84
7640,0,12,84
7660,2,33,58
7680,1,36,56
7700,6,33,55
7720,0,9,90
7740,2,11,82
7760,0,1,97
7780,0,18,78
7800,1,23,71
7820,3,18,76
7840,2,7,90
7860,4,2,91
7880,0,2,98
7900,0,0,99
7920,2,0,98
7940,5,2,91
7960,5,9,85
7980,13,6,80
8000,0,2,98
8020,0,7,93
8040,0,6,94
8060,0,11,89
8080,1,18,81
8100,0,27,72
8120,0,41,53
8140,0,24,72
8160,0,18,72
8180,0,29,55
8200,0,70,5
8220,4,42,33
