pointer,Bat_picornavirus_3 - OQ818328,Bat_picornavirus_3 - PP766469,OQ818328 - PP766469
20,0,36,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,0,0,41
220,5,84,10
240,14,44,42
260,13,58,29
280,2,88,10
300,3,83,14
320,5,84,11
340,3,85,12
360,2,75,23
380,10,67,23
400,1,59,40
420,25,31,44
440,56,34,9
460,59,27,13
480,64,12,24
500,81,7,11
520,81,14,4
540,86,10,3
560,98,2,0
580,94,6,0
600,100,0,0
620,94,6,0
640,98,2,0
660,95,3,0
680,99,1,0
700,90,3,5
720,78,4,18
740,26,5,67
760,24,2,74
780,2,4,94
800,3,5,92
820,2,0,98
840,1,0,99
860,0,0,100
880,2,2,96
900,14,2,84
920,9,1,90
940,26,2,70
960,28,4,67
980,46,10,41
1000,31,27,36
1020,31,51,6
1040,30,53,4
1060,13,78,1
1080,12,82,0
1100,9,88,0
1120,15,74,0
1140,30,55,0
1160,20,62,0
1180,62,22,0
1200,40,49,0
1220,40,39,3
1240,31,52,4
1260,40,47,1
1280,41,45,3
1300,29,36,22
1320,29,20,43
1340,11,25,64
1360,7,15,72
1380,1,1,97
1400,2,2,96
1420,12,5,83
1440,16,1,83
1460,8,2,89
1480,9,1,90
1500,11,1,88
1520,5,0,95
1540,23,1,76
1560,10,0,90
1580,10,0,89
1600,11,3,84
1620,14,0,85
1640,4,1,95
1660,15,2,83
1680,33,2,64
1700,11,1,87
1720,8,3,87
1740,9,8,81
1760,36,4,56
1780,60,4,32
1800,66,0,32
1820,72,7,18
1840,63,13,20
1860,60,18,15
1880,49,22,22
1900,66,21,2
1920,61,21,1
1940,94,4,0
1960,86,9,0
1980,96,2,2
2000,78,6,8
2020,93,1,6
2040,93,1,6
2060,95,0,5
2080,78,0,22
2100,54,1,45
2120,33,1,65
2140,15,0,85
2160,4,0,96
2180,9,4,87
2200,10,1,89
2220,0,6,94
2240,9,5,86
2260,6,12,80
2280,19,17,60
2300,19,9,70
2320,46,22,24
2340,28,36,24
2360,53,27,11
2380,60,15,21
2400,59,28,7
2420,52,22,19
2440,39,31,23
2460,16,4,76
2480,5,0,95
2500,18,1,81
2520,21,3,75
2540,38,0,62
2560,60,0,39
2580,51,1,47
2600,41,0,59
2620,51,0,49
2640,52,0,47
2660,69,0,29
2680,79,4,7
2700,73,6,10
2720,44,0,46
2740,15,11,62
2760,0,25,62
2780,0,17,73
2800,0,38,58
2820,0,32,67
2840,0,27,72
2860,0,20,79
2880,2,9,89
2900,2,3,95
2920,6,20,72
2940,2,11,85
2960,2,23,75
2980,5,25,67
3000,11,15,69
3020,22,24,46
3040,4,2,92
3060,20,4,76
3080,9,11,79
3100,9,18,69
3120,12,14,73
3140,3,12,84
3160,0,3,97
3180,0,3,97
3200,1,0,99
3220,0,2,98
3240,0,1,99
3260,0,0,100
3280,0,2,98
3300,0,1,99
3320,0,7,91
3340,0,7,93
3360,5,8,85
3380,0,5,94
3400,4,13,82
3420,7,45,42
3440,26,49,12
3460,28,38,26
3480,49,15,35
3500,23,3,74
3520,3,4,92
3540,3,1,96
3560,1,0,99
3580,32,0,67
3600,16,1,83
3620,23,1,76
3640,7,0,93
