pointer,R_leschenaulti_sapovirus - PP766459,R_leschenaulti_sapovirus - E_helvum_sapovirus,PP766459 - E_helvum_sapovirus
20,0,44,55
40,0,15,85
60,0,24,76
80,0,29,71
100,0,44,56
120,0,40,59
140,0,76,24
160,0,86,13
180,0,37,62
200,0,27,71
220,0,24,76
240,0,18,82
260,0,47,53
280,0,46,54
300,0,20,80
320,0,11,89
340,0,23,77
360,0,28,72
380,0,70,30
400,0,89,11
420,0,62,36
440,0,82,13
460,0,4,91
480,0,16,76
500,0,12,84
520,0,11,80
540,0,25,65
560,0,16,80
580,0,10,85
600,0,8,91
620,0,9,89
640,0,3,97
660,0,9,91
680,0,1,99
700,0,2,98
720,0,0,100
740,0,0,100
760,0,0,100
780,0,0,100
800,0,0,100
820,0,0,100
840,0,1,99
860,0,0,100
880,0,0,99
900,0,4,96
920,0,8,92
940,0,6,94
960,0,4,96
980,0,4,96
1000,0,9,89
1020,0,12,87
1040,0,25,75
1060,0,39,61
1080,0,43,56
1100,0,12,88
1120,0,28,69
1140,0,27,63
1160,0,28,69
1180,0,20,72
1200,0,26,65
1220,0,27,65
1240,0,15,79
1260,0,10,81
1280,0,11,86
1300,0,5,92
1320,0,1,99
1340,0,6,91
1360,0,7,92
1380,0,8,88
1400,0,1,95
1420,0,1,99
1440,0,10,86
1460,0,34,55
1480,0,59,33
1500,0,78,13
1520,0,89,5
1540,0,77,8
1560,0,74,17
1580,0,82,10
1600,0,97,1
1620,0,95,1
1640,0,92,6
1660,0,73,20
1680,0,82,11
1700,0,88,9
1720,0,80,11
1740,0,85,12
1760,0,67,20
1780,0,44,43
1800,0,13,75
1820,0,17,77
1840,0,18,72
1860,0,26,67
1880,0,11,82
1900,0,6,89
1920,0,25,61
1940,0,9,87
1960,0,5,93
1980,0,17,65
2000,0,16,73
2020,0,2,94
2040,0,2,98
2060,0,0,99
2080,0,0,100
2100,0,0,100
2120,0,0,100
2140,0,0,100
2160,0,0,100
2180,0,1,99
2200,0,0,100
2220,0,0,100
2240,0,0,100
2260,0,0,100
2280,0,0,100
2300,0,0,100
2320,0,0,100
2340,0,0,100
2360,0,0,100
2380,0,0,100
2400,0,0,100
2420,0,0,100
2440,0,0,100
2460,0,0,97
2480,0,1,99
2500,0,3,92
2520,0,3,95
2540,0,7,90
2560,0,43,44
2580,0,49,42
2600,0,81,11
2620,0,72,20
2640,0,81,9
2660,0,80,12
2680,0,72,24
2700,0,49,51
2720,0,66,28
2740,0,65,34
2760,0,40,56
2780,0,24,75
2800,0,12,88
2820,0,9,90
2840,0,0,100
2860,0,8,91
2880,0,9,91
2900,0,25,65
2920,0,31,64
2940,0,55,33
2960,0,32,59
2980,0,39,54
3000,0,64,29
3020,0,79,12
3040,0,71,20
3060,0,61,23
3080,0,69,25
3100,0,66,29
3120,0,83,12
3140,0,45,44
3160,0,17,82
3180,0,12,88
3200,0,2,98
3220,0,5,95
3240,0,7,93
3260,0,9,89
3280,0,2,98
3300,0,9,88
3320,0,3,94
3340,0,3,96
3360,0,42,57
3380,0,36,61
3400,0,33,67
3420,0,40,60
3440,0,53,47
3460,0,66,34
3480,0,60,40
3500,0,74,26
3520,0,70,30
3540,0,90,10
3560,0,82,18
3580,0,77,23
3600,0,95,5
3620,0,90,10
3640,0,97,3
3660,0,96,4
3680,0,95,4
3700,0,70,30
3720,0,64,36
3740,0,47,53
3760,0,32,67
3780,0,73,27
3800,0,66,34
3820,0,44,56
3840,1,30,69
3860,0,10,90
3880,0,23,77
3900,0,30,69
3920,0,46,53
3940,0,51,49
3960,0,74,25
3980,0,57,43
4000,0,52,48
4020,0,95,5
4040,0,96,4
4060,0,100,0
4080,0,99,1
4100,0,100,0
4120,0,98,2
4140,0,99,1
4160,0,94,6
4180,0,97,3
4200,0,98,2
4220,0,92,7
4240,0,86,14
4260,0,73,27
4280,0,74,26
4300,0,74,25
4320,0,51,49
4340,0,67,33
4360,0,90,10
4380,0,95,5
4400,0,94,6
4420,0,100,0
4440,0,99,1
4460,0,99,1
4480,0,100,0
4500,0,100,0
4520,0,100,0
4540,0,100,0
4560,0,100,0
4580,0,100,0
4600,0,100,0
4620,0,100,0
4640,0,100,0
4660,0,99,1
4680,0,99,1
4700,0,100,0
4720,0,100,0
4740,0,99,1
4760,0,100,0
4780,0,99,1
4800,0,100,0
4820,0,99,0
4840,0,82,18
4860,0,65,35
4880,0,67,33
4900,0,84,16
4920,0,82,18
4940,0,84,16
4960,0,86,14
4980,0,91,9
5000,0,90,10
5020,0,89,11
5040,0,99,1
5060,0,100,0
5080,0,100,0
5100,0,100,0
5120,0,100,0
5140,0,100,0
5160,0,100,0
5180,0,100,0
5200,0,100,0
5220,0,100,0
5240,0,91,9
5260,0,92,8
5280,0,84,16
5300,0,78,22
5320,0,51,49
5340,0,25,75
5360,0,17,82
5380,0,7,93
5400,0,5,95
5420,0,28,72
5440,0,49,51
5460,0,44,55
5480,0,38,62
5500,0,41,58
5520,0,95,5
5540,0,94,6
5560,0,99,1
5580,0,97,3
5600,0,99,1
5620,0,100,0
5640,0,100,0
5660,0,100,0
5680,0,100,0
5700,0,100,0
5720,0,100,0
5740,0,100,0
5760,0,100,0
5780,0,100,0
5800,0,100,0
5820,0,100,0
5840,0,99,1
5860,0,100,0
5880,0,100,0
5900,0,99,1
5920,0,96,4
5940,0,92,8
5960,0,98,2
5980,0,86,14
6000,0,96,4
6020,0,97,3
6040,0,94,6
6060,0,98,2
6080,0,61,39
6100,0,63,37
6120,0,84,16
6140,0,79,21
6160,0,74,24
6180,0,56,40
6200,0,34,57
6220,0,22,70
6240,0,27,66
6260,0,54,45
6280,0,75,24
6300,0,45,54
6320,0,48,52
6340,0,33,66
6360,0,16,84
6380,0,10,90
6400,0,18,82
