Accession,Isolate,Species,Genus,Family,Length,Nuc_Completeness,Country,Host,Collection_Date
AB467378.1,E1074,Enterovirus C,Enterovirus,Picornaviridae,2436,partial,Egypt,,2005
AY644670.1,,Hepatovirus A,Hepatovirus,Picornaviridae,7414,complete,Sierra Leone,Homo sapiens,
DQ902712.1,CIV2003-10603,Enterovirus B,Enterovirus,Picornaviridae,7423,complete,Cote d'Ivoire,,
DQ916376.1,E210,Enterovirus D,Enterovirus,Picornaviridae,7364,complete,Egypt,,
EF015019.1,,Enterovirus C,Enterovirus,Picornaviridae,7439,partial,South Africa,,
EF127241.1,,Enterovirus A,Enterovirus,Picornaviridae,1410,partial,Democratic Republic of the Congo,,
EF127249.1,,Enterovirus D,Enterovirus,Picornaviridae,1153,partial,Democratic Republic of the Congo,,
EF127251.1,,Enterovirus C,Enterovirus,Picornaviridae,1205,partial,Democratic Republic of the Congo,,
EF611987.1,O/Uganda/2006,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7556,partial,Uganda,Bos taurus,2006
EU919232.1,A/TAN/4/80,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2788,partial,Tanzania,,
EU919241.1,O/TAN/3/96,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2811,partial,Tanzania,,
FJ461344.1,Kumi District,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7619,partial,Uganda,Bos taurus,02-Jul
GU194488.1,KNP/2/89,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,South Africa,Aepyceros melampus,1989
GU194491.1,ZIM/01/88,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,Zimbabwe,Bubalus bubalis,1988
GU194493.1,ZIM/10/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,Zimbabwe,Bubalus bubalis,1991
GU194495.1,KNP/148/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2232,partial,South Africa,Bubalus bubalis,1991
GU194496.1,ZIM/3/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2232,partial,Zimbabwe,Bubalus bubalis,1990
GU194498.1,KNP/41/95,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2232,partial,South Africa,Bubalus bubalis,1995
GU194499.1,ZIM/25/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2232,partial,Zimbabwe,Bubalus bubalis,1990
HF677705.1,,Parechovirus C,Parechovirus,Picornaviridae,7537,partial,Central African Republic,Hylomyscus,1972
HM011106.1,Tun1-2006,Hepatovirus A,Hepatovirus,Picornaviridae,1070,partial,Tunisia,Homo sapiens,2006-10-03
HM067704.1,Buffalo 6 QE,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7642,partial,Uganda,Syncerus caffer,2007-01-17
HM625673.1,O/K/48/2005,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7258,partial,Kenya,Bos taurus,2005
HM625674.1,O/K/52/1992,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7253,partial,Kenya,Bos taurus,1992
HM625675.1,O/K/109/2000,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7255,partial,Kenya,Bos taurus,2000
HM625676.1,O/K/117/1999,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7254,partial,Kenya,Bos taurus,1999
HM625677.1,O/U/25/2006,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7260,partial,Uganda,Bos taurus,2006
HQ268522.1,BUN_007/2003,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2989,partial,Burundi,,2003
