pointer,OQ818325,OQ818328,OQ818329,OQ818321,OQ818337,OQ818316,OQ818318,OQ818323,OQ818324,OQ818319,OQ818322,OQ818317
100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
520,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
540,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
600,0,0,17,45,0,0,1,0,0,0,0,0
620,0,0,8,57,0,0,0,0,0,0,0,0
640,0,0,6,40,0,0,0,0,0,6,0,1
660,0,0,1,60,0,0,0,0,0,2,0,0
680,0,0,2,50,0,0,0,0,0,3,0,0
700,0,0,0,76,0,0,0,0,0,1,0,0
720,0,0,1,80,0,0,0,0,0,0,0,0
740,0,0,0,90,0,0,0,0,0,0,0,0
760,0,0,3,92,0,0,0,0,0,1,0,0
780,0,0,0,97,0,0,0,0,0,1,0,0
800,0,0,0,95,0,0,0,0,0,0,0,0
820,0,0,0,90,0,0,0,0,0,0,0,0
840,0,0,0,87,0,0,0,0,0,1,0,0
860,0,0,2,84,0,0,0,0,0,0,0,0
880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
920,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
940,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1080,0,0,18,30,0,0,0,0,0,0,0,0
1100,0,0,18,20,0,0,0,0,0,0,0,0
1120,0,0,20,15,0,0,0,0,0,0,0,0
1140,0,0,22,9,0,0,0,0,0,0,0,0
1160,0,0,22,8,0,0,0,0,0,0,0,0
1180,0,0,36,4,0,0,0,0,0,0,0,0
1200,0,0,43,0,0,0,0,0,0,0,0,0
1220,0,0,52,3,0,0,0,0,0,0,0,0
1240,0,0,32,2,0,1,0,0,0,0,0,0
1260,0,0,25,7,0,0,0,0,0,0,0,0
1280,0,0,14,14,0,0,0,0,0,0,0,0
1300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1320,0,0,2,6,0,0,0,0,0,5,0,0
1340,0,0,5,15,0,0,0,0,0,3,0,0
1360,0,0,11,9,0,0,0,0,0,0,0,0
1380,0,0,16,33,0,0,0,0,0,0,0,0
1400,0,0,4,63,0,0,0,0,0,0,0,0
1420,0,0,3,45,0,0,0,0,0,0,0,0
1440,0,0,1,56,0,0,0,0,0,0,0,0
1460,0,0,9,54,0,0,0,0,0,0,0,0
1480,0,0,50,24,0,0,0,0,0,0,0,0
1500,0,0,19,60,0,0,0,0,0,0,0,0
1520,0,0,41,49,0,0,0,0,0,0,0,0
1540,0,0,36,56,0,0,0,0,0,0,0,0
1560,1,1,21,57,0,0,0,0,0,0,0,1
1580,2,0,17,33,0,0,0,0,0,0,0,0
1600,2,0,14,11,0,0,0,0,0,0,0,0
1620,0,0,7,10,0,0,0,0,0,0,0,0
1640,0,0,15,10,0,0,0,0,0,0,0,0
1660,0,0,9,15,0,0,0,0,0,1,0,0
1680,0,0,11,5,0,0,0,0,0,0,0,0
1700,0,0,11,3,1,0,0,0,0,0,0,0
1720,0,0,18,1,1,0,0,0,0,0,0,0
1740,0,0,19,5,0,0,0,0,0,0,0,0
1760,0,0,21,4,0,0,0,0,0,0,0,0
1780,0,0,29,17,1,0,0,0,0,0,0,1
1800,0,0,19,12,2,0,0,0,0,0,0,0
1820,0,0,29,13,1,0,0,0,0,0,0,0
1840,0,0,36,8,0,0,0,0,0,0,0,0
1860,0,0,41,14,0,0,0,0,0,0,0,0
1880,0,0,34,30,0,0,0,0,0,2,1,0
1900,0,0,29,18,0,0,0,0,0,1,1,0
1920,0,0,18,18,0,0,0,0,0,4,0,0
1940,0,0,8,15,0,0,0,0,0,0,1,0
1960,0,0,8,12,0,0,0,0,0,1,0,1
1980,0,0,11,3,0,0,0,0,0,0,0,0
2000,0,0,5,4,0,0,0,0,0,0,0,0
2020,0,0,4,6,0,0,0,0,0,4,0,0
2040,0,0,4,5,0,0,0,0,0,1,0,0
2060,0,0,3,4,0,0,0,0,0,4,0,0
2080,0,0,0,4,0,0,0,0,0,0,0,0
2100,0,0,0,1,0,0,0,0,0,0,0,0
2120,0,0,5,1,0,0,0,0,0,0,0,0
2140,0,0,5,6,0,0,0,0,0,0,0,0
2160,0,0,18,9,0,0,0,0,0,0,0,0
2180,0,0,14,14,0,1,0,0,0,0,0,0
2200,0,0,35,17,0,0,0,0,0,0,0,0
2220,0,0,36,23,2,0,0,0,0,0,0,0
2240,0,0,38,13,0,0,0,0,0,0,0,0
2260,0,0,41,13,0,0,0,0,0,0,0,0
2280,0,0,54,14,0,0,0,0,0,0,0,0
2300,0,0,39,16,0,0,0,0,0,0,0,0
2320,0,0,24,29,0,0,0,0,0,2,0,0
2340,0,0,26,21,0,0,0,0,0,2,0,0
2360,0,0,9,25,0,0,0,0,0,2,0,0
2380,0,0,15,15,1,1,0,0,0,1,0,0
2400,0,0,6,25,1,0,0,0,0,2,0,0
2420,0,0,5,25,0,2,0,0,0,0,0,0
2440,0,0,6,36,0,0,0,0,0,0,0,0
2460,0,0,3,40,0,1,0,0,0,0,0,0
2480,0,0,5,67,0,1,0,0,0,0,0,0
2500,0,0,2,85,0,0,0,0,0,0,0,0
2520,0,0,6,80,0,0,0,0,0,0,0,0
2540,0,0,5,70,1,0,0,0,0,0,0,0
2560,0,0,6,60,0,0,0,0,0,0,0,0
2580,0,0,6,82,0,0,0,0,0,0,0,0
2600,0,0,5,85,0,0,0,0,0,0,0,0
2620,0,0,8,76,0,0,0,0,0,0,0,0
2640,0,0,4,69,0,0,0,0,0,0,0,0
2660,0,0,7,42,0,0,0,0,0,2,0,0
2680,0,1,11,26,1,0,0,0,0,0,0,0
2700,0,0,23,19,0,0,0,0,0,1,0,0
2720,0,0,13,13,0,0,0,0,0,0,0,0
2740,0,0,10,10,0,0,0,0,0,0,0,0
2760,0,0,26,3,0,0,0,0,0,0,0,0
2780,0,0,12,1,0,0,0,0,0,0,0,0
2800,0,0,15,2,0,0,0,0,0,0,0,0
2820,0,0,34,3,0,0,0,0,0,0,0,0
2840,0,0,55,1,0,0,0,0,0,0,0,0
2860,0,0,71,2,1,0,0,0,0,0,0,0
2880,0,0,47,7,1,0,0,0,0,0,0,0
2900,0,0,48,1,0,0,0,0,0,0,0,0
2920,0,0,36,7,0,0,0,0,0,0,0,0
2940,0,0,43,26,0,0,0,0,0,0,0,0
2960,0,0,30,37,1,0,0,0,0,0,0,0
2980,0,0,23,34,8,0,0,0,0,0,0,0
3000,0,0,12,48,12,0,0,0,0,0,0,0
3020,0,0,16,48,9,0,0,0,0,0,0,0
3040,0,0,5,64,9,0,0,0,0,0,0,0
3060,0,0,3,51,4,0,0,0,0,0,0,0
3080,0,0,8,52,2,0,0,0,0,0,0,0
3100,0,0,9,49,4,0,0,0,0,0,0,0
3120,0,0,2,58,1,0,0,0,0,0,0,0
3140,0,0,11,48,2,0,0,0,0,0,0,0
3160,0,0,23,54,1,0,0,0,0,0,0,0
3180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3340,0,0,6,54,0,0,0,0,0,0,0,7
3360,0,0,2,57,0,0,0,0,0,0,0,10
3380,0,0,9,56,0,0,0,0,0,0,0,2
3400,0,0,4,66,0,0,0,0,0,0,0,0
3420,0,0,10,43,0,0,0,0,0,0,0,0
3440,0,0,4,44,0,0,0,0,0,0,0,0
3460,0,0,9,45,0,0,0,0,0,0,0,0
3480,0,0,8,64,1,0,0,0,0,0,0,0
3500,0,0,29,41,0,0,0,0,0,0,0,0
3520,0,0,19,30,0,0,0,0,0,0,0,0
3540,0,0,10,43,0,0,0,0,0,0,0,0
3560,0,0,11,42,0,0,0,0,0,0,0,0
3580,0,0,16,53,0,0,0,0,0,0,0,0
3600,0,0,2,60,0,0,0,0,0,0,0,0
3620,0,0,7,70,0,0,0,0,0,0,0,0
3640,0,0,6,77,0,0,0,0,0,0,0,0
3660,0,0,14,43,0,0,0,0,0,0,0,0
3680,0,0,5,49,0,0,0,0,0,0,0,0
3700,0,0,6,38,0,0,0,0,0,3,0,0
3720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3780,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3820,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3920,0,0,8,55,0,0,0,0,0,1,0,1
3940,0,0,14,52,0,0,0,0,0,1,0,0
3960,0,0,10,59,0,0,0,0,0,0,0,0
3980,0,0,0,59,0,0,0,0,0,0,0,0
4000,0,0,4,60,0,0,0,0,0,0,0,0
4020,0,0,2,57,1,0,0,0,0,0,0,0
4040,0,0,13,60,0,0,0,0,0,0,0,0
4060,0,0,14,68,0,0,0,0,0,0,0,0
4080,0,0,16,65,0,0,0,0,0,0,0,0
4100,0,0,17,51,0,0,0,0,0,0,0,0
4120,0,0,2,59,0,0,0,0,0,0,0,0
4140,0,0,6,74,0,0,0,0,0,0,1,0
4160,0,0,3,78,0,0,0,0,0,0,1,0
4180,0,0,10,47,0,0,0,0,0,0,0,0
4200,0,0,15,45,0,0,0,0,0,0,0,0
4220,0,0,20,31,0,0,0,0,0,0,0,0
4240,0,0,10,29,0,0,0,0,0,0,0,0
4260,0,0,10,33,0,0,0,0,0,0,0,0
4280,0,0,15,26,1,0,0,0,0,0,0,0
4300,0,0,15,42,0,0,0,0,0,0,0,0
4320,0,0,8,21,1,0,0,0,0,0,0,0
4340,0,0,6,24,0,0,0,0,0,0,0,0
4360,0,0,36,20,0,0,0,0,0,0,0,0
4380,0,0,19,32,0,0,0,0,0,0,0,0
4400,0,0,7,29,0,0,0,0,0,0,0,0
4420,0,0,4,53,0,0,0,0,0,2,0,0
4440,0,0,3,51,0,0,0,0,0,0,0,0
4460,0,0,5,73,0,0,0,0,0,0,0,0
4480,0,0,6,63,0,0,0,0,0,0,0,0
4500,0,0,11,22,0,0,0,0,0,0,2,0
4520,0,0,8,42,0,0,0,0,0,0,0,0
4540,0,0,24,36,0,0,0,0,0,0,0,0
4560,0,0,7,60,0,0,0,0,0,0,0,0
4580,0,0,2,22,0,0,0,0,0,0,0,0
4600,0,0,2,30,0,1,0,0,0,0,0,0
4620,0,0,10,28,0,0,0,0,0,0,0,0
4640,0,0,3,51,0,0,0,0,0,0,0,0
4660,0,0,5,39,0,0,0,0,0,0,0,0
4680,0,0,5,28,1,0,0,0,0,0,0,0
4700,0,0,7,41,0,0,0,0,0,0,0,0
4720,0,0,2,41,1,0,0,0,0,0,0,0
4740,0,0,3,33,0,0,0,0,0,0,0,0
4760,0,0,10,20,0,0,0,0,0,0,0,0
4780,0,0,5,38,0,0,0,0,0,0,0,0
4800,0,0,8,59,0,0,0,0,0,0,0,0
4820,0,0,6,48,0,0,0,0,0,0,0,0
4840,0,0,5,54,0,0,0,0,0,0,0,0
4860,0,0,13,42,0,0,0,0,0,0,0,0
4880,0,0,9,64,0,0,0,0,0,0,0,0
4900,0,0,21,30,0,0,0,0,0,0,0,0
4920,0,0,18,31,0,0,0,0,0,0,0,0
4940,0,0,10,69,0,0,0,0,0,0,0,0
4960,0,0,10,63,0,0,0,0,0,0,0,0
4980,0,0,7,66,0,0,0,0,0,0,0,0
5000,0,0,21,44,0,0,0,0,0,0,0,0
5020,0,0,13,56,0,0,0,0,0,0,0,0
5040,0,0,8,72,0,0,0,0,0,0,0,0
5060,0,0,5,91,0,0,0,0,0,0,0,0
5080,0,0,4,88,0,0,0,0,0,0,0,0
5100,0,0,0,94,0,0,0,0,0,0,0,0
5120,0,0,1,88,0,0,0,0,0,0,0,0
5140,0,0,1,56,0,0,0,0,0,0,0,0
5160,0,0,0,55,0,0,0,0,0,0,0,0
5180,0,0,0,45,0,0,0,0,0,0,0,0
5200,0,0,0,44,0,0,0,0,0,0,0,0
5220,0,0,2,56,0,0,0,0,0,0,0,0
5240,0,0,1,20,0,0,0,0,0,0,0,0
5260,0,0,1,12,0,0,0,0,0,0,0,0
5280,0,0,0,12,0,0,0,0,0,0,0,0
5300,0,0,0,11,0,0,0,0,0,0,0,0
5320,0,0,0,9,0,0,0,0,0,0,0,0
5340,0,0,0,7,0,0,0,0,0,0,0,0
5360,0,0,0,10,0,0,0,0,0,0,0,0
5380,0,0,2,11,0,0,0,0,0,0,0,0
5400,0,0,0,6,0,0,0,0,0,2,1,0
5420,0,0,2,12,0,0,0,0,0,0,0,0
5440,0,0,0,19,0,0,0,0,0,2,0,0
5460,0,0,6,22,0,0,0,0,0,0,0,0
5480,0,0,12,23,0,0,0,0,0,0,0,0
5500,0,0,20,15,0,0,0,0,0,0,0,0
5520,0,0,15,19,0,0,0,0,0,0,0,0
5540,0,0,22,8,0,0,0,0,0,0,0,0
5560,0,0,31,5,0,0,0,0,0,0,0,0
5580,0,0,50,5,0,0,0,0,0,0,0,0
5600,0,0,63,9,0,0,0,0,0,0,0,0
5620,0,0,52,6,0,0,0,0,0,0,0,0
5640,0,0,63,4,0,0,0,0,0,0,0,0
5660,0,0,61,3,0,0,0,0,0,0,0,0
5680,0,0,58,7,0,0,0,0,0,0,0,0
5700,0,0,61,12,0,0,0,0,0,0,0,0
5720,0,0,65,6,0,0,0,0,0,0,0,0
5740,0,0,48,8,1,0,0,0,0,0,0,0
5760,0,0,28,8,0,0,0,0,0,0,0,0
5780,0,0,38,4,2,0,0,0,0,0,0,0
5800,0,0,25,2,0,0,0,0,0,0,1,0
5820,0,0,40,22,0,0,0,0,0,0,0,0
5840,0,0,26,45,0,0,0,0,0,0,0,0
