Accession,Organism_Name,Isolate,Species,Genus,Length,Country,Host,Isolation_Source,Collection_Date
NC_033776.1,Bat sapovirus,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,7475,Cameroon,Eidolon helvum,feces,14-Jan
OR517473.1,Sapovirus sp.,Hu/NI/2017/GI.2/CNDR695,Sapovirus sp.,Sapovirus,7458,Nicaragua,Homo sapiens,,2017
OR672557.1,Sapovirus GI,QD-F-22007,Sapporo virus,Sapovirus,7441,China,Homo sapiens,,2022-01-17
OR672555.1,Sapovirus GI,QD-F-22010,Sapporo virus,Sapovirus,7441,China,Homo sapiens,,2022-01-25
OR672552.1,Sapovirus GI,QD-F-22013,Sapporo virus,Sapovirus,7441,China,Homo sapiens,,2022-02-15
OR672558.1,Sapovirus GI,QD-F-22112,Sapporo virus,Sapovirus,7441,China,Homo sapiens,,2022-10-07
OR672553.1,Sapovirus GI,RC-21013,Sapporo virus,Sapovirus,7441,China,Homo sapiens,,2020-02-03
OR672559.1,Sapovirus GI,RC-21020,Sapporo virus,Sapovirus,7448,China,Homo sapiens,,2021-02-28
OR672551.1,Sapovirus GI,RC-21071,Sapporo virus,Sapovirus,7441,China,Homo sapiens,,2021-10-20
OR672556.1,Sapovirus GI,RC-21100,Sapporo virus,Sapovirus,7441,China,Homo sapiens,,2021-10-28
OR672554.1,Sapovirus GI,RC-22152,Sapporo virus,Sapovirus,7441,China,Homo sapiens,,2022-11-17
OR837774.1,Sapovirus sp.,SaV/A14/AFP01/NGR/2020/S01,Sapovirus sp.,Sapovirus,7483,Nigeria,Homo sapiens,feces,20-Jan
OR837780.1,Sapovirus sp.,SaV/A143/AFP39/NGR/2020/S039,Sapovirus sp.,Sapovirus,7526,Nigeria,Homo sapiens,feces,20-Sep
OR837781.1,Sapovirus sp.,SaV/A143/AFP46/NGR/2020/S046,Sapovirus sp.,Sapovirus,7524,Nigeria,Homo sapiens,feces,20-Nov
OR837776.1,Sapovirus sp.,SaV/A16/AFP15/NGR/2020/S015,Sapovirus sp.,Sapovirus,7502,Nigeria,Homo sapiens,feces,20-Apr
OR837777.1,Sapovirus sp.,SaV/A18/AFP18/NGR/2020/S018,Sapovirus sp.,Sapovirus,7456,Nigeria,Homo sapiens,feces,20-May
OR837779.1,Sapovirus sp.,SaV/A36/AFP33/NGR/2020/S033,Sapovirus sp.,Sapovirus,7494,Nigeria,Homo sapiens,feces,20-Aug
PP388958.1,Porcine enteric sapovirus,SHCM Mega2023,Sapporo virus,Sapovirus,7338,China,Sus scrofa,feces,2023-02-15
NC_017936.1,Bat sapovirus TLC58/HK,,Bat sapovirus TLC58/HK,Sapovirus,7696,Hong Kong,Chiroptera,,
NC_027026.1,Sapovirus Hu/Nagoya/NGY-1/2012/JPN,,Sapporo virus,Sapovirus,7521,Japan,,,
LC504334.1,Sapovirus GI,,Sapporo virus,Sapovirus,7509,Japan,Homo sapiens,,2001
NC_006554.1,Sapovirus C12,,Sapporo virus,Sapovirus,7476,Japan,,,
NC_010624.1,Sapovirus Mc10,,Sapporo virus,Sapovirus,7458,Thailand,,,
LC504326.1,Sapovirus GI,,Sapporo virus,Sapovirus,7458,Japan,Homo sapiens,,2007
OP255973.1,Sapovirus GI,,Sapporo virus,Sapovirus,7456,Netherlands,Homo sapiens,feces,2016-08-16
NC_075724.1,Sapovirus Hu/GI/Sapporo/MT-2010/1982,,Sapporo virus,Sapovirus,7433,Japan,Homo sapiens,feces,1982
NC_006269.1,Sapovirus Hu/Dresden/pJG-Sap01/DE,,Sapporo virus,Sapovirus,7429,,,,
LC504312.1,Sapovirus GI,,Sapporo virus,Sapovirus,7429,Japan,Homo sapiens,,2013
LC504315.1,Sapovirus GI,,Sapporo virus,Sapovirus,7429,Japan,Homo sapiens,,2013
NC_000940.1,Cowden I virus,,Sapporo virus,Sapovirus,7320,,,,
PP105600.1,Sapovirus GX,,Sapporo virus,Sapovirus,7128,Hungary,Canis aureus,abdominal cavity,20-May
